nome,partido,uf,PDC 160/1995,PDC 443/1994,PDC 451/1995,PDC 451/1995,PDC 451/1995,PDC 452/1995,PDC 452/1995,PDC 95/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 163/1995,PEC 182/1994,PEC 182/1994,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 3/1995,PEC 4/1995,PEC 4/1995,PEC 4/1995,PEC 4/1995,PEC 48/1995,PEC 48/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 5/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 6/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PEC 7/1995,PL 1088/1995,PL 1088/1995,PL 1236/1995,PL 1236/1995,PL 154/1995,PL 1670/1989,PL 1727/1991,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 180/1995,PL 194/1995,PL 199/1995,PL 199/1995,PL 233/1995,PL 2331/1991,PL 305/1991,PL 373/1995,PL 373/1995,PL 373/1995,PL 373/1995,PL 3804/1993,PL 3981/1993,PL 40/1995,PL 4109/1993,PL 426/1995,PL 426/1995,PL 4386/1994,PL 4555/1994,PL 4645/1994,PL 47/1995,PL 4792/1990,PL 4851/1994,PL 4851/1994,PL 4851/1994,PL 642/1995,PL 869/1995,PL 869/1995,PL 899/1995,PL 899/1995,PL 914/1995,PL 992/1995,PLP 9/1995,PRC 1/1995,PRC 21/1995,PRC 229/1994
Vadão Gomes,PP,SP,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,1,0,1,1,-1,0,1,0,0,0,-1,0,0,0,1,0,1,1,1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,-1,0,0,-1,0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0
José Linhares,PP,CE,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,0,0,1,1,-1,0,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,-1,1,1,0,1,-1,1,1,1,0,1,1,1,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1
Dilceu Sperafico,PP,PR,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,1,1,1,1,-1,1,1,-1,0,1,-1,0,0,-1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1,-1,-1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,1,-1,-1,0,-1,-1,0,0,0,1,1,-1,0,0,0,0,0,1,0,0
José Janene,PP,PR,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,-1,1,1,-1,0,0,-1,1,-1,0,1,-1,1,1,1,1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,1,1,-1,1,-1,1,0,1,0,0,-1,1,0,1,-1,1,1,-1,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Betinho Rosado,PFL,RN,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1,-1,1,1,-1,0,0,0,1,1,-1,0,1,-1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1,1,1,1,1,1,0,1,0,-1,-1,0,0,0,1,1,-1,1,0,1,0,0,1,0,0
Elcione Barbalho,PMDB,PA,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,0,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,0,1,1,-1,-1,0,1,0,1,-1,1,1,-1,1,-1,0,1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0
Arthur Virgílio,PSDB,AM,0,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,0,0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,1,1,1,-1,-1,-1,-1,1,-1,0,1,-1,1,1,0,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,-1,1,0,0,0,1,1,-1,1,1,1,1,1,1,1,0
João Ribeiro,PFL,TO,0,1,0,0,0,0,0,1,1,1,0,-1,1,0,1,1,1,0,-1,-1,1,1,1,0,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,0,-1,1,-1,-1,1,-1,1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Paulo Mourão,PSDB,TO,0,0,0,0,0,0,0,0,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0
Francisco Coelho,PFL,MA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
Aloizio Mercadante,PT,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Antônio do Valle,PMDB,MG,1,1,0,0,0,0,0,1,-1,1,-1,-1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,0,1,1,1,1,0,1,1,1,1,1,-1,1,-1,1,-1,0,0,0,1,1,-1,-1,1,-1,1,1,1,1,0
Aracely de Paula,PFL,MG,1,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,-1,0,1,1,-1,0,0,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,1,1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,-1,0,0,0,0,0,1,0,0,-1,1,1,0,1,1,0
Márcio Fortes,PSDB,RJ,-1,0,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,1,-1,0,-1,0,1,-1,1,1,1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,-1,1,0,1,1,0,1,0,0,1,-1,-1,0,-1,0,-1,-1,1,0,1,1,1,1,1,-1,1,0,-1,1,1,1,1,0,0,0,1,-1,1,0,0,0,1,1,-1,1,-1,1,1,0,1,0,0
Wagner Salustiano,PPB,SP,0,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,1,1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,0,1,0
Jofran Frejat,PPB,DF,0,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,0,0,0,-1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0
Padre Roque,PT,PR,0,1,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,-1,0,-1,0,0,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,1,0,0,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,-1,1,1,-1,-1,1,0,1,0,0,-1,0,0,1,0,-1,1,-1,-1,0,-1,1,1,1,0,0,0,1,-1,1,1,-1,-1,1,1,1,-1,0
Telmo Kirst,PPB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Nair Xavier Lobo,PMDB,GO,1,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,1,1,0,-1,-1,1,1,1,0,1,1,-1,0,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,0,0,0,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,0,-1,1,1,1,-1,-1,0,-1,1,-1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,-1,-1,0,0,0,1,1,-1,1,-1,1,1,1,0,1,0
Genésio Bernardino,PMDB,MG,1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,-1,-1,1,1,0,1,-1,1,1,1,1,0,0,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,0,0,1,-1,0,-1,-1,1,-1,1,-1,-1,1,-1,0,0,1,1,1,-1,1,1,1,0,0,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,0,1,0,1,0,1
Wigberto Tartuce,PPB,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0
Fátima Pelaes,PSDB,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
Odelmo Leão,PP,MG,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,0,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1,1,-1,1,1,0,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,-1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
Luiz Piauhylino,S.Part.,PE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicão Brígido,PMDB,AC,1,0,0,0,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,0,-1,1,1,1,1,1,1,0,0,-1,-1,1,0,1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,0,-1,-1,1,1,1,0,1,1,-1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,-1,1,0,-1,-1,1,0,1,0,0,1,-1,-1,1,0,-1,-1,0,0,0,1,1,0,-1,1,1,1,0,1,1,0
Roberto Magalhães,PFL,PE,0,0,1,0,1,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,0,1,-1,1,1,1,-1,-1,-1,0,1,0,1,1,-1,-1,-1,-1,0,-1,1,1,0,1,1,1,0,1,1,-1,0,0,1,0,-1,-1,1,1,-1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,-1,0,-1,0,1,-1,-1,1,1,0,1,1,1,1
Fernando Gabeira,PV,RJ,1,-1,0,0,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,0,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,0,-1,0,1,0,1,1,1,-1,1,-1,0,-1,1,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,0,1,-1,1,1,-1,-1,0,1,1,-1,0
Pedro Canedo,PP,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Valdir Colatto,PMDB,SC,1,0,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,0,0,-1,-1,1,-1,1,-1,-1,1,-1,1,1,0,1,-1,-1,1,0,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,0,1,1,0,-1,1,1,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,-1,0,1,0,0,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,0,1,1,1,1,1,1,0,-1,0,1,1,1,1
Paulo Bauer,S.Part.,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,1,0
Milton Barbosa,PSC,BA,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Alceste Almeida,PTB,RR,0,1,1,0,1,1,1,1,1,1,-1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,-1,1,-1,1,1,-1,0,0,-1,0,0,0,0,-1,1,-1,-1,1,1,-1,1,0,1,0,0,1,-1,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,1,0,1,1,0,0,0,1,0,1,1,0,0,-1,0,-1,0,0,1,1,1,1,0,-1,0,0,0,0,1,0,0,0
Pedro Irujo,PMDB,BA,1,1,0,0,0,0,0,0,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,0,0,0,0,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,1,0,0,1,1,1,0,1,1,1,-1,0,1,1,1,-1,1,1,-1,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0,0,-1,-1,0,1,-1,0,1,1,-1,-1,1,1,1,0,1,1
Augusto Carvalho,PPS,DF,1,-1,-1,0,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,-1,-1,1,1,-1,-1,1,0,1,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,0,-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1
Pedro Wilson,PT,GO,1,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,0,-1,-1,1,-1,1,-1,-1,0,-1,0,0,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,0,0,0,1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,-1,1,1,1,0,0,0,1,-1,1,1,-1,-1,1,1,1,-1,0
Domingos Dutra,PT,MA,1,-1,0,0,0,0,0,1,-1,-1,1,-1,-1,-1,-1,0,0,-1,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,-1,0,-1,-1,1,-1,0,0,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,1,1,0,0,1,1,-1,1,0,0,0,1,-1,0,0,-1,1,-1,-1,0,0,0,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,1,0,0,0,1,-1,1,1,-1,-1,1,0,1,0,0
Paulo Bornhausen,PFL,SC,0,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,-1,1,-1,1,0,1,1,1,0
Alberto Silva,PMDB,PI,1,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,-1,-1,1,1,0,1,0,1,1,-1,1,1,-1,1,0,1,1,1,0,0,1,-1,-1,0,0,0,1,0,-1,-1,1,1,0,1,1,1,0
Silvio Lopes,PSDB,RJ,1,1,0,0,0,0,0,1,1,1,-1,1,1,0,0,0,1,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,0,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,0,-1,1,1,0,0,0,1,-1,-1,1,-1,1,1,-1,1,1,0
Maria Elvira,PMDB,MG,1,1,0,0,0,0,0,1,0,1,-1,-1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-1,1,1,0,0,-1,1,0,-1,1,1,-1,1,1,0,1,-1,-1,1,-1,1,1,1,-1,0,-1,-1,1,-1,1,1,-1,0,-1,0,-1,-1,1,1,0,1,1,1,0,0,1,-1,0,0,-1,0,1,-1,0,1,-1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-1,-1,0,0,0,1,0,-1,-1,1,1,1,1,1,0,0
Newton Cardoso,PMDB,MG,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,0,0,1,0,-1,1,-1,1,1,-1,-1,0,0,1,0,1,-1,1,0,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,0,0,1,1,-1,-1,1,1,1,-1,0,1,1,0,0,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,0,1,-1,0,1,1,1,0,1,0,0,-1,-1,0,0,0,1,1,1,-1,0,0,1,0,0,0,0
Edinho Araújo,PMDB,SP,1,1,0,0,0,0,0,1,1,1,-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,1,1,0,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,0,-1,1,1,1,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,-1,-1,0,0,0,1,1,1,0,1,1,1,1,1,1,0
Benedita da Silva,PT,RJ,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Sandro Mabel,PMDB,GO,0,1,0,0,0,0,0,1,1,1,-1,1,1,0,1,1,1,0,0,-1,0,1,1,-1,1,0,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,0,0,1,0,-1,1,0,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,1,1,1,0,0,1,1,-1,1,0,1,-1,1,0,0,1,-1,0,1,-1,1,-1,1,1,0,0,0,0,1,1,1,1,1,-1,1,0,-1,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0
Eduardo Jorge,PT,SP,1,-1,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,0,0,-1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1
Jorge Wilson,PMDB,RJ,1,1,0,0,0,0,0,1,1,1,-1,1,1,0,1,1,1,0,-1,-1,1,1,0,1,1,0,-1,-1,1,1,-1,1,-1,1,1,-1,0,1,-1,1,1,-1,0,0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,1,1,-1,1,-1,1,1,1,1,0,-1,1,1,1,1,1,1,0,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,1,1,1,0
Ivanio Guerra,PFL,PR,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Sarney Filho,PFL,MA,1,1,1,0,1,0,0,0,0,1,-1,-1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,-1,-1,1,1,-1,1,0,1,0,-1,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,1,0,1,1,-1,-1,-1,-1,-1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,-1,0,-1,-1,1,1,1,1,1,1,-1,0,0,1,1,1,1,0,1
