nome,partido,uf,MPV 103/2003,MPV 104/2003,MPV 106/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 107/2003,MPV 114/2003,MPV 116/2003,MPV 116/2003,MPV 117/2003,MPV 117/2003,MPV 118/2003,MPV 120/2003,MPV 120/2003,MPV 121/2003,MPV 121/2003,MPV 121/2003,MPV 121/2003,MPV 122/2003,MPV 124/2003,MPV 125/2003,MPV 125/2003,MPV 125/2003,MPV 125/2003,MPV 126/2003,MPV 126/2003,MPV 126/2003,MPV 129/2003,MPV 130/2003,MPV 130/2003,MPV 131/2003,MPV 132/2003,MPV 132/2003,MPV 133/2003,MPV 135/2003,MPV 135/2003,MPV 135/2003,MPV 135/2003,MPV 79/2002,MPV 79/2002,MPV 80/2002,MPV 82/2002,MPV 82/2002,MPV 86/2002,MPV 94/2002,MSC 199/2003,MSC 48/2002,PEC 254/2000,PEC 254/2000,PEC 306/2000,PEC 306/2000,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 40/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 41/2003,PEC 53/1999,PEC 53/1999,PEC 53/1999,PEC 544/2002,PEC 575/1998,PL 1083/2003,PL 1084/2003,PL 1084/2003,PL 1503/2003,PL 1555/2003,PL 1840/2003,PL 1840/2003,PL 1840/2003,PL 1840/2003,PL 1936/2003,PL 2681/1996,PL 3464/2000,PL 3731/1997,PL 4285/2001,PL 4376/1993,PL 4572/1998,PL 4572/1998,PL 475/2003,PL 5073/2001,PL 58/2003,PL 7136/2002,PLP 224/2001,PLP 41/2003,PLP 52/1999,PLP 58/2003,PLP 58/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 73/2003
Pedro Henry,PPB,MT,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Abicalil,PT,MT,1,1,-1,-1,1,-1,0,1,1,1,1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,-1,1,1,-1,1,0,-1,0,1,0,1,1,1,0,1,0,1,1,1,-1,-1,1,1,1,0,0,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,1,1,0,0,1,0,1,-1,-1,-1,1,0,1,-1,1,1,0,-1,1,1,0,1,-1,-1,0,0,0,1,1,0,1,0,0,-1,-1,-1,0,0,1,1,1,0
Wellington Fagundes,PL,MT,1,1,-1,-1,1,0,0,1,1,1,1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,0,1,1,-1,0,0,0,0,1,1,0,1,1,-1,1,0,1,0,1,-1,-1,1,1,1,0,0,1,0,1,0,0,-1,0,0,1,0,1,0,1,0,-1,-1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,0,0,-1,0,1,0,1,0,0,0,0,1,0,1,1,0,-1,-1,0,0,1,1,0,0,0,0,0,-1,0,-1,0,0,1,1,0,1
Celcita Pinheiro,PFL,MT,-1,-1,1,1,-1,0,-1,-1,0,1,1,0,1,0,0,-1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,1,1,1,1,-1,1,1,1,0,1,0,-1,1,-1,-1,0,1,1,1,-1,1,0,1,1,1,-1,1,0,0,0,1,-1,0,0,-1,1,0,0,0,1,0,-1,0,1,0,-1,1,1,-1,-1,-1,1,0,0,-1,0,0,-1,0,0,0,0,1,-1,-1,-1,1,1,-1,1,1,0,0,0,-1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,-1,0,0,0,0,1,1,1,1
Ricarte de Freitas,PTB,MT,1,1,-1,-1,1,0,1,1,0,1,1,0,-1,0,0,-1,-1,0,-1,1,-1,1,-1,0,-1,1,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,0,0,-1,-1,1,-1,1,1,0,1,1,1,0,1,1,0,0,-1,1,1,1,-1,-1,1,1,1,0,-1,1,0,1,1,-1,-1,1,-1,1,-1,1,0,1,0,-1,-1,1,-1,1,0,1,-1,-1,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,-1,1,1,0,0,-1,-1,-1,1,0,1,-1,0,1,-1,-1,0,-1,0,1,-1,-1,1,1,0,1,1,1,1,0,0,0,0,0,-1,-1,1,1,1,1
Wilson Santos,PSDB,MT,1,1,0,0,1,0,0,-1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,1,0,1,1,1,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,-1,1,0,1,1,0,-1,1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,1,1,-1,0,0,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,-1,0
Thelma de Oliveira,PSDB,MT,-1,1,0,1,-1,0,-1,-1,0,1,1,0,1,0,0,0,0,1,0,0,0,-1,0,0,-1,1,1,1,-1,-1,1,-1,0,0,-1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,-1,0,1,1,0,1,0,-1,0,-1,-1,0,-1,-1,1,-1,1,0,1,1,1,-1,0,0,0,0,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,0,-1,-1,0,0,-1,0,0,0,1,-1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1
Zé Lima,PPB,PA,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zequinha Marinho,PTB,PA,1,1,-1,0,0,0,1,1,0,0,1,-1,0,0,0,0,-1,1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,1,-1,1,0,0,0,1,1,-1,0,-1,1,1,1,0,0,1,1,1,0,-1,1,-1,1,1,-1,-1,1,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,-1,-1,0,0,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0
Paulo Rocha,PT,PA,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,0,-1,0,-1,1,-1,1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0,0,1,-1,1,1,1,0,0,0,-1,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,0,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,1,1,1,0,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,0,0,-1,-1,-1,0,0,1,0,0,1
Babá,PT,PA,1,1,0,0,1,-1,1,1,1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,1,1,-1,1,1,-1,0,1,1,0,0,0,1,-1,-1,-1,-1,0,0,-1,1,-1,-1,0,0,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,0,1,-1,-1,0,-1,0,-1,-1,1,1,1,1,0,1,0,0,0,0,-1,1,0,1,1,-1,1,-1,-1,1,0,-1,1,0,0,0,-1,-1,-1,0,-1,0,0,-1,0,1,1,-1,-1,-1,0,1,1,0,1,0,1,1,-1,-1,-1,0,0,-1,-1,0,0,0
Zé Geraldo,PT,PA,1,1,-1,-1,1,0,1,1,1,1,1,-1,-1,0,-1,-1,0,1,-1,1,-1,1,0,0,-1,1,-1,-1,1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0,1,0,-1,1,0,1,0,1,1,-1,1,-1,1,1,0,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,1,1,1,1,1,1,1,1,0,0,-1,1,0,0,0,1,1,0,0,1,1,0,0,-1,-1,0,1,0,1,0,1,1,1,-1,-1,-1,-1,0,-1,1,1,1,1
Josué Bengtson,PTB,PA,1,1,0,-1,1,0,1,1,1,1,1,-1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,-1,-1,1,-1,1,0,-1,1,1,0,0,1,1,0,0,-1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,0,-1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,0,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,0,0,1,0,1,1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,1,1,-1,0,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,0,1,0,1,1
Ann Pontes,PMDB,PA,-1,1,-1,0,1,0,0,-1,1,1,1,-1,1,0,-1,0,-1,1,-1,1,-1,1,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,0,0,0,1,-1,-1,-1,1,-1,1,0,1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,1,-1,1,1,1,1,0,0,0,1,-1,1,-1,1,1,-1,-1,0,1,1,1,-1,-1,1,1,1,1,0,1,1,1,-1,0,0,-1,-1,0,1,1,1,1
José Priante,PMDB,PA,-1,1,0,-1,1,-1,0,-1,0,1,0,-1,-1,0,0,-1,-1,1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,-1,1,0,0,-1,-1,1,1,1,0,-1,1,1,1,1,0,-1,0,-1,1,-1,1,0,1,-1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,-1,-1,-1,-1,1,-1,0,1,0,0,-1,1,0,1,0,-1,0,-1,0,-1,1,0,0,0,-1,-1,0,1,1,0,-1,-1,1,1,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0
Raimundo Santos,PL,PA,-1,1,0,-1,1,0,1,1,1,1,1,0,-1,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,-1,0,1,-1,1,0,-1,1,0,1,1,0,0,0,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,1,1,1,-1,1,1,0,0,1,-1,-1,0,0,1,0,0,0,-1,-1,0,-1,1,0,0,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,0,0,1,0,-1,1
Vic Pires Franco,PFL,PA,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,-1,1,1,0,1,1,1,-1,0,-1,0,0,1,1,1,-1,1,0,1,1,1,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
Anivaldo Vale,PSDB,PA,-1,1,0,0,1,0,-1,-1,0,1,1,0,1,0,1,0,0,1,0,-1,0,-1,1,0,-1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,1,-1,0,1,0,1,1,1,-1,0,-1,-1,0,1,-1,1,-1,0,0,1,-1,0,-1,1,0,0,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,-1,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,1,0,0,1
Zenaldo Coutinho,PSDB,PA,-1,0,1,0,0,0,-1,-1,0,1,1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,-1,1,1,0,1,1,0,-1,0,-1,0,0,1,1,1,-1,1,0,1,1,1,-1,0,0,0,0,0,-1,1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,-1,0,1,-1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,-1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,-1,1
Nilson Pinto,PSDB,PA,-1,1,1,1,1,0,-1,-1,0,0,1,0,1,0,1,0,0,1,1,-1,0,-1,1,0,-1,1,1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,-1,1,0,0,1,-1,1,0,0,1,1,1,-1,0,-1,0,0,1,1,1,-1,1,0,1,1,1,-1,1,1,0,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,0,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,0,1,1,-1,0,0,0,-1,1,1,1,1,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,1,0,1,0,-1,0
Enivaldo Ribeiro,PPB,PB,-1,-1,-1,1,1,0,1,1,0,-1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luiz Couto,PT,PB,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,1,1,-1,1,0,1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,0,1,0,1,1,-1,-1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
Carlos Dunga,PTB,PB,1,0,-1,0,0,0,0,1,1,1,1,-1,-1,0,0,-1,0,1,0,0,0,0,-1,0,-1,1,-1,-1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,1,1,1,-1,1,0,1,1,-1,-1,-1,1,0,1,0,1,1,0,0,1,0,1,1,0,-1,1,1,0,1,1,1,1,1,0,-1,0,-1,-1,-1,1,1,1,1
Wellington Roberto,PL,PB,1,1,0,0,0,0,1,1,0,1,1,-1,-1,0,0,-1,0,1,-1,0,-1,1,-1,0,-1,1,-1,-1,1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,1,1,-1,1,0,-1,1,1,1,1,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,0,1,1,-1,-1,1,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,0,1,1,1,1,-1,0,0,-1,-1,0,0,1,1,1
Benjamin Maranhão,PMDB,PB,-1,1,-1,0,1,-1,1,1,1,0,1,-1,0,0,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,1,-1,-1,1,1,-1,1,0,1,0,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,1,0,1,0,1,-1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,1,1,1,1,-1,-1,-1,0,0,1,0,1,0,0,-1,1,1,1,1,-1,-1,1,0,1,0,1,1,0,0,-1,-1,-1,0,0,-1,1,1,1,0
Inaldo Leitão,PSDB,PB,-1,0,1,0,1,0,-1,-1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Severino Cavalcanti,PPB,PE,-1,-1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Corrêa,PPB,PE,-1,0,0,1,1,0,1,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Fiuza,PPB,PE,-1,-1,-1,0,1,0,1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurício Rands,PT,PE,1,1,-1,-1,1,-1,1,1,0,1,1,-1,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,0,0,-1,1,1,1,1,-1,0,1,-1,1,0,1,0,1,-1,-1,0,1,0,1,1,1,-1,0,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,1,1,1,-1,1,1,0,1,-1,-1,-1,1,-1,1,-1,1,0,0,-1,1,0,0,1,0,-1,0,0,1,0,1,1,1,1,-1,0,-1,0,0,0,0,0,1,0
Paulo Rubem Santiago,PT,PE,1,1,0,-1,1,-1,1,1,1,1,1,-1,0,0,-1,-1,0,0,-1,1,-1,1,-1,0,-1,1,-1,-1,1,0,0,0,0,-1,0,-1,-1,0,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,1,1,0,0,-1,0,0,0,0,0,-1,0,1,1,1,0,-1,1,1,0,1,-1,-1,1,0,0,-1,1,0,1,-1,-1,0,1,0,0,0,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,1,1,1,0,-1,0,-1,0,0,1,0,0,0,0,-1,0,1,1,-1,-1,-1,0,1,1,0,1,1,1,1,0,0,0,-1,-1,-1,0,1,0,0
Armando Monteiro,PMDB,PE,-1,-1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Eduardo Cadoca,PMDB,PE,-1,0,-1,-1,1,-1,1,-1,0,1,1,1,1,0,-1,-1,-1,1,-1,0,-1,1,0,0,-1,1,-1,-1,1,0,-1,0,-1,-1,1,-1,-1,-1,0,0,0,0,-1,1,-1,-1,1,1,1,1,0,1,0,1,1,-1,-1,0,1,1,1,-1,-1,1,-1,1,0,-1,1,1,1,1,0,0,1,-1,1,-1,0,0,1,-1,-1,-1,1,-1,0,0,0,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,-1,0,-1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,-1,1,1,1,1
Marcos de Jesus,PL,PE,1,1,0,-1,1,0,1,0,1,1,1,0,-1,0,0,-1,0,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,-1,-1,0,0,-1,1,-1,-1,1,1,-1,1,0,-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,-1,1,-1,1,-1,1,0,1,0,-1,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,-1,1,0,1,1,0,-1,-1,0,0,0,-1,1,1,-1,0,0,-1,1,1,0,-1,1,1,0,0,0,1,1,0,0,-1,0,-1,-1,0,1,1,-1,0
Roberto Freire,PPS,PE,1,0,0,0,0,-1,1,1,1,1,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,1,-1,1,0,0,0,0,0,0,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,0,0,1,0,0,0,1,0,1,1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,1,1,1,-1,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,-1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
André de Paula,PFL,PE,-1,-1,1,0,-1,0,-1,-1,0,1,1,1,1,0,0,-1,0,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,-1,0,0,0,1,1,1,-1,0,-1,-1,0,1,1,1,-1,1,0,1,1,1,-1,1,1,0,0,1,-1,1,0,-1,0,1,0,1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,1,1,0,1,1,0,1,1,-1,-1,1,-1,-1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,-1,-1,-1,0,1,1,1,-1,1,1
