nome,partido,uf,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 472/2009,MPV 475/2009,MPV 475/2009,MPV 475/2009,MPV 476/2009,MPV 476/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 477/2009,MPV 482/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 483/2010,MPV 487/2010,MPV 487/2010,MPV 487/2010,MPV 493/2010,MPV 493/2010,MPV 495/2010,MPV 501/2010,PDC 2600/2010,PEC 300/2008,PEC 300/2008,PEC 446/2009,PEC 47/2003,PEC 507/2010,PEC 507/2010,PL 1481/2007,PL 1481/2007,PL 1481/2007,PL 2502/2007,PL 2502/2007,PL 2944/2004,PL 5186/2005,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5417/2009,PL 5940/2009,PL 5941/2009,PL 5941/2009,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 168/1993,PLP 277/2005,PLP 352/2002,PLP 352/2002,PLP 374/2008,PLP 374/2008,PLP 543/2009,PLP 543/2009,PLP 543/2009,PLV 16/2010,REQ 5670/2009,REQ 6467/2010,REQ 6468/2010,REQ 6752/2010,REQ 6918/2010,REQ 7166/2010,REQ 7447/2010,REQ 7513/2010,REQ 7535/2010,REQ 7546/2010,REQ 7575/2010
Aníbal Gomes,PMDB,CE,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Zé Gerardo,PMDB,CE,0,-1,0,1,1,-1,0,0,0,0,1,1,1,-1,0,0,-1,-1,0,-1,0,1,-1,1,1,-1,0,1,0,1,1,0,1,1,-1,0,-1,1,1,0,-1,1,1,0,0,-1,1,1,1,-1,0,1,1,-1,-1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-1,1,1,1,1,1,1
Manoel Salviano,PSDB,CE,-1,0,0,0,-1,1,1,0,-1,-1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,1,0,1,1,1,0,-1,1,-1,1,-1,1,1,1,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
Carlos Manato,PDT,ES,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,0,1,1,0,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1
Iriny Lopes,PT,ES,-1,-1,0,0,0,-1,-1,0,0,1,1,1,1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,0,0,-1,1,1,1,1,1,1,1,-1,0,-1,-1,-1,-1,0,1,1,-1,0,1,1,0,0,-1,-1,-1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,1,1,0,1,-1,0,0,-1,1,0,0,1,-1,0,0
Leandro Vilela,PMDB,GO,-1,-1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,-1,0,-1,1,1,0,0,-1,1,-1,0,0,-1,0,0,-1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0
Carlos Alberto Leréia,PSDB,GO,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,1,1,1,0,0,-1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
João Campos,PSDB,GO,0,0,0,0,0,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,-1,-1,0
Professora Raquel Teixeira,PSDB,GO,0,0,0,0,-1,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,-1,1,-1,1,1,-1,1,0,1,0,1,-1,-1,1,1,-1,0,0,1,1,0,0,1,1,1,-1,1,1,-1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,-1,-1,1
Gastão Vieira,PMDB,MA,0,0,0,0,-1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,0,1,0,-1,-1,0,0,0,0,1,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,-1,1,-1,1,1,1,1,1,1,1
Pedro Fernandes,PTB,MA,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
Sarney Filho,PV,MA,0,0,0,0,0,-1,-1,1,1,1,1,1,0,0,0,0,-1,-1,0,0,0,1,-1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,-1,-1,0,1,-1,0,-1,1,0,0,0,0,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,0,1,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0
Ribamar Alves,PSB,MA,-1,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,-1,-1,1,-1,0,-1,1,1,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1,1,1,-1,0,0,0,0,1,1,1
Odair Cunha,PT,MG,-1,-1,0,1,1,-1,-1,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,0,-1,0,1,1,1,1,-1,0,-1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,-1,0,0,0,0,0,1,1,1,0,1
Virgílio Guimarães,PT,MG,-1,-1,-1,1,0,-1,-1,0,0,1,1,1,1,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,1,1,0,1,1,1,1,-1,0,-1,0,0,0,-1,0,1,0,0,0,1,1,1,0,-1,0,0,1,1,1,0,1,1,1,1,1,1,0,-1,0,1,1,1,1,1,1,0,1,0,-1,0,1,1,-1,1,0,1
Reginaldo Lopes,PT,MG,-1,-1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,1,1,1,0,0,-1,-1,1,-1,0,0,0,1,0,0,0,0,-1,1,0,-1,-1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,-1,1,1,0,0,0,1,1,1,0,1
Paulo Delgado,PT,MG,-1,0,0,0,0,-1,0,0,1,1,1,1,1,0,-1,0,0,0,0,-1,-1,1,0,0,1,-1,-1,1,1,0,1,1,1,1,0,0,-1,1,-1,-1,0,1,1,0,0,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,0,0,0,-1,0,0,0,1,-1,0,0
Gilmar Machado,PT,MG,-1,-1,-1,1,1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,-1,0,-1,0,1,0,-1,1,0,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,0,1,0,1,1,0,0,-1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,-1,-1,-1,1,1,1,1,1,0,1
Leonardo Monteiro,PT,MG,0,0,-1,1,0,-1,1,0,0,0,1,0,1,-1,0,-1,-1,-1,1,0,0,0,-1,0,1,-1,0,0,1,1,1,0,0,1,-1,0,-1,1,-1,-1,-1,1,1,0,0,1,0,-1,1,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,1,0,0,1,1,-1,0,1,1,0,1,1,0
Silas Brasileiro,PMDB,MG,-1,0,-1,1,0,0,0,0,0,0,1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,0,0,0,1,1,1,1,1,0,-1,0,1,0,-1,-1,0,1,-1,0,-1,1,1,0,0,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,1,0,1,0,0,1
Saraiva Felipe,PMDB,MG,-1,-1,-1,1,1,-1,1,0,1,0,1,1,1,0,0,-1,-1,0,1,-1,-1,1,0,0,1,-1,0,0,0,1,1,0,0,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,0,1,-1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,-1,1,1,0,0,0,1,0,0,1,0
Geraldo Thadeu,PPS,MG,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,0,1,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
Narcio Rodrigues,PSDB,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,-1,1,-1,1,1,0,1,0,0,-1,0,-1,0,0,0,0,0,-1,1,1,1,1,0,1,0,1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,1
Eduardo Barbosa,PSDB,MG,0,0,0,0,-1,1,1,0,-1,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0,1,0,1,1,1,1,0,0,0,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,0,-1,0,0,0,0,0,1,0,-1,1,1
Rafael Guerra,PSDB,MG,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,-1,1,-1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Biffi,PT,MS,-1,-1,-1,1,1,-1,1,0,1,0,1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,1,-1,1,0,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,1,1,-1,0,1,1,1,1,1,1
Vander Loubet,PT,MS,-1,0,0,1,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,1,0,-1,-1,0,1,1,1,1,1,1,-1,0,0,1,1,-1,-1,0,1,-1,0,0,1,0,1,-1,-1,-1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,-1,-1,0,1,0,0,1,-1
Nelson Trad,PMDB,MS,-1,-1,-1,1,-1,-1,1,1,0,0,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,0,-1,1,1,1,1,1,1,0,0,0,-1,1,-1,1,0,1,1,-1,0,-1,1,-1,0,-1,-1,-1,1,-1,0,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,1,0,-1,1,1,1
Waldemir Moka,PMDB,MS,-1,0,-1,1,0,-1,1,0,1,0,1,1,1,-1,0,0,-1,-1,0,-1,-1,0,-1,1,1,-1,0,0,0,1,1,1,0,1,-1,0,-1,1,0,0,-1,1,1,0,0,-1,1,-1,1,0,0,-1,1,-1,1,1,1,0,0,1,0,-1,1,1,0,1,1,0,0,0,0,1,1,1,1,-1,0,1,1,1,0,1,1
Carlos Abicalil,PT,MT,-1,-1,-1,0,1,-1,-1,0,0,0,1,1,1,-1,0,0,0,0,0,-1,0,0,-1,1,1,-1,0,1,1,0,1,1,1,1,-1,0,-1,1,-1,-1,0,0,0,-1,0,0,1,1,0,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,1,-1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1
Ricarte de Freitas,PTB,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
Thelma de Oliveira,PSDB,MT,0,0,0,0,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,1,0,0,0,0,0,-1,1,-1,1,0,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,0,0,1,1
Paulo Rocha,PT,PA,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,-1,0,0,-1,-1,1,-1,-1,0,0,1,1,-1,-1,1,0,1,1,1,1,1,-1,-1,0,1,1,-1,-1,0,1,0,0,1,1,1,1,0,-1,-1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,-1,1,1,-1,0,1,1,1,1,1,1
Zé Geraldo,PT,PA,0,-1,0,1,1,-1,-1,0,0,0,1,0,1,-1,0,-1,-1,-1,1,0,0,0,-1,0,1,-1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,-1,0,1,-1,0,0,1,1,0,-1,0,-1,1,0,0,0,1,0,1,1,0,0,0,1,-1,1,1,0,0,0,0,1,0,1,1,-1,0,1,0,1,1,1,1
Ann Pontes,PMDB,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
Zenaldo Coutinho,PSDB,PA,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,1,1,1,1,1,1,0,0,0,-1,1,-1,1,0,0,1,0,1,-1,0,-1,-1,1,1,-1,1,-1,1,1,1,0,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,0,-1,-1,0,0,1,1,0,-1,1,1
Nilson Pinto,PSDB,PA,0,0,0,0,-1,1,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,0,-1,1,0,1,1,0,0,1,0,-1,1,-1,-1,1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,-1,1,1,0,0,0,1,1,1,1,0
Luiz Couto,PT,PB,-1,-1,-1,0,0,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,0,-1,1,1,1,1,1,-1,-1
Maurício Rands,PT,PE,-1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,0,-1,-1,0,1,1,1,1,1,1,-1,-1,0,1,1,-1,0,1,1,0,0,0,1,-1,1,0,0,-1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,1
Marcelo Castro,PMDB,PI,-1,-1,-1,1,0,1,1,0,1,0,1,0,1,-1,0,-1,-1,-1,0,0,-1,1,0,1,1,-1,0,1,1,0,1,1,1,0,0,-1,-1,1,1,-1,-1,1,1,0,0,0,1,1,1,-1,-1,0,1,-1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,1
Dr. Rosinha,PT,PR,-1,-1,0,1,0,-1,-1,0,-1,1,1,1,1,0,0,-1,-1,-1,1,0,-1,1,-1,0,1,-1,-1,0,0,1,1,1,1,1,-1,-1,-1,1,-1,0,-1,0,1,-1,0,1,1,1,1,0,0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
Assis do Couto,PT,PR,-1,0,-1,1,1,-1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,0,0,1,-1,-1,0,1,1,0,0,1,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,-1,1,0,1,1,1,1,-1
Moacir Micheletto,PMDB,PR,0,-1,0,1,1,-1,1,0,1,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,1,1,-1,0,1,0,1,0,1,1,0,-1,-1,-1,1,1,0,0,0,1,0,0,-1,1,-1,1,0,0,0,1,-1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,-1,0,0,0,1,0,0,1
Osmar Serraglio,PMDB,PR,-1,-1,-1,1,0,-1,-1,0,1,0,1,1,1,0,0,0,0,0,0,-1,-1,1,0,1,0,-1,0,0,0,0,1,1,1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,-1,-1,-1,0,0,0,1,0,0,0,1
Luiz Carlos Hauly,PSDB,PR,0,0,0,0,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,1,1,1,1,0,0,0,-1,0,-1,1,0,-1,1,1,1,0,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,0,1,1,1
Affonso Camargo,PSDB,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Canziani,PTB,PR,-1,0,0,0,0,0,1,1,0,0,0,1,1,0,-1,0,-1,-1,1,0,0,0,0,0,1,-1,-1,0,1,1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0,0,-1,0,-1,1,0,0,-1,1,-1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
Carlos Santana,PT,RJ,0,-1,-1,1,0,-1,1,0,-1,0,1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,1,-1,0,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0,0,1,-1,1,-1,-1,-1,1,1,1,1,1,1,0,1,0,0,1,1,-1,0,0,0,1,1,0,1,-1,1,-1,-1,0,1,0,1,1,1,1
Luiz Sérgio,PT,RJ,-1,0,0,0,0,0,-1,0,1,1,1,1,1,-1,-1,0,0,0,0,-1,-1,1,-1,1,1,-1,-1,1,0,0,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,0,-1,1,0,0,0,1,0,1,0,1,1,-1,1,1,1,1,1,-1,0
Jorge Bittar,PT,RJ,0,0,0,0,1,-1,1,0,-1,0,1,1,1,-1,0,-1,-1,-1,1,0,-1,1,0,0,0,0,-1,0,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,1,0,0,0,0,0
