nome,partido,uf,PDC 240/1999,PDC 341/1999,PEC 128/1995,PEC 128/1995,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 249/2000,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 601/1998,PEC 601/1998,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 7/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 85/1999,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PEC 96/1992,PL 1428/1999,PL 1615/1999,PL 1617/1999,PL 1617/1999,PL 2549/2000,PL 2549/2000,PL 3156/2000,PL 3310/1997,PL 3310/1997,PL 3756/2000,PL 3756/2000,PL 3756/2000,PL 3837/2000,PL 4155/1998,PL 621/1999,PL 621/1999,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 113/2000,PLP 114/2000,PLP 114/2000,PLP 114/2000,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 18/1999,PLP 220/1998,PLP 220/1998,PLP 220/1998,PLP 23/1999,PLP 23/1999,PLP 23/1999,PLP 77/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 90/1999,PRC 72/2000
Milton Barbosa,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Jairo Carneiro,PFL,BA,0,1,1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,1,-1,0,0,0,1,1,1,1,-1,0,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0,1,-1,0,0,0,1,-1,0,1,-1,-1,-1,1,1,0,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1
Claudio Cajado,PFL,BA,0,0,1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,1,-1,0,-1,1,1,-1,-1,0,0,0,1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,0,1,0,-1,-1,1,-1,1,1,1,0,0,1,-1,-1,1,1,1,-1,0,1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1
José Rocha,PFL,BA,-1,0,1,0,-1,1,-1,0,-1,1,0,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,0,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,1,0,0,0,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,1,1,1,1,0,1,-1,-1,1,1,1,-1,-1,0,1,0,-1,-1,1,-1,1,1,1,1,0,1,-1,0,1,1,0,-1,1,1,-1,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-1
João Carlos Bacelar,PFL,BA,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Aroldo Cedraz,PFL,BA,0,0,1,0,0,0,-1,0,0,1,1,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,-1,-1,1,0,0,1,-1,1,-1,0,0,1,0,1,-1,1,1,-1,-1,0,0,0,1,-1,0,0,0,1,1,1,1,-1,-1,1,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,1,0,1,1,0,1,-1,0,1,0,-1,-1,0,1,0,0,-1,1,0,1,-1,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-1
José Carlos Aleluia,PFL,BA,0,1,1,1,-1,1,-1,1,-1,0,1,0,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,0,1,-1,1,-1,1,1,0,0,1,0,0,0,-1,-1,1,-1,-1,1,1,0,0,0,1,1,1,1,-1,0,1,1,-1,1,1,-1,1,0,-1,-1,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,0,-1,1,-1,1,1,1,-1,0,-1,1,0,1,1,-1,0,1,1,-1,-1,-1,1,1,1,-1,1,1,0,1,1,-1,-1,1,1,-1,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,-1
Gerson Gabrielli,PFL,BA,0,0,1,1,0,1,-1,0,0,1,0,1,1,-1,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,1,-1,0,-1,1,1,-1,-1,1,0,0,1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,1,1,1,1,1,1,-1,-1,1,1,1,0,-1,0,1,-1,-1,0,1,-1,1,1,1,1,0,1,-1,0,1,0,1,0,1,1,-1,0,-1,1,0,1,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,-1
Jutahy Junior,PSDB,BA,-1,1,1,1,-1,1,-1,1,-1,1,0,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,0,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
João Almeida,PSDB,BA,-1,0,1,1,0,0,0,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,0,-1,-1,1,-1,0,1,1,-1,1,1,1,0,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,0,0,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,0,0,0,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1
José Linhares,PPB,CE,-1,0,1,1,-1,1,-1,1,-1,1,0,1,0,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,1,-1,1,1,1,-1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,0,1,0,-1,1,1,-1,1,0,-1,0,-1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,-1,-1,-1,1,-1,1,1,1,1,0,1,-1,0,1,0,-1,-1,0,0,1,-1,0,1,1,1,-1,0,1,1,1,1,-1,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1
José Pimentel,PT,CE,0,1,1,0,1,1,1,1,-1,1,0,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,0,0,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,0,0,1,0,-1,1,1,1,1,0,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,0,-1,1,1,-1,1,1,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1
Aníbal Gomes,PMDB,CE,0,0,1,1,-1,1,-1,1,-1,0,1,0,0,-1,1,-1,1,1,1,-1,0,1,0,0,-1,-1,1,1,1,1,0,1,1,1,1,-1,1,-1,0,0,0,1,1,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,1,1,0,1,0,-1,0,1,-1,1,0,-1,1,-1,-1,0,-1,-1,1,-1,1,0,0,-1,1,1,1,0,1,1,0,-1,1,1,1,1,0,-1,0,-1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,0,0,1,0,1,1,1,-1,1,1,1,0,1,-1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,-1
Marcelo Teixeira,PMDB,CE,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,-1,1,1,1,0,0,0
Moroni Torgan,PFL,CE,0,1,1,1,-1,1,0,1,0,0,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,-1,1,1,-1,0,0,1,-1,1,1,0,0,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,-1,-1,1,1,1,0,-1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,0,1,-1,0,1,1,-1,0,1,1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
Roberto Pessoa,PFL,CE,-1,0,1,0,-1,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,-1,0,1,-1,1,1,0,1,0,0,0,0,0,1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Leo Alcântara,PSDB,CE,0,0,1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,1,1,1,-1,0,-1,1,1,-1,-1,1,-1,-1,1,-1,0,0,0,1,1,1,1,-1,-1,0,1,-1,1,1,-1,1,-1,-1,0,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1
