nome,partido,uf,MPV 385/2007,MPV 385/2007,MPV 385/2007,MPV 385/2007,MPV 385/2007,MPV 385/2007,MPV 397/2007,MPV 398/2007,MPV 398/2007,MPV 398/2007,MPV 398/2007,MPV 398/2007,MPV 398/2007,MPV 398/2007,MPV 399/2007,MPV 400/2007,MPV 402/2007,MPV 402/2007,MPV 402/2007,MPV 402/2007,MPV 404/2007,MPV 404/2007,MPV 404/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 405/2007,MPV 406/2007,MPV 408/2007,MPV 409/2007,MPV 409/2007,MPV 410/2007,MPV 411/2007,MPV 413/2008,MPV 413/2008,MPV 413/2008,MPV 414/2008,MPV 415/2008,MPV 415/2008,MPV 417/2008,MPV 418/2008,MPV 420/2008,MPV 421/2008,MPV 422/2008,MPV 422/2008,MPV 424/2008,MPV 424/2008,MPV 424/2008,MPV 424/2008,MPV 424/2008,MPV 425/2008,MPV 425/2008,MPV 425/2008,MPV 427/2008,MPV 429/2008,MPV 431/2008,MPV 431/2008,MPV 431/2008,MPV 431/2008,MPV 431/2008,MPV 431/2008,MPV 432/2008,MPV 432/2008,MPV 432/2008,MPV 432/2008,MPV 432/2008,MPV 432/2008,MPV 434/2008,MPV 434/2008,MPV 435/2008,MPV 435/2008,MPV 436/2008,MPV 436/2008,MPV 436/2008,MPV 436/2008,MPV 440/2008,MPV 440/2008,MPV 440/2008,MPV 441/2008,MPV 443/2008,MPV 443/2008,MPV 444/2008,MPV 445/2008,MPV 445/2008,MPV 445/2008,MPV 445/2008,MPV 445/2008,PDC 387/2007,PDC 387/2007,PDC 563/2008,PDC 563/2008,PEC 138/2003,PEC 138/2003,PEC 138/2003,PEC 138/2003,PEC 138/2003,PEC 333/2004,PEC 333/2004,PEC 495/2006,PEC 495/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PEC 511/2006,PL 1990/2007,PL 2468/2007,PL 3452/2008,PL 3674/2008,PL 3674/2008,PL 3674/2008,PL 3674/2008,PL 3674/2008,PL 3674/2008,PL 940/2007,PLP 132/2007,PLP 132/2007,PLP 144/2007,PLP 177/2004,PLP 182/2004,PLP 183/2001,PLP 184/2004,PLP 2/2007,PLP 2/2007,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 306/2008,PLP 375/2006,PRC 69/2007,REC 90/2007
Nelson Marquezelli,PTB,SP,-1,1,-1,0,0,-1,1,0,0,1,0,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,0,0,1,-1,1,1,0,1,-1,1,-1,0,1,-1,-1,1,-1,-1,1,-1,0,1,0,1,0,1,-1,-1,1,0,0,0,-1,-1,1,0,1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,1,1,0,-1,1,1,0,-1,1,1,0,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,-1,0,1,0,-1,1,-1,-1,-1,0,-1,1,0,1,0,1,-1,1,-1,0,0,0,1
Osvaldo Reis,PMDB,TO,-1,1,0,0,0,-1,1,0,0,0,0,-1,0,1,1,1,-1,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,1,-1,-1,1,1,0,1,0,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,0,1,0,-1,0,1,1,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,-1,1,1,0,0,1,0,-1,-1,-1,0,0,1,1,-1,-1,1,0,0,0,-1,0,1,1,1,-1,0,1,1,0,1,0,-1,-1,-1,0,0,1,1,0,0,1,1,1,-1,1,1,1,-1,0,-1,0,-1,0,-1,1,1,1,0,1,-1,1,-1,0,1,1,0
Enio Bacci,PDT,RS,0,0,0,0,0,0,1,-1,1,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paulo Cesar de Oliveira Lima,PMDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,-1,1,0,0,0,0,1,-1,-1,-1,0,0,1,1,-1,0,1,0,0,0,-1,0,0,1,1,-1,0,0,1,0,0,0,0,-1,-1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
José Chaves,PTB,PE,0,1,0,0,0,0,1,0,0,1,0,0,-1,1,1,1,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,-1,1,1,0,1,1,0,0,0,1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,1,-1,0,0,0,1
Giovanni Queiroz,PDT,PA,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,0,-1,1,0,-1,1,0,0,1,-1,1,0,0,0,1,1,1,-1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1,0,1,1,1,-1,0,0,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,0,0,0,1,1,0,1,1,1,-1,1,-1,-1,0,-1,-1,1,1,1,0,1,-1,1,-1,0,0,1,1
Jurandil Juarez,PMDB,AP,-1,1,-1,0,0,-1,1,-1,1,1,0,-1,-1,1,1,1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,0,-1,1,1,1,1,1,-1,-1,1,1,0,1,-1,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,0,0,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0,1,1,1
Roberto Rocha,PSDB,MA,0,0,0,0,0,0,-1,0,0,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,1,0,1,1,-1,-1,-1,0,0,1,1,0,0,0,1,0,1,0,0,-1,-1,1,1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,1,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,1
Pedro Eugênio,PT,PE,0,1,-1,0,0,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,0,0,-1,0,-1,1,1,0,0,0,1,1,0,1,-1,0,-1,1,0,1,1,0,-1,-1,0,1,0,1,0,1,0,-1,1,0,0,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,-1,-1,-1,0,0,1,0,0,0,1,1,0,0,0,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,0,0,1,-1,-1,-1,0,1,1,1,0,0,0,1,1,-1,1,1,1,-1,1,-1,-1,0,0,-1,1,1,1,-1,1,-1,1,-1,0,1,1,-1
Ricardo Berzoini,PT,SP,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,1,0,-1,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,1,0,0,0,0,0,0,1,1,0,1,-1,1,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,1,0,0,1,-1,0,1,0,0,0,0,0,1,1,1,0,-1,0,-1,-1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-1,-1,-1,-1,1,0,0,-1,1,-1,1,-1,0,0,1,0
Magela,PT,DF,0,1,-1,0,0,-1,1,-1,1,1,1,0,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,0,1,-1,1,-1,0,-1,1,1,1,1,-1,-1,-1,1,1,0,0,-1,1,0,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,0,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,1,0,0,-1,0,1,1,0,-1,1,1,-1,-1,0,1,1,1,1,1,-1,-1,-1,0,1,0,0,0,-1,0,1,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,0,-1,-1,-1,0,0,0,1,1,1,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,-1,1,0,1,-1,1,0,1,-1,0,0,1,1
Rita Camata,PMDB,ES,-1,1,-1,0,0,1,1,-1,-1,-1,0,-1,1,0,1,1,0,0,1,1,-1,1,0,-1,-1,-1,1,1,-1,1,0,1,0,-1,1,-1,0,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,0,1,0,0,-1,-1,-1,1,-1,1,1,0,1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,0,0,0,0,-1,-1,1,0,-1,0,0,0,0,0,-1,0,0,1,1,0,0,0,-1,0,1,1,1,1,-1,-1,1,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,0,-1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,-1,1,-1,-1,-1,-1,-1,1,0,1,0,1,-1,1,0,0,0,1,1
Miro Teixeira,PDT,RJ,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,0,0,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,0,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,0,1,1,1
José Aníbal,PSDB,SP,0,0,0,0,0,0,-1,0,0,-1,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,1,-1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,1,1,1,1,0,0,-1,1,1,0,1,0,0,0,0,0,1,0,0,-1,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,1,1,1,1,0,-1,0,1,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,1,-1,1,1,0
José Genoíno,PT,SP,-1,1,-1,0,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0,1,1,1
Edinho Bez,PMDB,SC,0,1,-1,0,0,0,1,-1,0,1,0,0,0,1,1,1,-1,-1,1,1,-1,0,-1,0,-1,-1,0,1,0,0,1,0,1,-1,1,-1,0,-1,1,0,0,-1,1,-1,-1,1,-1,0,1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,0,-1,0,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,-1,1,1,-1,-1,1,1,0,0,1,1,0,0,-1,1,1,0,1,-1,-1,1,0,0,1,-1,1,1,1,1,-1,0,1,1,1,1,1,-1,0,-1,-1,0,1,1,1,1,0,1,1,-1,1,1,1,-1,1,-1,0,0,0,0,1,0,0,-1,1,-1,1,-1,0,1,1,-1
Arnaldo Madeira,PSDB,SP,0,0,0,0,0,0,-1,0,0,-1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0
João Magalhães,PMDB,MG,0,0,0,0,0,-1,1,-1,1,1,0,0,-1,1,1,1,-1,0,1,1,0,1,0,-1,-1,-1,0,1,-1,1,1,0,1,-1,0,-1,0,0,0,0,1,-1,1,-1,-1,0,1,0,1,-1,1,-1,-1,1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,-1,1,-1,0,0,-1,-1,1,0,-1,-1,0,1,1,0,-1,0,0,-1,-1,0,1,1,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,-1,0,1,-1,-1,0,0,1,1,1,0,0,1,1,1,-1,0,1,1,-1,1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,1,0,0,1,1,1
Raimundo Gomes de Matos,PSDB,CE,0,0,0,0,0,0,-1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,1,1,-1,0,-1,1,0,1,1,0,0,0,1,0,1,0,0,-1,-1,1,1,0,-1,-1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,1,1,1,-1,0,1,1,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,-1,1,-1,1,0,1
Silvio Torres,PSDB,SP,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,-1,-1,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,1,0,1,1,0,-1,-1,1,1,0,0,0,0,0,1,0,1,0,0,-1,-1,1,0,0,-1,-1,0,1,-1,0,0,0,0,-1,-1,0,1,1,1,1,0,-1,1,0,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,1
Mauro Benevides,PMDB,CE,-1,1,0,0,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,0,0,1,1,-1,1,-1,0,-1,1,1,0,1,0,-1,0,1,0,0,1,-1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,1,0,-1,1,1,0,-1,0,0,1,1,1,1,-1,0,0,1,0,1,0,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,0,1,1,0,-1,0,-1,-1,1,1,1,0,0,1,1,1,-1,1,1,0,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0,1,1,1
João Dado,PDT,SP,0,1,-1,0,0,0,1,-1,1,1,0,1,-1,1,1,1,-1,0,1,1,0,1,0,0,0,-1,0,1,-1,0,0,1,1,-1,1,-1,0,0,0,0,1,1,1,1,-1,1,0,0,1,-1,0,0,-1,1,0,-1,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,1,0,-1,0,0,0,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,0,0,0,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,-1,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,1
Wolney Queiroz,PDT,PE,0,1,-1,1,0,0,1,-1,1,1,0,1,-1,1,1,1,-1,-1,0,1,-1,1,0,0,-1,-1,1,1,-1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,-1,-1,0,1,0,1,0,1,-1,-1,1,0,0,0,-1,-1,1,-1,0,-1,0,1,0,-1,0,-1,0,1,-1,1,-1,0,-1,-1,-1,1,0,0,0,1,0,1,0,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,-1,1,0,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,0,0,0,-1,-1,1,1,1,1,1,0,1,0,-1,1,1,0,-1,0,-1,-1,-1,-1,-1,1,1,1,0,1,-1,1,-1,0,0,1,1
Osmar Terra,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armando Monteiro,PTB,PE,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,-1,0,0,-1,1,1,-1,1,1,0,0,0,1,-1,0,1,1,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,-1,0,1,-1,-1,-1,0,1,1,0,1,0,0,0,-1,-1,0,-1,0,0,0,1,0,0,-1,0,0,-1,-1,1,1,0,1,0,1,-1,-1,-1,0,1,1,1,0,0,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,0,0,-1,-1,-1,1,1,0,1,1,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,1,0
Benedito de Lira,PP,AL,-1,1,-1,1,0,-1,0,-1,1,1,1,-1,-1,0,1,1,-1,-1,1,0,-1,1,-1,0,-1,0,1,1,-1,1,1,1,1,-1,1,-1,0,-1,1,1,0,0,0,0,-1,1,1,0,1,-1,1,-1,-1,1,0,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,0,0,-1,1,0,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,1,1,1,0,-1,0,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,0,1,0,-1,-1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,-1,0,1,1,0
Sandes Júnior,PP,GO,-1,1,-1,1,0,0,1,-1,1,1,0,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,0,1,0,0,-1,0,-1,1,1,1,1,-1,1,-1,1,0,0,0,0,1,-1,-1,1,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,-1,0,1,1,0,0,-1,0,1,-1,-1,1,1,1,1,1,1,0,0,-1,1,1,1,1,0,-1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,-1,0,0,0,0,0,0,1,1,0,1,0,-1,0,1,0,-1,1,-1,-1,-1,0,-1,0,1,0,-1,1,-1,1,0,0,0,0,1
Márcio Reinaldo Moreira,PP,MG,0,0,-1,0,0,-1,1,-1,1,1,1,0,0,0,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,0,0,1,-1,1,-1,0,-1,1,0,1,-1,-1,1,-1,1,1,0,1,-1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,1,0,0,1,1,-1,-1,1,1,1,0,1,1,-1,0,-1,1,0,1,0,-1,-1,1,0,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,1,0,0,1,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,-1,1,1,1,-1,1,0,1,-1,0,1,1,1
Nelson Meurer,PP,PR,-1,1,-1,0,0,-1,1,-1,1,1,-1,0,0,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,0,1,-1,1,-1,0,-1,1,1,1,-1,1,-1,-1,1,1,0,1,-1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0,1,1,1
Simão Sessim,PP,RJ,0,0,0,0,0,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,0,0,0,-1,-1,-1,0,1,-1,1,1,1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,0,0,0,1,1,1,1,-1,-1,-1,1,1,1,1,0,-1,1,-1,-1,1,-1,1,1,1,1,-1,0,1,1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,1,-1,0,1,1,1
João Pizzolatti,PP,SC,0,0,0,1,0,0,0,0,0,1,0,-1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,1,-1,0,0,1,1,0,0,0,1,-1,-1,1,0,0,-1,0,-1,0,-1,1,0,0,0,0,0,-1,1,-1,1,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0,-1,1,1,1,1,0,0,0,-1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,-1,1,1,1,1,1,1,0,1,0,0,1,0,-1,0,-1,0,-1,0,0,1,1,1,0,1,-1,1,-1,0,0,0,0
Zonta,PP,SC,-1,1,-1,1,0,-1,1,-1,0,0,0,-1,-1,1,1,0,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,0,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,1,0,1,1,1
Celso Russomanno,PP,SP,0,0,-1,0,0,0,1,-1,1,1,1,0,-1,0,1,1,-1,-1,1,0,0,1,-1,-1,0,0,1,0,0,1,1,0,1,0,1,-1,0,0,1,0,1,0,0,1,-1,1,1,0,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,0,1,0,0,-1,1,0,0,0,-1,0,1,-1,-1,0,0,1,1,0,1,0,-1,-1,1,1,0,1,-1,-1,1,0,-1,1,1,0,1,1,1,-1,0,0,0,-1,1,1,-1,0,0,-1,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,-1,0,0,0,-1,-1,0,-1,-1,1,0,1,-1,0,0,0,1
