nome,partido,uf,MPV 447/2008,MPV 447/2008,MPV 447/2008,MPV 447/2008,MPV 449/2008,MPV 449/2008,MPV 449/2008,MPV 450/2008,MPV 450/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 451/2008,MPV 452/2008,MPV 452/2008,MPV 453/2009,MPV 454/2009,MPV 454/2009,MPV 454/2009,MPV 455/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 457/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 458/2009,MPV 459/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 460/2009,MPV 462/2009,MPV 462/2009,MPV 462/2009,MPV 462/2009,MPV 464/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 465/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 466/2009,MPV 468/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 469/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MPV 470/2009,MSC 134/2009,PDC 981/2008,PDC 981/2008,PEC 130/2007,PEC 22/1999,PEC 277/2008,PEC 277/2008,PEC 277/2008,PEC 277/2008,PEC 324/2009,PEC 324/2009,PEC 324/2009,PEC 336/2009,PEC 336/2009,PEC 351/2009,PEC 351/2009,PEC 391/2009,PEC 391/2009,PEC 413/2005,PEC 413/2005,PEC 47/2003,PEC 483/2005,PEC 483/2005,PL 1664/2007,PL 18/2007,PL 1825/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2502/2007,PL 2660/1996,PL 2660/1996,PL 3021/2008,PL 451/1995,PL 5245/2009,PL 5245/2009,PL 5279/2009,PL 5312/2009,PL 5334/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5498/2009,PL 5664/2009,PL 5798/2009,PL 5800/2005,PL 5829/2005,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5939/2009,PL 5940/2009,PL 5941/2009,PL 7703/2006,PL 7703/2006,PL 836/2003,PL 836/2003,PL 836/2003,PLP 12/2003,PLP 12/2003,PLP 217/2004,PLP 217/2004,PLP 28/2007,PLP 28/2007,PLP 28/2007,PLP 28/2007,PLP 462/2009,PLP 59/1999,REQ 5921/2009
José Chaves,PTB,PE,0,0,0,1,-1,0,-1,0,0,0,0,-1,-1,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,-1,0,1,-1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,-1,-1,0,0,-1,1,-1,1,1,0,0,1,0,-1,-1,1,-1,1,0,0,0,0,1,0,0,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Antonio Feijão,PSDB,AP,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,1,-1,1,0,0,0,0,0,-1,0,1,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Queiroz,PDT,PA,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,1,0,1,1,-1,-1,1,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,1,1,0,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,1,0,1,1,-1,0,1,1,0,1,1,0,-1,-1,1,1,1,-1,1,0,1,0,0,0,1,-1,1,0,0,-1,1,-1,-1,-1,0,1,1,0,1,1,1,0,0,0,0,-1,0,-1,-1,1,-1,0,0,1,0,1,0,-1,-1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,-1,1,-1,0,1,0
Jurandil Juarez,PMDB,AP,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,0
Roberto Rocha,PSDB,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-1,0,1,0,0,1,1,1,0,1,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,0,0,1,-1,1,1,-1,-1,-1,1,0,-1,1,1,1,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Themístocles Sampaio,PMDB,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,0,0,1,-1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,-1,1,-1,-1,-1,1,-1,-1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,-1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Pedro Eugênio,PT,PE,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,0,-1,1,-1,1,1,0,-1,1,1,-1,1,0,-1,1,0,1,-1,0,0,0,-1,-1,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,0,1,0,-1,-1,1,-1,-1,0,0,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,0,0,-1,-1,-1,1,0,0,0,1,0,1,0,1,0,1,-1,0,1,-1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-1,1,-1,1,1,0
Ricardo Berzoini,PT,SP,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,0,1,1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,-1,1,-1,-1,1,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,1,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,0,-1,1,-1,0,-1,1,0,0,0,0,1,1,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Magela,PT,DF,0,0,-1,-1,-1,0,-1,-1,1,0,1,-1,-1,1,1,0,1,-1,-1,-1,-1,0,0,1,0,0,1,0,-1,1,0,0,0,1,-1,1,0,1,0,0,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,-1,0,0,-1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,0,-1,1,-1,0,-1,1,-1,-1,0,1,0,1,0,1,1,0,0,1,0,1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,0,1,1,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
Rita Camata,PMDB,ES,-1,-1,0,1,1,0,0,-1,0,-1,-1,-1,1,1,0,1,-1,1,-1,0,-1,0,0,0,0,0,0,-1,-1,1,1,-1,1,1,-1,1,0,1,0,-1,-1,1,-1,-1,0,-1,0,0,-1,1,-1,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1,1,0,1,0,1,1,0,0,0,0,1,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,0,1,1,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1,-1,1,0,0,1,1,1,-1,1,-1,1,1,0
Miro Teixeira,PDT,RJ,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,1,1,0,-1,1,1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,1,1,-1,1,0,1,0,-1,-1,-1,-1,1,0,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,-1,1,1,1,0,1,0,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1
José Aníbal,PSDB,SP,0,1,1,1,0,0,0,0,-1,0,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,-1,0,-1,-1,1,-1,-1,1,1,0,0,1,0,0,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,-1,0,1,0,1,-1,0,1,1,1,1,1,-1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,1,1,-1,0,-1,-1,-1,0,1,0,1,0,0,0,0,0,-1,1,-1,0,-1,0,0,1,1,0,1,0,1,0,-1,0,0,0,1,0
José Genoíno,PT,SP,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,1,1,1,1,1,1,0,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,-1,1,1,-1
Edinho Bez,PMDB,SC,-1,0,0,1,0,-1,0,-1,1,-1,1,0,-1,0,0,1,1,-1,-1,0,0,-1,-1,1,-1,1,1,1,-1,0,0,1,1,1,0,1,0,0,-1,-1,-1,1,0,0,1,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,0,1,-1,-1,-1,1,0,-1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,-1,-1,0,1,1,0,1,1,-1,0,-1,-1,-1,1,-1,0,1,1,-1,0,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,0,0,0,0,1,0,0,-1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,-1,0,0,1,1,0
Albérico Filho,PMDB,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,-1,-1,1,1,1,1,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaldo Madeira,PSDB,SP,1,-1,0,-1,0,1,0,0,-1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,0,1,1,0,0,0,0,1,0,-1,1,-1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,0,0,1,-1,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,0,-1,1,-1,1,1,0,-1
João Magalhães,PMDB,MG,-1,-1,0,1,-1,0,0,-1,1,-1,1,-1,-1,1,1,1,1,-1,0,-1,0,-1,-1,0,0,0,0,1,-1,1,0,0,1,0,-1,0,-1,1,0,-1,-1,0,1,1,1,-1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,-1,-1,0,1,1,1,0,1,1,-1,1,0,-1,-1,0,-1,-1,1,1,-1,0,-1,0,1,0,1,0,1,0,0,0,0,1,-1,-1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1,-1,1,1,0
Marçal Filho,PMDB,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,-1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Raimundo Gomes de Matos,PSDB,CE,0,1,1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,-1,-1,1,-1,1,0,-1,1,1,0,-1,0,0,-1,-1,1,1,1,0,0,0,0,1,-1,1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,-1,-1,1,1,1,1,0,0,1,1,1,1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,1,0,-1,0,1,-1,-1,-1,1,-1,0,0,1,1,1,0,-1,0,0,-1,-1,-1,-1,1,1,1,1,1,0,0,1,1,0,-1,1,1,1,1,0
Marcos Lima,PMDB,MG,0,-1,1,1,0,-1,-1,-1,0,-1,1,-1,0,1,1,0,1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,1,1,-1,1,0,1,0,0,-1,1,0,1,1,1,-1,0,0,1,0,1,1,0,0,0,-1,0,-1,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,1,1,1,1,0,-1,1,-1,0,-1,0,0,0,1,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,-1,1,1,0
Silvio Torres,PSDB,SP,0,0,1,1,0,0,0,0,-1,0,0,0,1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,-1,1,0,-1,0,0,0,-1,0,1,-1,-1,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,-1,-1,1,1,0,1,-1,-1,1,1,0,0,1,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,1,-1,0,0,-1,-1,-1,-1,1,0,1,0,0,-1,-1,0,0,0,0,-1,1,1,1,1,0,1,1,1,1,0,0,1,-1,1,1,0
Mauro Benevides,PMDB,CE,-1,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,1,1,-1,0,1,0,-1,-1,0,0,0,1,1,1,0,0,0,0,1,-1,1,0,0,0,-1,-1,1,1,1,0,1,0,-1,-1,0,-1,1,1,0,0,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,-1,0,1,1,0,0,0,0,-1,1,-1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,1,1,0,0,1,-1,-1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,-1,1,-1,0,1,0
João Dado,PDT,SP,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,1,-1,1,0,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,1,1,-1,1,0,-1,1,-1,1,0,0,0,0,-1,1,1,1,0,-1,-1,1,-1,-1,1,0,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,1,1,-1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,-1,1,0,0,1,0,0,1,0,0,0,0,-1,1,-1,-1,-1,0,1,1,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,-1,0,1,0
Wolney Queiroz,PDT,PE,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,0,1,1,-1,1,1,-1,0,-1,-1,0,-1,1,-1,1,1,1,-1,1,1,0,0,0,-1,0,-1,1,0,1,-1,0,-1,0,1,-1,0,-1,0,1,0,-1,1,0,0,-1,-1,0,0,1,1,-1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,1,1,1,-1,1,1,0,1,1,1,0,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,0,0,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,0,1,0,1,0,1,1,-1,-1,1,1,1,-1,-1,0,0,-1,1,0,1,-1,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,-1,1,-1,1,1,0
Washington Luiz,PT,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,-1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,-1,1,-1,0,0,0
Armando Monteiro,PTB,PE,0,0,0,1,0,0,0,0,-1,-1,1,-1,-1,1,1,1,1,-1,0,-1,0,0,-1,1,-1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,-1,-1,1,1,0,1,1,-1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,0,1,1,0,-1,-1,-1,-1,1,0,1,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,1,-1,-1,1,-1,1,-1,0,0,0,-1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,1,-1,0,1,0
Benedito de Lira,PP,AL,0,0,0,0,0,0,-1,-1,0,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,-1,1,-1,1,0,-1,-1,1,-1,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,-1,1,0,-1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,0,1,-1,1,-1,-1,0,1,-1,-1,-1,1,0,0,-1,1,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,-1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,-1,1,1,0
Sandes Júnior,PP,GO,-1,1,1,1,0,0,-1,-1,-1,0,1,-1,-1,1,1,1,1,-1,0,0,-1,0,0,1,0,0,1,0,0,1,1,-1,1,1,0,0,0,1,-1,0,0,0,0,1,0,1,0,-1,0,1,0,1,1,-1,0,-1,-1,0,0,1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,1,1,0,1,1,0,0,1,1,1,1,-1,1,0,1,-1,1,1,1,1,0,1,0,-1,1,0,-1,0,0,-1,-1,0,0,0,1,0,1,0,0,0,1,1,-1,-1,1,1,1,-1,-1,0,0,0,1,1,1,0,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0,1,-1,1,-1,1,0,0
Márcio Reinaldo Moreira,PP,MG,-1,1,1,1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,0,-1,1,0,1,-1,0,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,0,-1,0,0,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1,1,0,-1,1,1,0,1,1,1,0,0,1,0,0,-1,1,1,1,-1,0,1,1,1,0,1,1,-1,1,0,0,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,0,1,-1,0,1,0,-1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,-1,1,-1,1,1,0
Nelson Meurer,PP,PR,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,-1,1,1,-1,1,-1,0,1,-1,0,-1,-1,-1,1,0,1,1,1,0,-1,-1,1,-1,1,1,-1,0,-1,-1,1,-1,1,1,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,0,1,-1,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,0
Simão Sessim,PP,RJ,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,-1,1,0,0,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,1,0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,0,0,0,0,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,-1,1,1,1,1,-1,0,0,1,0,0,1,-1,-1,1,1,1,1,0,1,-1,1,1,1,1,0,1,1,-1,1,-1,1,1,1
João Pizzolatti,PP,SC,-1,1,0,0,0,0,-1,0,1,0,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,1,1,-1,0,1,0,1,0,1,0,0,-1,0,0,0,1,1,-1,0,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,-1,0,0,1,-1,-1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,-1,0,0,1,0,1,1,0,0,0,1,-1,-1,1,1,1,0,0,0,0,-1,0,0,1,-1,0,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,-1,0,-1,1,0,0
Zonta,PP,SC,-1,1,1,1,-1,0,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,1,0
Celso Russomanno,PP,SP,-1,1,0,1,0,0,0,-1,-1,-1,1,0,-1,1,1,1,0,-1,0,-1,-1,-1,-1,0,-1,1,1,0,-1,0,1,0,1,1,-1,1,-1,1,0,-1,-1,1,0,0,1,0,-1,-1,-1,1,0,1,1,-1,0,0,-1,1,-1,1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,-1,-1,1,1,1,-1,1,0,1,1,1,0,0,0,1,-1,-1,0,1,-1,-1,-1,1,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,1,1,-1,0,1,1,1,0,1,1,-1,1,1,1,0,0,0,0,-1,1,-1,0,0,0
