nome,partido,uf,PDC 337/1996,PEC 198/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 233/1995,PEC 25/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 256/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 367/1996,PEC 41/1991,PEC 41/1991,PEC 41/1991,PL 102/1995,PL 102/1995,PL 1059/1995,PL 1125/1995,PL 1151/1995,PL 1229/1995,PL 1258/1988,PL 1275/1995,PL 1275/1995,PL 1287/1995,PL 1287/1995,PL 1325/1995,PL 1409/1996,PL 1487/1996,PL 1487/1996,PL 1536/1996,PL 1564/1996,PL 1612/1996,PL 1669/1996,PL 1669/1996,PL 1669/1996,PL 1724/1996,PL 1724/1996,PL 1801/1996,PL 1801/1996,PL 1838/1996,PL 1838/1996,PL 189/1983,PL 1935/1996,PL 1935/1996,PL 200/1995,PL 200/1995,PL 201/1995,PL 2085/1996,PL 2284/1996,PL 2317/1996,PL 2317/1996,PL 2448/1996,PL 2448/1996,PL 2504/1996,PL 2801/1992,PL 4018/1993,PL 4018/1993,PL 4716/1994,PL 490/1995,PL 738/1995,PL 7865/1986,PL 824/1991,PL 824/1991,PL 824/1991,PL 846/1995,PL 899/1995,PL 914/1995,PRC 60/1995,PRC 60/1995,PRC 60/1995
José Pimentel,PT,CE,0,-1,1,-1,0,0,0,0,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,1,-1,0,-1,-1
Aníbal Gomes,PMDB,CE,-1,1,-1,1,-1,-1,0,-1,-1,1,-1,0,-1,1,1,-1,1,1,-1,1,0,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,0,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,-1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,0,0,0,1,0,1,1,1,0,1
Marcelo Teixeira,PMDB,CE,0,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,-1,0,0,-1,1,1,1,1,0,0,-1,0,1,0,1,1,1,1,0,0,1,-1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,-1,0,-1,0,-1,0,-1,-1,0,1,1
Roberto Pessoa,PFL,CE,0,0,-1,0,0,0,0,0,-1,1,-1,-1,-1,1,1,0,1,1,1,1,0,1,-1,-1,0,0,1,-1,0,0,1,1,1,1,1,0,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,-1,1,1,1,0,0,1,-1,-1,-1,0,1,0,0,0,0,1,0,0,-1,0,1,0,1,0,-1,0,0,1,1,-1,0,1,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,1,1,1,-1,0,1,0,0,-1,0,-1,-1,-1,0,1,-1,0,0,0
Rommel Feijó,PSDB,CE,0,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,-1,1,-1,1,0,1,1,0,0,0,1,-1,-1,1,1,1,-1,0,1,1
Vicente Arruda,PSDB,CE,0,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,-1,0,1,-1,-1,1,1,1,1,1,1,1
Inácio Arruda,PCdoB,CE,1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,0,0,1,1,0,1,0,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,1,0,-1,0,-1,0,-1,0,0,1,-1,-1,1,1,-1,0,0,1,-1,1,0,0,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,0,-1,-1
Osório Adriano,PFL,DF,-1,1,-1,0,0,-1,1,-1,0,-1,-1,-1,-1,0,0,-1,1,1,-1,1,1,1,-1,0,0,1,1,1,-1,0,1,-1,1,-1,1,-1,0,0,1,1,0,1,1,1,-1,1,-1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,1,-1,1,0,0,1,1,-1,1,0,1,1
Nilton Baiano,PPB,ES,0,1,0,1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,1,1,1,-1,0,0,1,-1,0,-1,0,1,1,-1,1,0,0,1,-1,1,1,0,1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1
Vilmar Rocha,PFL,GO,-1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,0,0,0,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,0,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,-1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,1,-1,1,0,-1,0,-1,1,-1,0,1,1,1,1,1,1,1
Jovair Arantes,PSDB,GO,-1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,1,1,-1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,0,1,1,0,0,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,0,-1,1,1,1,-1,0,1,1,1,1,1,0,0,0,0,1,1,-1,0,0,1,-1,1,-1,1,-1,1,1,-1,-1,0,1,-1,-1,0,1,1,-1,0,0,0
Sebastião Madeira,PSDB,MA,-1,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,0,1,0,1,1,-1,1,1,1,-1,-1,0,1,1,0,-1,0,1,-1,0,-1,1,0,-1,-1,1,1,0,0,0,1,-1,1,0,1,0,1,1,0,1,-1,-1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,-1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,-1,1,0,1,0,0,0,-1,0,-1,1,0,-1,0,0,1,0,0,0,0
Herculano Anghinetti,PPB,MG,-1,1,-1,1,-1,0,1,-1,1,0,-1,0,-1,-1,1,-1,1,1,-1,1,1,1,-1,0,-1,-1,0,-1,0,1,1,-1,0,-1,1,-1,-1,-1,1,0,0,1,1,1,-1,1,1,0,1,1,1,-1,1,-1,-1,1,-1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,-1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1
Ibrahim Abi-Ackel,PPB,MG,-1,-1,-1,1,-1,0,0,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,-1,1,-1,1,1,1,1,0,0,0,-1,1,1,0,1,0,0,1,1,-1,0,0,0,0,0,1,0,-1,-1,1,1,-1,-1,0,0,0
Márcio Reinaldo Moreira,PPB,MG,-1,1,-1,1,0,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,-1,-1,1,1,-1,-1,1,1,1
Paulo Delgado,PT,MG,1,-1,1,-1,1,1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,-1,0,0,-1,-1,0,0,1,-1,-1,-1,1,0,1,1,-1,-1,1,-1,0,0,0
Fernando Diniz,PMDB,MG,-1,-1,0,1,-1,-1,1,-1,-1,1,-1,0,0,1,1,-1,1,0,-1,1,1,1,-1,0,0,1,1,1,-1,1,0,-1,1,0,1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,-1,0,-1,1,1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,0,-1,0,1,1,0,-1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,0,0,1,1
Silas Brasileiro,PMDB,MG,-1,1,-1,1,0,0,1,-1,0,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,1,1,1,-1,0,-1,-1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,-1,0,1,1,0,0,1,-1,-1,1,0,-1,0,1,1,1
Saraiva Felipe,PMDB,MG,-1,1,0,1,0,0,0,0,-1,1,-1,-1,-1,1,1,-1,1,-1,0,1,1,1,-1,0,0,1,-1,1,-1,1,0,-1,1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,-1,1,1,0,1,-1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,-1,0,1,0,0,0,1,0,-1,-1,1,-1,0,0,0,1
Lael Varella,PFL,MG,0,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,0,1,0,1,1,1,-1,1,0,1,1,1,1,-1,1,-1,-1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,-1,0,1,0,0,0,0,0,-1,1,0,0,1,1,1,0
José Santana de Vasconcellos,PFL,MG,0,1,-1,1,-1,0,0,0,-1,1,0,0,0,1,0,1,1,1,-1,1,1,1,-1,0,0,1,1,0,-1,1,1,1,0,-1,1,-1,-1,-1,0,0,0,1,0,1,-1,1,-1,1,1,1,1,0,-1,-1,-1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,-1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,-1,1,1,1,0,0,1,0,0,-1,1,-1,-1,1,1,0,-1,0,1,1
Narcio Rodrigues,PSDB,MG,-1,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,0,1,1,-1,0,-1,1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,-1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,-1,1,-1,-1,1,1,0,1,0,0,0
Vittorio Medioli,PSDB,MG,0,0,-1,1,0,-1,0,0,0,1,-1,0,-1,1,1,0,1,1,-1,1,1,1,-1,0,0,0,1,1,-1,1,1,-1,1,-1,1,1,-1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,-1,1,1,0,0,1,0,0,0,1,1,-1,0,1,0,0,0,1,1,0,1,1,1,-1
Osmânio Pereira,PSDB,MG,-1,1,-1,1,0,0,1,-1,1,1,-1,0,-1,1,1,-1,1,1,-1,1,1,1,-1,0,0,1,1,1,-1,0,1,0,1,-1,1,0,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,-1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,-1,1,-1,0,-1,0,1,0,0,1,1,-1,-1,1,1,-1,1,1,1,1
Sérgio Miranda,PCdoB,MG,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,0,1,-1,1,-1,0,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,0,-1,-1
Wellington Fagundes,PL,MT,-1,1,-1,1,-1,0,0,0,-1,-1,-1,-1,1,-1,1,0,1,1,-1,1,0,0,0,0,0,-1,1,-1,0,0,1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,-1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,-1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,-1,1,-1,-1,-1,1,0,-1,0,-1,1,0,-1,1,0,-1,0,1,1,1
Paulo Rocha,PT,PA,0,-1,1,-1,0,0,0,0,-1,-1,-1,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,0,-1,-1
José Priante,PMDB,PA,0,1,-1,1,0,1,1,-1,0,1,-1,-1,0,1,1,0,1,-1,0,0,1,1,-1,0,0,1,0,1,-1,1,1,-1,1,0,1,-1,-1,-1,1,1,0,0,1,1,0,1,1,1,1,1,1,-1,0,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,-1,1,0,1,1,1,1,1,0,1,1,1,1,0,-1,0,0,1,1,1,0,1,1,-1,-1,-1,1,-1,0,0,0,1,-1,1,0,0
Vic Pires Franco,PFL,PA,-1,1,0,1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,-1,1,1,0,1,-1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,-1,1,1,1,-1,1,1,0,1,0,1,-1,-1,1,1,1,1,1,1,1
Enivaldo Ribeiro,PPB,PB,0,0,0,1,0,0,0,0,1,1,-1,0,0,1,1,-1,1,1,-1,1,1,1,0,0,0,1,1,1,-1,1,1,0,1,-1,1,-1,-1,-1,0,1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,-1,-1,0,0,0
Severino Cavalcanti,PPB,PE,0,1,-1,1,-1,0,1,0,1,1,-1,0,-1,1,1,-1,0,1,0,0,1,1,-1,0,1,1,1,1,-1,1,1,-1,1,-1,1,0,0,-1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,-1,-1,1,0,0
Pedro Corrêa,PPB,PE,0,-1,-1,1,-1,0,1,0,0,1,0,-1,0,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,0,1,-1,1,0,0,-1,1,0,0,1,1,1,0,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,-1,1,1,1,1,1,1,0,0,0,-1,1,1,-1,-1,1,1,1
Inocêncio Oliveira,PFL,PE,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1
