nome,partido,uf,PDC 414/1997,PDC 573/1997,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PL 1/1995,PL 1131/1995,PL 1151/1995,PL 1210/1995,PL 1210/1995,PL 1210/1995,PL 1317/1988,PL 1521/1996,PL 1530/1996,PL 1530/1996,PL 1869/1996,PL 2085/1996,PL 2142/1996,PL 2226/1996,PL 2319/1996,PL 2353/1996,PL 2381/1996,PL 2381/1996,PL 2653/1996,PL 2688/1996,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 3100/1997,PL 3100/1997,PL 3241/1997,PL 3242/1997,PL 3242/1997,PL 3553/1997,PL 3553/1997,PL 3920/1997,PL 4425/1994,PL 4425/1994,PL 4425/1994,PL 469/1995,PL 4695/1994,PL 5430/1990,PL 720/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PLP 14/1995,PLP 14/1995,PLP 214/1997,PRC 136/1997
José Rocha,PFL,BA,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,0,1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,1,1,0,0,1,1,-1,1,1,0,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,0,1,1,1,1
João Carlos Bacelar,PFL,BA,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,-1,-1,0,0,0,1,-1,1,1,-1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,1,-1,0,1,1,0,-1,0,1,0,0,0,1,1,-1,1,-1,0,0,0,1,1
Aroldo Cedraz,PFL,BA,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,0,1,-1,0,0,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,1,1,1,0,0,1,1,-1,0,1,1,-1,1,-1,0,1,1,1,1
José Carlos Aleluia,PFL,BA,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,0,0,1,-1,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,0,1,1,1,1
João Almeida,PSDB,BA,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,1,0,-1,0,0,0,0,0,0,0,1,-1,1,0
José Linhares,PPB,CE,0,0,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,0,1,1,0,-1,0,1,-1,1,-1,0,0,1,1,-1,-1,-1,1,0,-1,-1,0,0,0,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,0,0,-1,1,1,0,0,0,1,-1,-1,1,1,1,1,0,1,-1,-1,1,0,1,1,0,1,1,-1,0,-1,1,0,1,0,1,1,-1,1,1,1,1,1,-1,1,1,-1,0,1,0,-1,-1,0,0,1,0,1,1
José Pimentel,PT,CE,0,1,-1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,0,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,0,1,1,-1,0,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,0,1,-1,1,0,-1,-1,1,-1
Aníbal Gomes,PMDB,CE,1,0,1,1,0,0,-1,-1,0,0,-1,1,-1,0,1,1,1,-1,0,1,0,-1,0,-1,-1,1,1,-1,-1,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,1,0,1,1,1,1,1,-1,0,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,-1,-1,0,1,0,1,1,1,1,-1,0,1,-1,0,1,1,1,0,1,1,1,0,0,1,-1,1,1,-1,1,0,0,1,-1,0,0,0,0,0,0,0,1,0,1,1,0,-1,1,-1,0,0,0,0,1
Marcelo Teixeira,PMDB,CE,0,0,1,1,-1,1,-1,-1,-1,1,0,1,-1,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leônidas Cristino,PPS,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,1,0
Roberto Pessoa,PFL,CE,0,0,1,0,-1,-1,-1,1,1,0,-1,1,0,0,1,1,0,-1,0,-1,0,0,-1,-1,-1,0,1,-1,-1,1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,0,1,1,0,1,0,-1,0,1,-1,0,-1,-1,-1,1,-1,1,1,0,1,-1,1,1,1,1,1,1,-1,1,0,-1,1,-1,0,-1,-1,1,-1,1,-1,-1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,1,1,-1,0,0,1,0,0,0,1,1,-1,1,0,0,1,0,-1,0,1,-1,0,1,1,-1,1,0,0,1,1,1,0
Rommel Feijó,PSDB,CE,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,0,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,1,0,1,1,1,0,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,-1,0,1,-1,0,1,-1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,-1,1,1,1,1,-1,0,1,-1,-1,1,1,0,-1,1,-1,0,1,-1,1,1
Vicente Arruda,PSDB,CE,0,0,1,1,-1,0,-1,0,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,0,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,1,0,1,-1,-1,1,-1,1,0,-1,1,1,-1,1,-1,1,1,1,0,1,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,0,1,-1,1,-1
Inácio Arruda,PCdoB,CE,0,1,-1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,0,0,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,-1,0,0,-1,0,1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,0,0,0,-1,1,1,0,-1,-1,1,1,1,0,1,-1,1,-1
Osório Adriano,PFL,DF,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,0,-1,0,0,0,0,-1,1,0,-1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,-1,1,1,1,0,0,1,1,0,1,1,1,1,-1,-1,1,-1,0,0,1,1,-1,-1,-1,0,1,1,1,1
Nilton Baiano,PPB,ES,1,0,1,1,0,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,1,1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,0,-1,-1,1,1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,-1,1,0,-1,0,-1,1,1,0,1,0,1,1,-1,1,1,0,0,1,-1,1,-1,1,-1,1,0,0,1,-1,-1,1,1,1,1,0,1,-1,0,0,1,1,-1,-1,-1,0,1,1,1,1
Vilmar Rocha,PFL,GO,1,0,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,-1,1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,-1,-1,0,-1,0,1,-1,1,0,-1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,1,1,0,0,1,0,-1,0,-1,-1,1,1,1,-1,-1,0,0,0,0,1,1
Jovair Arantes,PSDB,GO,1,0,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,0,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,0,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,0,1,-1,1,1,0,0,1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,0,-1,1,1,1,1,0,0,1,-1,-1,1,0,1,-1,1,-1,1,1,-1,1,1
Neiva Moreira,PDT,MA,0,0,-1,0,0,0,-1,1,1,1,0,-1,1,-1,1,1,-1,1,1,-1,-1,0,0,0,0,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,0,0,-1,1,-1,-1,1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,1,0,-1,0,-1,1,0,0,-1,1,0,0,-1,1,-1,1,0,0,0,1,-1
Sebastião Madeira,PSDB,MA,1,0,1,1,0,-1,-1,-1,-1,0,-1,1,-1,0,1,1,0,-1,0,1,0,-1,-1,-1,-1,1,-1,1,-1,1,1,0,0,-1,0,0,0,1,1,1,0,0,0,0,0,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,0,0,0,0,0,1,1,1,1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,0,-1,-1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,1,-1,1,1,0,1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,0,0,0,1,1
Herculano Anghinetti,PPB,MG,0,0,1,0,-1,-1,-1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,1,0,1,-1,0,0,0,0,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,-1,0,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,-1,1,0,1,1,0,1,0,1,1,1,1,1,-1,0,1,0,1,0,-1,1,-1,1,1,0,0,1,1,-1,1,1,1,0,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,0,1,1,1,-1
Ibrahim Abi-Ackel,PPB,MG,1,0,0,0,-1,-1,-1,1,1,-1,0,1,0,0,1,1,0,-1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,0,1,0,1,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,1,1,-1,1,1,1,-1,1,0,0,1,-1,1,0,1,0,1,1,1,-1,-1,0,1,1,-1,-1,1,0,-1,1,1,1
Márcio Reinaldo Moreira,PPB,MG,1,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,1,-1,1,1,0,1,-1,0,0,0,-1,1,1,0,0,-1,-1,-1,0,1,1,1,1,-1,0,1,0,0,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,0,1,1,-1,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,-1,1,-1,-1,0,1,1,-1,-1,-1,0,1,1,1,1
