nome,partido,uf,PDC 414/1997,PDC 573/1997,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 1/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 173/1995,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 338/1996,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PEC 449/1997,PL 1/1995,PL 1131/1995,PL 1151/1995,PL 1210/1995,PL 1210/1995,PL 1210/1995,PL 1317/1988,PL 1521/1996,PL 1530/1996,PL 1530/1996,PL 1869/1996,PL 2085/1996,PL 2142/1996,PL 2226/1996,PL 2319/1996,PL 2353/1996,PL 2381/1996,PL 2381/1996,PL 2653/1996,PL 2688/1996,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 2695/1997,PL 3100/1997,PL 3100/1997,PL 3241/1997,PL 3242/1997,PL 3242/1997,PL 3553/1997,PL 3553/1997,PL 3920/1997,PL 4425/1994,PL 4425/1994,PL 4425/1994,PL 469/1995,PL 4695/1994,PL 5430/1990,PL 720/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PL 821/1995,PLP 14/1995,PLP 14/1995,PLP 214/1997,PRC 136/1997
Murilo Domingos,PTB,MT,0,-1,1,1,-1,0,0,-1,-1,0,0,0,-1,0,1,1,1,0,0,1,0,-1,-1,1,-1,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,1,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,1,0,0,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,-1,1,-1,0,0,1,0,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0,-1,0,1,-1,1,1
Pedro Valadares,PSB,SE,0,0,1,1,-1,-1,-1,1,1,0,1,-1,0,-1,1,1,0,1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,-1,1,0,0,0,-1,1,-1,1,-1,-1,1,-1,1,0,-1,1,1,-1
Raimundo Gomes de Matos,PSDB,CE,0,0,1,1,-1,0,-1,-1,-1,1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,-1,1,1,-1,1,1,-1,0,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,0,-1,0,1,1,1,0,-1,1,-1,-1,1,1,1,-1,1,-1,0,1,-1,1,0
Marcos Lima,PMDB,MG,0,0,-1,-1,1,1,0,1,1,0,-1,0,0,0,1,1,1,-1,0,1,0,-1,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,-1,1,-1,-1,0,-1,1,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,0,0,1,0,1,-1,1,-1,0,0,0,0,0,0,1,0,1,1,-1,1,1,1,1,0,0,0,1,1,1,-1,1,1,0,1,-1,1,1,1,0,1,0,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,0,1,-1,-1,1
Esther Grossi,PT,RS,0,0,-1,0,1,-1,-1,1,1,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,-1,0,-1,0,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,0,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,1,0,0,0,0,-1,-1,0,0,1,-1,1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,1,0,0,-1,0,-1,1,0,0,0,0,0
Nelson Otoch,PSDB,CE,0,0,1,1,-1,0,0,0,-1,-1,0,1,0,0,1,1,0,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,0,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,0,-1,0,-1,0,1,-1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0,-1,0,1,-1,0,1
Silvio Torres,PSDB,SP,1,-1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,0,1,1,0,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,0,-1,1,0,0,0,0,1,-1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,0,1,-1,1,0
Euler Ribeiro,PFL,AM,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,-1,0,1,0,-1,-1,-1,0,1,1,0,-1,1,1,0,-1,-1,0,0,1,0,1,1,0,1,0,0,0,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,-1,-1,0,-1,1,0,0,0,0,-1,-1,-1,0,1,-1,1,0,0,0,0,0,1,1,0,0,0,1,-1,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,1,1,1,-1,0,1,0,-1,1,1,1,-1,1,-1,0,1,1,1,1
José Egydio,PFL,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,-1,-1,-1,1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-1,0,1,0,0,0,0,1,1,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1
Aldo Arantes,PCdoB,GO,0,0,-1,0,1,-1,-1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,1,-1,1,1,-1,1,0,-1,1,-1,1,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,0,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,1,0,0,-1,1,1,1,0,1,-1,1,-1
Wagner Rossi,PMDB,SP,-1,0,1,1,-1,1,0,0,0,0,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,1,0,0,1,1,0,1,-1,1,1,-1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,0,1,1,0,1,1,1,1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,0,1,1,1,0
Candinho Mattos,PSDB,RJ,0,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,0,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0,-1,0,1,0,1,1
Socorro Gomes,PCdoB,PA,0,0,-1,0,1,-1,-1,1,1,1,1,-1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,-1,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,0,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,0,-1,1,-1,0,0,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,1,0,-1,-1,1,1,0,0,-1,-1,1,-1
Wolney Queiroz,PDT,PE,0,1,-1,0,1,-1,-1,0,1,1,1,-1,1,-1,1,1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,0,-1,0,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,0,0,-1,1,-1,0,0,0,0,-1,1,-1,0,0,1,0,0,0,1,1,-1,1,-1,-1,-1,0,0,0,-1,1,-1,0,-1,-1,1,1,1,1,-1,0,-1,0,1,-1,1,0,1,1,0,-1
Elias Murad,PSDB,MG,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,1,-1,1,1,0,1,-1,0,0,0,1,1,0,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0,1,1,1,1,1,1,-1,1,1,-1,1,-1,0,0,0,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,1,0,0,-1,-1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,1,-1,0,0,0,1,0,0,1,-1,0,0,-1,-1,1,0,1,-1,1,-1,1,0,0,1,0
Pimentel Gomes,PPS,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1
Ronaldo Santos,PSDB,RJ,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,1,-1,0,1,0,-1,0,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,-1,1,-1,1,0,0,1,0,0,1,0,-1,0,1,0,0,0,1,1,1,0,1,1,-1,1,0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,0,1,1,-1,1,0,0,1,1,1,1
Wilson Cignachi,PMDB,RS,1,0,1,1,0,-1,0,-1,-1,1,-1,1,0,0,1,1,1,1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,0,1,1,1,1,-1,0,0,0,1,0,-1,1,1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,1,-1,0,1,-1,1,1,1,1,0,1,0,1,1,1,-1,0,0,0,0,1,0,1,1,-1,1,-1,1,-1,1,0,1,-1,-1,1,1,0,-1,1,-1,0,1,-1,1,1
Ronaldo Cezar Coelho,PSDB,RJ,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,-1,1,1,1,0,0,1,1,-1,1,1,0,1,-1,-1,1,-1,-1,0,1,1,-1,1,0,0,1,0,0,0
Betinho Rosado,PFL,RN,0,0,1,1,-1,1,-1,-1,1,0,0,0,-1,0,1,0,1,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,0,0,0,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,1,-1,0,1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,0,0,1,1,-1,1,1,1,1,-1,-1,1,1,-1,0,1,1,-1,0,0,0,1,1,1,-1
Fernando Gabeira,S.Part.,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Elcione Barbalho,PMDB,PA,0,0,1,0,0,0,1,1,1,-1,0,0,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,-1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,1,-1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,1,1,1,1,1,0,0,1,-1,-1,1,-1,0,1,1,1,1,1,-1,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0,1,1,-1,-1,-1,1,1,-1,1,1,1,-1,0,-1,-1,-1,0,0,1,-1,1,-1,-1,1,-1,1,1,1,0,0,-1,-1,-1,1,1,0,0,1,-1,1,-1
Arthur Virgílio,PSDB,AM,1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,-1,0,-1,1,0,-1,0,0,-1,1,-1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,-1,0,0,-1,0,1,1,1,-1,1,0,-1,0,-1,1,1
João Ribeiro,PFL,TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,0
Paulo Mourão,PSDB,TO,1,0,1,1,0,-1,-1,-1,-1,1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,0,1,1,1,1,1,-1,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,-1,1,1,1,0,0,0,1,-1,0,1,1,1,-1,1,-1,0,1,-1,1,-1
Antônio do Valle,PMDB,MG,0,-1,1,1,-1,-1,-1,1,0,1,-1,0,0,0,1,1,1,1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,0,0,0,0,0,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,0,0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,0,0,0,1,-1
Aracely de Paula,PFL,MG,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,1,1,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,0,1,0,0,1,-1,1,1,0,0,-1,-1,0,0,-1,1,1,1,-1,-1,-1,0,1,1,1,1
Wagner Salustiano,PPB,SP,1,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,1,-1,-1,0,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,0,0,-1,1,1,1,1,-1,0,0,1,-1,-1,-1,1,-1,1,-1,-1,1,0,0,1,1,1,1,-1,0,0,0,0,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,1,0,1,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,1,-1,1,0,0,0,0,0,1,1,0,-1,0,0,1,-1,0,0,1,-1,0,1,1,-1,1,-1,0,0,0,0,0
Jofran Frejat,PPB,DF,1,0,-1,0,0,-1,-1,1,1,0,1,-1,1,-1,1,1,0,1,0,-1,-1,1,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,0,0,0,-1,1,-1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1,1,0,-1,0,-1,1,-1,1,1,1,-1,-1,-1,1,0,-1,1,-1,-1,1,1,1,-1,0,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,1,-1,-1,0,1,1,-1,0,-1,1,1,1,-1,1,-1,-1,0,1,1,1,-1,1,0,1,1,1,1
Padre Roque,PT,PR,0,-1,-1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,1,0,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,0,1,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,0,0,-1,1,-1,-1,0,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,1,1,0,0,0,0,-1,-1,1,-1,1,0,0,0,0,0
Telmo Kirst,PPB,RS,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nair Xavier Lobo,PMDB,GO,0,0,1,0,0,0,0,0,-1,1,-1,1,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,0,1,1,0,1,-1,0,0,0,1,0,1,0,0,-1,0,-1,-1,1,1,1,1,-1,-1,0,1,-1,0,-1,1,-1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,-1,0,1,-1,0,0,0,1,1,-1,0,1,0,1,-1,-1,1,1,-1,0,0,1,-1,1,0,0,0,0,1,1
Genésio Bernardino,PMDB,MG,0,0,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,0,0,0,1,1,1,0,0,-1,-1,-1,0,1,1,1,1,-1,-1,-1,1,-1,0,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,0,1,1,1,0,1,-1,0,-1,1,0,1,0,1,1,-1,1,1,0,1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,0,0,0,1,1
Wigberto Tartuce,PPB,DF,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,1,0,0,1,-1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,-1,0,1,0,1,-1,-1,0,0,-1,0,0,1,-1,1,-1,0,0,0,1,1
Fátima Pelaes,PSDB,AP,0,0,0,-1,0,-1,0,0,1,0,-1,1,0,0,1,1,1,-1,0,1,0,-1,-1,0,0,1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,0,0,1,1,1,1,-1,-1,-1,0,0,0,0,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,0,-1,-1,1,0,1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,0,1,-1,1,-1
Miro Teixeira,S.Part.,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gervásio Oliveira,PDT,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,1,1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,1,0
