nome,partido,uf,MPV 549/2011,MPV 550/2011,MPV 551/2011,MPV 551/2011,MPV 554/2011,MPV 558/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 566/2012,MPV 566/2012,MPV 566/2012,MPV 567/2012,MPV 567/2012,MPV 567/2012,MPV 570/2012,MPV 571/2012,MPV 571/2012,MPV 571/2012,MPV 574/2012,MPV 574/2012,MPV 574/2012,MPV 575/2012,MPV 576/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,PDC 514/2011,PEC 153/2003,PEC 153/2003,PEC 270/2008,PEC 416/2005,PEC 416/2005,PEC 438/2001,PEC 445/2009,PEC 471/2005,PEC 478/2010,PEC 478/2010,PL 1876/1999,PL 1876/1999,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 2330/2011,PL 2330/2011,PL 2330/2011,PL 2565/2011,PL 2565/2011,PL 2565/2011,PL 2793/2011,PL 301/2007,PL 3839/2012,PL 5279/2009,PL 5403/2001,PL 643/2011,PL 865/2011,PLP 114/2011,PLP 230/2004,PLP 362/2006,PLP 579/2010,REQ 1134/2011,REQ 2130/2011,REQ 4504/2012,REQ 4636/2012,REQ 4636/2012,REQ 6062/2012,REQ 6135/2012,REQ 6460/2012,REQ 6461/2012,PEC 471/2005
Walter Feldman,PSDB,SP,-1,1,-1,1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,0,1,0,0,0,0,0,1,1,0,-1,1,1,0,-1,-1,0,1,1,-1
Antonio Carlos Mendes Thame,PSDB,SP,-1,1,0,1,1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,-1,-1,-1,0,0,1,1,0,1,1,-1,1,1,1,0,1,1,1,0,0,0,-1,0,1,1,1,1,0,1,1,-1,1,0,-1,0,1,0,0,0,-1,0,1,1,1,0,0,1,1,-1,0,0,0,0,0
Eduardo Gomes,PSDB,TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Givaldo Carimbão,PSB,AL,0,1,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,-1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
Josias Gomes,PT,BA,-1,-1,-1,-1,-1,1,0,0,0,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,-1,0,1,-1,-1,-1,0,1,0,0,-1,1,-1,-1,0,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,0,-1,1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,-1,0,0,0,1
Rubens Otoni,PT,GO,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Pedro Chaves,PMDB,GO,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,1,-1,-1,0,1,1,1,1,1,0,1,1,0,1,-1,1,1,1,1
Mauro Lopes,PMDB,MG,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,1,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,-1,0,0,0,-1,0,0,-1,-1,-1,1,1,0,0,0,-1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1
Bonifácio de Andrada,PSDB,MG,-1,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0,0,0,1,1,1,1,1,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,0,0,0,1
Wladimir Costa,PMDB,PA,0,-1,1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,1,0,0,0,1,0,0,1,0,0,1,-1,1,1,0,-1,-1,0,-1,-1,0,1,1,0,1,0,-1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
Fernando Ferro,PT,PE,-1,-1,0,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,0,0,0,-1,-1,-1,1,1,1,1,1,1,1,-1,0,0,1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,1,0,0,-1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-1
Gonzaga Patriota,PSB,PE,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,-1,0,-1,-1,-1,-1,0,1,0,1,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,1,-1,0,1,1,1
Hermes Parcianello,PMDB,PR,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,-1,-1,0,0,0,0,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,1
Odílio Balbinotti,PMDB,PR,1,-1,1,-1,-1,1,-1,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,1,0,-1,0,-1,-1,1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,0,1,-1,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
Leonardo Picciani,PMDB,RJ,1,1,0,0,-1,1,-1,0,-1,-1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,-1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0
Dimas Ramalho,PPS,SP,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,-1,0,0,1,1,-1,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
Janete Capiberibe,PSB,AP,0,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,0,0,-1,1,0,-1,0,-1,-1,0,0,0,0,-1,1,1,-1,0,-1,0,0,-1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,1,1,-1,-1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Daniel Almeida,PCdoB,BA,-1,1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,-1,0,-1,1,0,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,-1,-1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,-1
Pedro Novais,PMDB,MA,1,-1,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,-1,0,0,1,1,-1,-1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,-1,-1,1,-1,-1,-1,0,-1,-1,0,1,0,-1,1,0,-1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1
Asdrubal Bentes,PMDB,PA,0,-1,1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,1,0,1,-1,0,0,1,1,0,0,0,1,0,1,1,1,0,-1,-1,1,-1,-1,-1,0,0,0,-1,1,1,-1,1,1,-1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
Nilton Capixaba,PTB,RO,0,0,1,-1,1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,-1,0,1,0,-1,1,0,-1,-1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,-1,0,1,0,0,0,1,1,1,1
Nelson Marquezelli,PTB,SP,1,1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,1,0,0,0,0,-1,-1,-1,0,-1,1,1,1,0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,0,-1,1,0,-1,-1,1,1,1,0,1,0,-1,0,0,0,1,0,0,0,0,1
Enio Bacci,PDT,RS,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,0,-1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1
José Chaves,PTB,PE,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,-1,-1,0,0,0,1,1,1,-1,0,1,-1,0,0,0,1,0,1,1,-1,1,1,0,0,-1,0,1,1,0
Giovanni Queiroz,PDT,PA,-1,-1,0,-1,1,1,-1,-1,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,1,0,1,1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,-1,1,1,1,1
Pedro Eugênio,PT,PE,0,-1,1,0,-1,1,0,0,-1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,0,1,0,0,-1,1,-1,-1,-1,-1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Ricardo Berzoini,PT,SP,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,1,0,-1,1,-1,-1,0,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1
Magela,PT,DF,0,0,0,0,0,0,-1,-1,0,1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubens Bueno,PPS,PR,-1,-1,-1,1,1,-1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,-1,0,0,-1,1,-1,1,-1,0,1,1,1,0,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,0,1,1,-1,1,1,-1,1,1,-1,0,1,-1,1,1,1,-1,-1,-1,1,0,1,-1,1,1,1,-1
Miro Teixeira,PDT,RJ,-1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,-1
Edinho Bez,PMDB,SC,1,-1,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,-1,0,1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,-1,0,1,-1,0,-1,0,-1,-1,-1,1,1,0,1,1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,-1,1,0,0,1
João Magalhães,PMDB,MG,0,-1,1,-1,1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,1,0,-1,0,-1,-1,0,1,-1,-1,0,-1,0,1,1,1,1,0,1,0,1,0,1,1,-1,0,1,-1,-1,-1,0,0,0,1,1,1,-1,1,1,-1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
Marçal Filho,PMDB,MS,0,-1,1,-1,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,0,-1,-1,-1,1,1,-1,1,0,-1,0,0,1,1,0,1,0,1,0,1,-1,1,-1,1,1,1,1
Raimundo Gomes de Matos,PSDB,CE,0,1,-1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,-1,0,0,1,1,1,0,1,1,1,1,1,-1,0,0,0,0,-1,-1,1,1,0,1,-1,1,0,1,1,-1,1,0,1,1
Mauro Benevides,PMDB,CE,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,1,0,-1,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,0,1,0,0,-1,0,0,1,1,1,1,1,1,0,-1,0,-1,0,0,0,1
João Dado,PDT,SP,0,1,-1,-1,0,1,-1,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,0,0,-1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,1,1,1,0,1,-1,1,1,-1,0,0,1,0,0,1,0,1,1,1,0,1,-1,0,0,1,1
Wolney Queiroz,PDT,PE,0,-1,-1,-1,0,1,-1,0,0,0,-1,0,-1,-1,0,-1,1,0,-1,0,-1,0,-1,0,0,-1,-1,1,0,-1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
Osmar Terra,PMDB,RS,-1,0,1,-1,0,0,0,-1,-1,1,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,0,1,1,-1,1,1,-1,1,1,-1,0,0,0,1,1,1,1,1,1,0,-1,1,0,0,0,0,1
Sandes Júnior,PP,GO,0,-1,-1,-1,0,0,0,0,-1,1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,1,-1,-1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1
Márcio Reinaldo Moreira,PP,MG,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,1,1,1,0,1,1,1,0,0,1,0,-1,-1,1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,-1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Nelson Meurer,PP,PR,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1,1,0,-1,0,0,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,0,0,1,0,1,1,1,1,0,-1,1,1,1,0,0,1
Simão Sessim,PP,RJ,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,-1,0,0,-1,1,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,1,0,1,0,0,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
João Pizzolatti,PP,SC,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,-1,1,1,0,0,-1,-1,-1,-1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
Mário Negromonte,PP,BA,1,0,-1,-1,-1,0,-1,-1,0,1,-1,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,1,0,-1,0,-1,0,1,0,-1,0,0,0,-1,1,1,1,1,0,0,1,0,1,1,1,-1,0,1,0,-1,-1,0,0,0,1,1,0,-1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1
José Linhares,PP,CE,-1,0,-1,0,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,-1,1,0,-1,0,0,-1,-1,1,0,1,1,0,1,1,1,0,1,1,-1,0,1,0,-1,-1,1,0,0,1,1,0,-1,0,1,-1,0,0,1,1,1,0,1,1,1,1,0,1,-1,0,0,0,0
Roberto Balestra,PP,GO,-1,0,-1,0,-1,1,-1,0,-1,1,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,-1,1,1,1,0
Dilceu Sperafico,PP,PR,-1,-1,-1,0,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,-1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,1,-1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,-1,1,0,0,1
Luis Carlos Heinze,PP,RS,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,0,1,1,0,-1,1,-1,-1,1,0,-1,-1,0,1,1,1,1,1,1,0,1,-1,1,-1,1,1,-1,-1,1,-1,0,0,0,-1,-1,1,1,1,-1,1,1,0,-1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,-1
Pedro Henry,PP,MT,-1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,0,-1,0,0,0,1,0,-1,0,1,-1,0,0,0,1,0,-1,0,1,1,1,0,1,0,0,1,1,0,1,-1,-1,1,0,-1,-1,0,-1,-1,1,1,1,0,0,0,-1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
Jovair Arantes,PTB,GO,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,1,0,-1,0,0,0,1,1,1,1,-1,0,0,0,1,0,0,0,0,1
Edson Ezequiel,PMDB,RJ,-1,-1,1,-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,-1,1,1,-1,-1,1,1,1,0,1,1,1,1,0,0,1,-1,-1,1,-1,-1,-1,0,1,1,-1,0,-1,-1,1,1,-1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
Costa Ferreira,PSC,MA,-1,-1,1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
Eduardo Cunha,PMDB,RJ,1,-1,1,-1,-1,1,0,-1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,-1,-1,1,1,-1,0,1,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,1
Nelson Bornier,PMDB,RJ,1,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,-1,-1,-1,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,1
Zequinha Marinho,PSC,PA,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,1,-1,-1,0,1,1,0,1,1,0,0,1,1,0,1,-1,-1,0,-1,-1,-1,0,1,1,1,0,1,-1,1,1,-1,0,1,0,0,1,0,0,1,0,1,0,1,-1,1,0,0,1
Arnon Bezerra,PTB,CE,-1,0,1,-1,1,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,0,0,-1,0,-1,-1,1,1,0,0,0,0,-1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
Rose de Freitas,PMDB,ES,1,1,0,0,0,1,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,0,1,-1,0,1,0,0,1,1,0,1,0,1,1,0,-1,1,1,1,1
Nazareno Fonteles,PT,PI,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,0,0,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,-1
Elcione Barbalho,PMDB,PA,1,0,1,-1,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,1,1,1,0,1,1,-1,1,0,0,-1,0,0,0,-1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
Sergio Guerra,PSDB,PE,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,1,1,0,0,0,-1,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paes Landim,PTB,PI,0,-1,1,0,0,0,-1,0,-1,0,-1,0,-1,-1,0,-1,1,0,0,0,0,-1,-1,1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
André Figueiredo,PDT,CE,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,0,-1,-1,0,0,0,0,1,1,-1,0,1,0,1,1,1,1,0,1,1,0,0,-1,1,0,0,1
Alexandre Santos,PMDB,RJ,0,-1,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,-1,0,1,1,1,0
Natan Donadon,PMDB,RO,1,-1,1,-1,0,1,-1,-1,-1,1,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1
Marco Maia,PT,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdir Colatto,PMDB,SC,0,1,1,-1,-1,0,0,-1,-1,1,-1,0,-1,-1,0,-1,1,-1,-1,0,-1,-1,1,1,0,0,1,-1,-1,1,0,0,1,1,1,1,0,1,1,1,0,1,-1,0,0,0,0,-1,-1,1,-1,-1,-1,0,0,-1,0,0,0,0,1,0,-1,0,1,0,0,1,0,1,0,1,0,-1,0,-1,1,1,0,0
Jair Bolsonaro,PP,RJ,1,1,1,1,1,1,0,-1,1,-1,-1,1,-1,1,0,-1,1,1,-1,-1,-1,1,1,-1,0,1,1,1,-1,1,-1,-1,1,0,1,1,1,-1,-1,1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,0,-1,-1,-1,0,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,0,-1
