nome,partido,uf,MPV 267/2005,MPV 268/2005,MPV 269/2005,MPV 269/2005,MPV 269/2005,MPV 272/2005,MPV 273/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 276/2006,MPV 276/2006,MPV 276/2006,MPV 278/2006,MPV 278/2006,MPV 279/2006,MPV 279/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 281/2006,MPV 283/2006,MPV 283/2006,MPV 284/2006,MPV 284/2006,MPV 284/2006,MPV 285/2006,MPV 285/2006,MPV 287/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 316/2006,MPV 327/2006,PDC 2075/2005,PEC 199/2003,PEC 199/2003,PEC 347/1996,PEC 347/1996,PEC 349/2001,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/2006,PEC 548/2002,PEC 548/2002,PEC 548/2002,PEC 7/2003,PEC 7/2003,PEC 7/2003,PL 4428/2004,PL 4591/2004,PL 4776/2005,PL 5855/2005,PL 5855/2005,PL 5855/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PLP 123/2004,PLP 123/2004,PLP 184/2004,PLP 22/2003,PLP 22/2003,PLP 249/2005,PLP 249/2005,PLP 249/2005,PLP 380/2006,PLP 76/2003,PLP 76/2003,REP 43/2005
Leandro Vilela,PMDB,GO,0,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,-1,-1,1,1,0,0,1,0,0,1,-1,1,0,1,-1,-1,0,0,-1,0,0,0,0,0,1,1,0,0,-1
Enio Tatico,PTB,GO,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Vilmar Rocha,PFL,GO,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,-1,0,0,0,1,-1,0,0,1,0,1,0,0,0,1,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,-1,1,0,1,0,-1,-1,1,-1,1,0,0,0,1,1,1,0,1,1,1,0,-1,1,1,0,0,0,0,0,1,-1,1
Ronaldo Caiado,PFL,GO,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,0,1,1,1,0,1,-1,1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,1,1,1,-1,1,1,0,1,0,1,1,-1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Carlos Alberto Leréia,PSDB,GO,1,0,-1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,0,-1,0,1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,0
João Campos,PSDB,GO,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,-1,0,1,0,1,1,1,0,0,0,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,0,0,-1,0,0,1,0,1,0,-1,0,0,1,0,0,0,0,-1,0,0,0,1,0,1,1,1,0,1
Professora Raquel Teixeira,PSDB,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,1,0,0,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,-1,0,0,0,1,0,0,0
Neiva Moreira,PDT,MA,1,0,-1,-1,1,-1,-1,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,-1,-1,0,1,1,-1,1,-1,1,0,0,0,1,0,1,-1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,0,0,1,0,0,1,-1,1,1,1,0,-1,0,0,0,0,0,0,1,0,0,-1
Wagner Lago,PDT,MA,1,0,1,-1,1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,1,-1,1,0,0,-1,1,0,0,-1,1,-1,0,0,0,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,0,-1,0,1,-1,1,1,0,-1,1,1,-1,0,0,0,1,1,-1,-1
Terezinha Fernandes,PT,MA,1,0,1,-1,-1,0,-1,0,0,-1,0,0,-1,-1,1,-1,0,1,0,-1,-1,-1,-1,0,0,0,-1,1,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,-1,1,0,1,1,1,0,0,0,0,1,1,-1,1,1,0,-1,-1,-1,1,-1,1,0,0,0,0,0,1,1,-1,0,-1,0,-1,0,1,-1,-1,1,0,1,1,0,-1
Gastão Vieira,PMDB,MA,1,1,1,-1,1,-1,-1,0,0,-1,0,0,0,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,0,1,-1,1,-1,-1,-1,-1,-1,0,0,-1,1,-1,0,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,0,-1,1,1,1,-1,1,-1,1,-1,1,0,-1,1,1,1,1,1,-1,-1
Nice Lobão,PFL,MA,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,0,0,1,1,1,0,-1,1,1,1,0,-1,1,1,-1,0,0,0,1,1,0,0
Pedro Fernandes,PTB,MA,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,0,1,1,1,-1,-1
Clóvis Fecury,PFL,MA,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,1,-1,0
Sarney Filho,PV,MA,1,1,0,-1,0,0,0,0,0,1,0,1,0,-1,1,0,0,0,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,-1,1,-1,0,0,0,-1,0,0,1,1,1,1,0,-1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,0,-1,1,0,0,-1,1,1,0,0,-1,0,0,0,-1,0,-1,1,0,0,0
Ribamar Alves,PSB,MA,0,1,1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,-1,0,1,0,-1,1,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,-1,1,0,1,1,0,0,0,0,-1,1,1,-1,0,0,0,1,1,-1,0
Sebastião Madeira,PSDB,MA,1,-1,-1,0,1,1,0,-1,0,1,0,1,0,0,0,-1,0,-1,0,1,1,1,1,0,0,-1,-1,-1,1,0,1,1,1,-1,0,0,1,-1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,0,-1,1,1,1,1,-1,1,0,1,1,1,0,1,-1,0,1,-1,1,1,1,1,1,0,0
João Castelo,PSDB,MA,1,-1,-1,0,1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,1,0,0,1,1,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,0,1,1,1,-1,1,0,1,-1,-1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1
Maria do Carmo Lara,PT,MG,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,0,-1,0,1,-1,-1,0,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,-1,0,0,1,0,1,-1,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,0,1,1,-1,-1,-1,1,0,1,1,-1,1,1,-1,1,1,-1,-1
Ivo José,PT,MG,1,0,1,0,0,0,0,1,0,-1,-1,-1,0,-1,1,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,-1,1,0,1,1,1,1,0,0,0,1,1,-1,1,1,0,-1,-1,-1,1,0,1,1,1,-1,0,0,0,1,-1,-1,0,1,-1,0,0,-1,1,0,-1,1,1,-1,-1
Odair Cunha,PT,MG,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,1,1,-1,1,-1,0,0,-1,-1,0,0,0,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,0,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,0,1,1,1,-1,-1
João Magno,PT,MG,1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,1,1,1,0,0,0,-1,-1,-1,-1,0,0,-1,0,1,0,0,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-1,-1,-1,-1,1,0,1,1,1,-1,1,0,0,1,-1,-1,-1,1,-1,0,0,-1,1,1,-1,1,1,-1,-1
Virgílio Guimarães,PT,MG,0,1,0,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,0,0,-1,0,-1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,-1,-1,-1,0,-1,-1,0,0,1,-1,0,0,0,1,-1,-1,0,0,-1,1,0,0,1,0,1,0,1,-1,-1
Reginaldo Lopes,PT,MG,0,1,1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,0,0,0,1,0,1,-1,0,-1,-1,-1,0,1,-1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,0,0,0,0,1,0,1,1,-1,-1,0,1,0,1,0,0,1,1,1,1,1,-1,-1
Paulo Delgado,PT,MG,1,0,1,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1,1,0,1,0,1,0,0,0,0,-1,-1,0,1,0,1,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,1,-1,1,1,-1,1,1,1,1,1,-1,0
Gilmar Machado,PT,MG,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,-1,-1,-1,0,0,0,-1,0,1,0,0,0,0,-1,-1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,-1,0,-1,-1,1,-1,1,1,0,-1,1,0,1,1,-1,-1,-1,1,-1,1,1,0,1,1,1,1,0,0,-1
Leonardo Monteiro,PT,MG,1,0,1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,0,-1,1,1,1,-1,1,0,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,0,0,1,-1,0,-1,1,0,1,0,-1,1,0,1,1,1,0,-1
César Medeiros,PT,MG,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,0,-1,1,0,1,1,-1,-1,-1,1,-1,1,0,-1,-1,1,-1,1,1,-1,-1
Romeu Queiroz,PTB,MG,1,1,1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,1,0,-1,1,-1,0,-1,0,0,1,1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,-1,1,1,1,-1,1,1,1,-1,1,0,-1,1,-1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,-1
José Militão,PTB,MG,1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,0,1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,-1,1,1,1,-1,1,1,1,-1,1,0,-1,1,1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,-1
Marcello Siqueira,PMDB,MG,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,0,1,1,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,-1,1,1,1,1,1,-1,-1
Fernando Diniz,PMDB,MG,1,1,1,-1,1,0,-1,1,-1,-1,-1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,1,1,-1,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,-1,-1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-1,1,0,-1,0,0,1,0,0,-1,-1
Silas Brasileiro,PMDB,MG,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,-1,1,0,1,1,1,-1,0,-1,-1,-1,0,0,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saraiva Felipe,PMDB,MG,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,1,-1,1,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,1,1,1,1,0,0
Lincoln Portela,PL,MG,1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,0,-1,1,0,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,0,1,1,0,-1,1,1,-1,1,-1,-1,-1,1,-1,1,0,-1,1,1,1,1,1,-1,-1
Geraldo Thadeu,PPS,MG,-1,-1,-1,0,0,0,0,-1,0,1,1,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,0,-1,1,-1,1,0,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,-1,-1,1,1,1,-1,1,1,1,1,0,0,0,1,1,-1,0,0,-1,1,1,-1,0,1,-1,0,1,-1,-1
Lael Varella,PFL,MG,0,1,0,-1,-1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,1,0,1,-1,1,-1,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,1,0,0,1,1,0,0,0,-1,1,1,0,-1,1,1,1,-1,0,1,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,1,1,1,1,1,-1,0
Jaime Martins,PL,MG,1,1,1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,0,1,-1,0,-1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,-1,1,1,-1,0,1,1,1,-1,1,1,0,0,1,1,0,1,0,-1,-1,1,-1,1,1,0,0,0,1,1,1,-1,-1
Isaias Silvestre,PSB,MG,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,0,1,1,1,-1,0,-1,-1,-1,-1,0,0,0,0,1,-1,0,1,0,0,-1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,0,-1,1,1,0,0,0,0,1,0,-1,-1
Leonardo Mattos,PV,MG,1,1,-1,-1,1,0,0,0,0,1,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,-1,0,0,0,1,0,-1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,-1,-1,-1,-1,1,0,1,1,1,1,0,1,1,-1,1,0,1,0,0,1,1,-1,-1,1,-1,0,1,-1,1
Narcio Rodrigues,PSDB,MG,0,-1,-1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,-1,0,1,1,1,1,1,0,1,-1,1,1,-1,1,0,1,1,1,-1,1
Eduardo Barbosa,PSDB,MG,1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,1,1,1,0,-1,0,0,-1,-1,1,0,1,0,1,0,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,1,-1,0,1,1,1,1,0,1,-1,1,0,-1,1,1,1,1,0,-1,1
Custódio Mattos,PSDB,MG,1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,1,-1,-1,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,0,1,0,1,-1,1,-1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,0,1,-1,1,1,0,1,1,-1,1,1,0,1
Rafael Guerra,PSDB,MG,1,-1,-1,0,1,1,0,0,0,1,0,1,0,0,0,-1,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,0,-1,0,0,1,1,1,1,1,-1,1,0,0,1,0,1,0,1,-1,1
João Grandão,PT,MS,1,1,0,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,1,1,0,0,0,0,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,-1,-1,1,1,0,1,1,1,1,1,0,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,0,-1,0,0,1,1,-1,-1,0,0,-1,1,1,-1,0,0,0,1,1,-1,-1
Biffi,PT,MS,1,1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,1,0,0,0,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,0,0,1,1,0,0,0,0,-1,1,0,-1,1,1,1,1,1,0,-1
Vander Loubet,PT,MS,0,1,1,0,0,0,0,1,-1,-1,0,0,-1,0,0,0,-1,1,0,-1,-1,-1,0,1,1,1,-1,0,-1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,1,1,-1,-1,-1,0,-1,1,1,-1,0,1,1,1,0,-1,-1
Nelson Trad,PMDB,MS,1,1,1,-1,1,0,-1,1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,1,-1,1,1,1,0,1,0,-1,1,-1,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,-1,1,1,1,1,1,0,1,1,0,1,-1,1,0,-1,-1,0,0,1,1,-1,0,0,-1,0,0,-1,-1
Waldemir Moka,PMDB,MS,1,1,1,-1,1,-1,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,1,0,0,1,0,-1,0,1,0,0,-1,1,0,1,-1,1,0,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1,-1,1,1,0,1,0,0,1,1,0,-1
Geraldo Resende,PPS,MS,-1,-1,0,-1,1,-1,-1,0,0,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,1,0,1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,1,0,0,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1
Murilo Zauith,PFL,MS,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,1,-1,1,0,1,1,1,0,1,-1,1,-1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,1,1,1,-1,1,0,0,1,0,1,1,-1,0,0,1,1,0,0,1,-1,1,1,1,0,0,-1,0
Carlos Abicalil,PT,MT,1,1,1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,1,1,1,-1,1,0,0,-1,-1,-1,-1,0,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,0,0,1,1,-1,-1,-1,1,-1,1,1,0,1,0,1,1,1,-1,-1
Wellington Fagundes,PL,MT,0,0,1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,1,0,0,1,-1,1,-1,1,-1,1,1,0,1,0,0,-1,1,-1,1,0,0,-1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,-1,0,1,1,1,-1,0,0,0,-1,0,0,1,0,0,0,0,1,-1,1,1,-1,0,1,1,0,1,0,-1
Celcita Pinheiro,PFL,MT,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,1,-1,1,0,0,1,1,0,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,0,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1
Ricarte de Freitas,PTB,MT,1,0,1,0,-1,-1,0,1,-1,-1,-1,0,0,0,1,0,-1,1,-1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1,0,0,0,0,-1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,0,-1,-1,1,1,0,-1,1,0,0,1,-1,0,-1,1,0,0,0,0,-1,0,0,0,1,1,1,1,0,-1,-1
Thelma de Oliveira,PSDB,MT,1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,1,1,1,0,1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1
Zé Geraldo,PT,PA,0,1,0,-1,1,0,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,1,1,1,1,1,1,1,0,1,1,0,-1,1,1,-1,-1,1,1,1,-1,0,1,1,-1,0,0,1,1,-1,-1,0,1,0,1,0,0,1,0,-1,0,0,0,0
Josué Bengtson,PTB,PA,0,0,1,0,0,-1,-1,0,-1,0,-1,0,0,-1,1,0,-1,0,-1,-1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,-1,0,1,-1,1,0,1,-1,0,-1,1,1,-1,1,0,1,1,1,0,0
Ann Pontes,PMDB,PA,1,1,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,0,-1,1,0,1,1,-1,1,1,1,1,1,-1,0
José Priante,PMDB,PA,1,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,1,1,1,0,1,1,1,1,1,-1,0,0,-1,-1,1,1,1,-1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Raimundo Santos,PL,PA,1,1,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,1,-1,-1,1,0,-1,0,1,-1,1,0,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,-1,-1,1,1,-1,-1,1,0,1,-1,1,1,1,1,0,0,-1,0,0,1,0,-1,1,1,1,1,1,0,-1
Vic Pires Franco,PFL,PA,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,-1,0,-1,-1,1,-1,0,0,0,1,1,-1,1,-1,1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,0,0,1,1,0,1,-1,1,1,1,1,0,1,0,-1,1,1,1,1,1,-1,1
