nome,partido,uf,MPV 267/2005,MPV 268/2005,MPV 269/2005,MPV 269/2005,MPV 269/2005,MPV 272/2005,MPV 273/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 275/2005,MPV 276/2006,MPV 276/2006,MPV 276/2006,MPV 278/2006,MPV 278/2006,MPV 279/2006,MPV 279/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 280/2006,MPV 281/2006,MPV 283/2006,MPV 283/2006,MPV 284/2006,MPV 284/2006,MPV 284/2006,MPV 285/2006,MPV 285/2006,MPV 287/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 288/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 291/2006,MPV 316/2006,MPV 327/2006,PDC 2075/2005,PEC 199/2003,PEC 199/2003,PEC 347/1996,PEC 347/1996,PEC 349/2001,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/1997,PEC 536/2006,PEC 548/2002,PEC 548/2002,PEC 548/2002,PEC 7/2003,PEC 7/2003,PEC 7/2003,PL 4428/2004,PL 4591/2004,PL 4776/2005,PL 5855/2005,PL 5855/2005,PL 5855/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PL 6272/2005,PLP 123/2004,PLP 123/2004,PLP 184/2004,PLP 22/2003,PLP 22/2003,PLP 249/2005,PLP 249/2005,PLP 249/2005,PLP 380/2006,PLP 76/2003,PLP 76/2003,REP 43/2005
José Rocha,PFL,BA,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,-1,1,0,1,1,1,0,1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,1,1,0,0,-1,1,1,1,1,-1,0,0,0,1,0,0,1,1,-1,0
Antonio Carlos Magalhães Neto,PFL,BA,-1,0,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,1,1,-1,0,0,0,1,-1,1,0,1,1,1,0,1,-1,1,-1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,-1,1,1,0,-1,-1,-1,0,0,1,1,0,1,1,1,1,-1,0,1,1,1,-1,0,1,-1,1,1,1,1,1,-1,1
Aroldo Cedraz,PFL,BA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,1,1,0,0,1,0,1,-1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,-1,1,1,0,1,0,0,1,1,0,1,-1,1,0,0,0,0,1,1,-1,1,0,1,0,1,-1,0
José Carlos Aleluia,PFL,BA,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0,1,-1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,-1,1,0,1,0,0,1,1,1,1,1,1,-1,1,1,0,1,0,1,0,-1,1,0,1,0,1,0,1
Marcelo Guimarães Filho,PFL,BA,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,1,0,1,0,1,0,0,-1,1,-1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,-1,-1,-1,1,0,1,1,0,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1
Zelinda Novaes,PFL,BA,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,1,1,0,-1,-1,0,1,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,1,1,1,0,-1,1,1,0,1,-1,1,0,-1,1,0,1,1,1,-1,0
Fernando de Fabinho,PFL,BA,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,1,0,1,0,1,0,0,0,1,-1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,-1,1,1,-1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,-1,0,0,1,0,1,-1,0
Gerson Gabrielli,PFL,BA,0,-1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,-1,-1,1,1,-1,1,0,0,1,1,0,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Fábio Souto,PFL,BA,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,1,-1,1,0,1,1,1,0,1,-1,0,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,-1,-1,-1,1,-1,1,1,0,1,1,0,0,-1,1,1,1,0,0,0,1,-1,1,1,1,0,1,-1,0
Robério Nunes,PFL,BA,0,-1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,-1,-1,-1,1,-1,1,1,0,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luiz Carreira,PFL,BA,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,1,1,-1,0,0,0,0,0,0,0,1,1,1,0,1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,-1,-1,1,0,1,1,0,1,1,1,1,-1,1,0,1,1,-1,0,0,0,1,1,1,1,1,-1,0
Jutahy Junior,PSDB,BA,1,-1,-1,0,1,1,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,1,1,1,-1,0,0,-1,-1,1,0,1,0,1,-1,0,-1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,-1,-1,1,0,1,-1,1,1,1,-1,1,1,-1,1,0,1,1,1,-1,0
João Almeida,PSDB,BA,1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,1,0,-1,0,0,-1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,0,0,-1,1,-1,1,1,0,-1,-1,1,0,1,1,1,1,1,-1,0,0,0,1,1,1,1,0,0,0
Alice Portugal,PCdoB,BA,1,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,-1,-1,1,1,1,-1,1,1,1,0,1,0,1,1,-1,-1,0,0,0,1,1,-1,1,0,-1,0,1,-1,-1
José Pimentel,PT,CE,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,0,-1,0,-1,-1,1,1,1,-1,1,0,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,0,1,1,0,0,0,0,0,-1,1,1,0,-1,-1,-1,1,-1,1,0,1,-1,0,0,1,1,0,0,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1
Aníbal Gomes,PMDB,CE,1,1,1,0,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,1,0,1,0,1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,-1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,-1,1,0,1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,1,0,0,1,0,1,1,0,0,1,-1,0
Zé Gerardo,PMDB,CE,0,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,0,0,0,-1,-1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,-1,1,-1,0,-1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,-1,1,0,-1,-1,1,1,0,0,1,0,0,1,0,1,1,1,-1,-1,-1,1,0,1,0,0,1,0,1,0,1,0,0
Moroni Torgan,PFL,CE,-1,1,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,1,1,-1,-1,-1,0,1,-1,1,0,1,1,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,1,1,1,-1,1,1,0,1,1,-1,1,-1,1,1,1,1,0,1,1,-1,1,1,1,0,1,0,1
Leo Alcântara,PSDB,CE,0,-1,-1,0,1,1,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,1,0,1,1,1,0,0,0,1,-1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,0,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,-1,1
Antonio Cambraia,PSDB,CE,1,-1,-1,0,1,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,0,1,1,1,1,-1,0,0,-1,-1,1,0,1,1,1,0,1,-1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,0,1
Bismarck Maia,PSDB,CE,0,-1,-1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,0,0,1,0,0,1,-1,0,0,-1,-1,1,0,1,0,0,0,0,-1,1,-1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,-1,1,1,1,-1,1,1,0,1,-1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
Manoel Salviano,PSDB,CE,0,1,-1,0,1,1,-1,-1,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,1,1,0,0,0,1,-1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,-1,-1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,-1,0,1,-1,1
Vicente Arruda,PSDB,CE,1,-1,-1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,0,0,1,1,0,1,-1,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,0,1,-1,0,0,-1,1,1,1,0,-1,0,0,0,1,1,1,1,0,0,1
Inácio Arruda,PCdoB,CE,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,0,1,0,0,1,1,-1,1,1,0,0,-1,1,0,1,0,-1,1,1,-1,1,0,-1,-1
Wasny de Roure,PT,DF,0,1,1,0,0,-1,0,1,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,1,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1
Osório Adriano,PFL,DF,-1,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Tatico,PTB,DF,1,0,1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,-1,-1,1,1,0,0,1,1,0,-1,1,0,0,1,0,0,-1,1,-1,1,1,-1,1,1,1,0,1,0,0
Carlos Manato,PDT,ES,1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,0,0,0,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1
Iriny Lopes,PT,ES,0,0,0,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,0,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,-1,-1,1,-1,1,1,-1,-1
Marcelino Fraga,PMDB,ES,1,1,1,-1,1,0,0,1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,1,-1,0,0,1,0,0,0,-1,1,-1,0,0,0,-1,1,-1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,0,-1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1
Renato Casagrande,PSB,ES,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,1,0,0,1,0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,0,-1,1,1,0,1,-1,-1,-1,1,-1,1,1,-1,1,0,1,1,1,-1,-1
Neyde Aparecida,PT,GO,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,0,1,-1,-1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,0,0,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,0,0,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,0,1,1,1,0,-1
