nome,partido,uf,REQ 3970/2016,PLP 163/2015,REQ 4881/2016,REQ 5022/2016,MSC 471/2016,PL 6568/2016,REQ 5679/2016,REQ 5829/2017,MPV 747/2016,MPV 747/2016,REQ 5468/2016,REQ 6026/2017,REQ 6074/2017,PEC 209/2012,PEC 395/2014,PL 4302/1998,PL 4302/1998,PL 4302/1998,PL 4302/1998,REQ 6053/2017,MPV 751/2016,PEC 395/2014,PL 5587/2016,PL 5587/2016,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,REQ 6281/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,REQ 6292/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,PL 6787/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,MPV 752/2016,PEC 304/2017,PEC 304/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,PLP 343/2017,MPV 757/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 756/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,MPV 758/2016,REQ 6015/2017,MPV 755/2016,MPV 763/2016,MPV 763/2016,MPV 763/2016,MPV 763/2016,PLP 54/2015,MPV 765/2016,MPV 767/2017,PLP 54/2015,PLP 54/2015,PEC 304/2017,REQ 6150/2017,PEC 199/2016,REQ 6711/2017,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 759/2016,MPV 770/2017,MPV 770/2017,MPV 770/2017
Vander Loubet,PT,MS,0,1,-1,1,-1,1,1,-1,1,1,1,0,1,1,0,0,1,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,-1,0,0,0,0,0,1,0,0
Zé Geraldo,PT,PA,1,0,-1,1,-1,1,1,-1,1,-1,1,0,1,0,0,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,-1,1,1,0,0,1,1,0,1,-1,-1,-1,0,0,-1,-1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,0
Josué Bengtson,PTB,PA,1,1,1,0,1,1,1,0,-1,1,0,1,1,0,0,-1,-1,0,1,1,1,0,-1,-1,-1,-1,-1,1,-1,0,1,-1,1,0,0,0,0,0,0,0,1,-1,1,0,-1,-1,1,1,1,-1,1,-1,-1,0,0,-1,0,1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,1,1,1,0,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,-1,0,-1
José Priante,PMDB,PA,0,1,0,0,0,1,0,0,-1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,-1,1,1,0,-1,1,-1,-1,0,0,-1,-1,1,1,-1,1,0,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0
Nilson Pinto,PSDB,PA,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,0,0,1,-1,0,1,-1,1,0,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,-1,0,1,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,0,1,0,-1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,-1,1,1,-1,-1,0,0,0,-1,0,-1
Luiz Couto,PT,PB,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,1,-1,-1,1,-1,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,0,0,0,0
Marcelo Castro,PMDB,PI,0,1,-1,1,-1,0,1,0,-1,0,1,1,0,1,0,0,-1,-1,0,1,1,1,-1,-1,-1,1,1,-1,-1,0,1,-1,0,-1,0,1,0,1,1,1,0,-1,1,0,-1,-1,1,-1,0,-1,1,-1,-1,0,0,-1,-1,0,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,1,0,1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,-1,0,0,-1,1,-1,-1,0
Osmar Serraglio,PMDB,PR,1,1,-1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,0,1,-1,-1,0
Luiz Carlos Hauly,PSDB,PR,1,0,-1,0,0,1,1,1,0,0,1,1,1,1,0,-1,0,-1,1,1,-1,1,1,1,-1,0,0,0,0,0,1,-1,1,1,-1,1,0,1,1,1,1,-1,1,0,0,0,1,1,1,-1,1,-1,-1,0,0,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,0,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,0,-1,-1,0,0,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1
Alex Canziani,PTB,PR,1,1,1,1,1,1,0,0,-1,1,0,1,0,1,-1,-1,0,-1,1,1,-1,1,0,-1,0,-1,-1,1,0,0,1,-1,0,1,-1,1,0,1,1,1,1,-1,1,0,0,0,1,1,1,0,1,-1,1,0,0,-1,0,0,1,0,1,-1,1,-1,1,-1,1,-1,0,1,1,0,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0,0,-1,0,1,1,0,1,0,0,-1,1,-1,0,0,0,0
Luiz Sérgio,PT,RJ,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,0,0,0,0
Jandira Feghali,PCdoB,RJ,1,1,0,1,-1,-1,0,-1,1,-1,1,-1,-1,0,0,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,1,-1,0,0,1,-1,-1,-1,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,-1,0,0,0,0,0,0,0,0
Marinha Raupp,PMDB,RO,0,1,-1,1,1,0,1,0,-1,1,0,0,0,0,0,-1,0,-1,1,1,-1,-1,0,1,-1,0,-1,0,-1,0,1,-1,1,1,-1,0,0,1,1,1,1,1,-1,-1,-1,0,1,1,1,-1,1,-1,-1,0,0,-1,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,1,0,1,0,-1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,-1,1,1,1,1,1,0,-1,-1,1,-1,1,0,0,0
Paulo Pimenta,PT,RS,1,1,-1,1,-1,-1,1,-1,0,-1,0,-1,-1,1,0,0,0,0,-1,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Henrique Fontana,PT,RS,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,0,0,0,0,-1,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,-1,-1,0,1,1,-1,0,0,0,0,0,0,0,0
Maria do Rosário,PT,RS,0,1,-1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,0,0,0,0,-1,-1,-1,0,-1,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0
Darcísio Perondi,PMDB,RS,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,-1,0,1,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,0,1,1,-1,0,1,1,1,-1,1,0,-1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,-1,-1,1,0,0,-1,-1,-1
Yeda Crusius,PSDB,RS,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,0,-1,-1,0,1,1,0,0,-1,0,-1,-1,-1,1,0,0,1,-1,1,1,-1,1,0,1,1,1,1,-1,1,0,-1,0,1,1,1,-1,1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,0,0,1,-1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,1,1,0,0,1,1,0,-1,0,0,0,0,-1,-1
Arlindo Chinaglia,PT,SP,1,1,-1,1,-1,-1,0,0,1,-1,1,0,0,1,0,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,0,0,-1,1,1,0,0,0,1,0,0,-1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,0,-1,1,-1,0,0,0,0,0,0,0,0
José Mentor,PT,SP,1,1,-1,1,0,1,1,-1,1,-1,1,1,0,1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,1,-1,1,0,0,-1,0,-1,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0
Vicentinho,PT,SP,0,1,-1,0,-1,1,1,-1,0,-1,1,1,1,1,-1,0,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,0
Arnaldo Faria de Sá,PTB,SP,-1,1,1,-1,-1,1,0,-1,1,-1,-1,1,-1,1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,-1,1,1,0,-1,-1,1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,0,-1,0,0,1,1,1,-1,1,-1,1,1,0,1,1,1,1,1,0,1,-1,-1,1,1,1,-1,-1,-1,1,0,0,0,-1,-1
Carlos Sampaio,PSDB,SP,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,1,-1,1,0,1,1,1,0,-1,1,0,0,0,1,0,1,0,0,-1,-1,0,-1,0,0,1,1,-1,1,-1,1,-1,1,0,1,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,0,1,0,0,-1,0,-1,1,0,0,0
Lobbe Neto,PSDB,SP,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,1,-1,1,1,-1,1,0,1,-1,1,-1,1,-1,-1,1,0,1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,-1,1,0,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1
Rubens Otoni,PT,GO,1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,1,0,1,0,0,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,1,1,-1,0,0,0,0,0,0,0,0
