nome,partido,uf,PDC 141/1991,PDC 256/1993,PDC 44/1984,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PL 1258/1988,PL 149/1991,PL 1491/1991,PL 1491/1991,PL 1491/1991,PL 1909/1991,PL 2801/1992,PL 3387/1992,PL 3497/1993,PL 3519/1993,PL 3610/1993,PL 3610/1993,PL 3716/1993,PL 3716/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3984/1993,PL 4176/1993,PL 4176/1993,PL 4233/1993,PL 4233/1993,PL 4562/1989,PL 4621/1990,PL 73/1991,PL 8/1991,PL 824/1991,PL 824/1991,PL 965/1991
Inocêncio Oliveira,PFL,PE,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1
Renildo Calheiros,PCdoB,PE,0,1,1,1,1,-1,0,-1,-1,0,0,1,-1,-1,1,1,1,-1,1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,1,1,-1,1,0,1,0,0,1,0,0,0,1,-1,0,1,-1,1,0,1,1
Mussa Demes,PFL,PI,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,1,1,-1,-1,1,0,1,1,0,0,1,0,1,1,-1,1,1,1,0,0,1,0,0,-1,0,0,1,1,0,1,0,0,0,-1,0,-1,0
Paes Landim,PFL,PI,0,0,0,1,0,-1,0,-1,-1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,-1,1,0,-1,1,1,1,1,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,1,-1,1,0,0
Ciro Nogueira,PFL,PI,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,-1,-1,0,-1,0
Paulo Bernardo,PT,PR,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,0,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,1,0,1,-1,0,1,1,-1,-1,1,1,0,-1,0,-1,0,0,-1,1,0,0,-1
Moacir Micheletto,PMDB,PR,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,1,-1,0,1,1,0,1,1,0,0,1,0,-1,0,0,1,0,0,1,0,0,-1,1,0,0,1,0,-1,0,0,0,1,0,1,1
Carlos Santana,PT,RJ,0,1,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,0,0,-1,0,-1,0,-1,1,1,1,-1,0,0,1,-1,-1,1,0,-1,0,1,-1,0,0,-1,1,0,1,-1
Jandira Feghali,PCdoB,RJ,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,1,0,1,0,1,0,-1,1,0,-1,0,1,-1,0,1,-1,0,0,1,1
Henrique Eduardo Alves,PMDB,RN,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0,-1,1,1,0,1,1,1,0,1,1,-1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,-1,0
Luci Choinacki,PT,SC,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,-1,-1,0,0,1,-1,0,1,1,-1,-1,1,0,-1,1,1,0,0,0,0,0,0,0,0
Edison Andrino,PMDB,SC,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,-1,1,1,1,0,1,-1,1,0,1,0,-1,0,1,1,0,1,1,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,1,-1,1,1,-1,1
Valdemar Costa Neto,PL,SP,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,1,0,0,-1,0,1,-1,1,0,1,1,1,0,-1,-1,-1,-1,0,1,1,0,-1,-1,0,0,0,0,-1,1
