nome,partido,uf,PDC 141/1991,PDC 256/1993,PDC 44/1984,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PL 1258/1988,PL 149/1991,PL 1491/1991,PL 1491/1991,PL 1491/1991,PL 1909/1991,PL 2801/1992,PL 3387/1992,PL 3497/1993,PL 3519/1993,PL 3610/1993,PL 3610/1993,PL 3716/1993,PL 3716/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3984/1993,PL 4176/1993,PL 4176/1993,PL 4233/1993,PL 4233/1993,PL 4562/1989,PL 4621/1990,PL 73/1991,PL 8/1991,PL 824/1991,PL 824/1991,PL 965/1991
Romel Anizio,PP,MG,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,0,1,0,1,-1,0,0,-1,-1,-1,-1,0,1,0,1,0,0,0,0,-1,1,1,1
Vadão Gomes,PP,SP,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,1,0,1,1,0,0,0,-1,-1,1,1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,0,1,0,-1,-1,0,0,0
José Linhares,PP,CE,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,-1,0,-1,0,1,0,-1,0,1,1,-1,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,1,1,1
Derval de Paiva,PMDB,TO,1,0,-1,1,1,-1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,0,0,0,0,1,-1,0,0,0,1,1,1,1
Francisco Coelho,PFL,MA,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,1
Aloizio Mercadante,PT,SP,-1,0,0,1,1,-1,-1,-1,-1,-1,0,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,0,-1,0,1,1,-1,-1,1,0,1,-1,-1,1,0,-1,0,0,-1,0,1,0,1,0,1,-1
Eraldo Tinoco,PFL,BA,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,0,1,1,0,1,0,-1,0,-1,0,-1,1
Aracely de Paula,PFL,MG,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,0,1,-1,1,0,1,1,0,-1,-1,0,0,1,1,1,-1,-1,0,0,-1,1,-1,0
Genésio Bernardino,PMDB,MG,0,1,-1,1,1,0,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,1,1,-1,0,1,0,-1,0,-1,0
Odelmo Leão,PP,MG,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,0,1,1,0,0,-1,1,-1,-1,1,1,1
Roberto Magalhães,PFL,PE,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,1,1,1,0,1,0,0,0,1,1,-1,-1,1,1,0,1,0,-1,-1,-1,1,0,1,0,0,0,0,1,-1,0,1,-1,1
Valdir Colatto,PMDB,SC,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,0,-1,-1,1,1,1,-1,1,1,-1,-1,0,1,-1,1,0,0,0,1,1,-1,1,1,1,1
Alceste Almeida,PTB,RR,0,1,0,1,1,-1,-1,-1,-1,0,0,1,1,0,1,1,1,1,1,-1,0,0,1,0,-1,0,0,0,-1,1,1,0,-1,1,0,-1,0,1,-1,0,1,1,0,-1,-1,1,-1,1,0,-1,1
Pedro Irujo,PMDB,BA,0,1,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,0,1,0,0,0,1,0,1,0,1,1,-1,1,1,1,-1,1,0,1,-1,0,-1,0,0,-1,0,-1,0,1,-1,1,1,-1,1
Augusto Carvalho,PPS,DF,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,-1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,-1,-1,-1,1,0,0,0,-1,1,1,-1,1
Ibsen Pinheiro,PMDB,RS,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,-1,0
Benedita da Silva,PT,RJ,0,1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,0,1,1,1,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,1,1,1,-1,1,1,0,0,0,0,0,-1,-1,0,0,0,1,0,1,0,1,-1
Sérgio Brito,PSD,BA,1,0,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1
Eduardo Jorge,PT,SP,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,0,-1,-1,0,1,1,1,-1,1,1,1,-1,-1,1,0,-1,-1,1,-1,0,1,0,1,0,1,-1
Ivanio Guerra,PFL,PR,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,0,0,1,-1,-1,0,-1,0,1,1,-1,1,1,1,0,-1,1,-1,1
Sarney Filho,PFL,MA,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,1,0,0,1,-1,0,0,0,-1,1,1,-1,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,1,1,0,1
Gonzaga Mota,PMDB,CE,1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,0,1,-1,1,1,-1,-1,0,0,0,0,1,0,-1,0,0,0,1,1,-1,1
Moroni Torgan,PSDB,CE,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,0,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,-1,1,-1,1,1,-1,1
Ubiratan Aguiar,PSDB,CE,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0,1,1,1,1,0,0,1,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,0,0,1,0,-1,0,1,-1,1,1,-1,0
Antônio Geraldo,PFL,PE,0,0,0,1,1,-1,-1,-1,0,-1,-1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,-1,0,1,0,-1,0,0,-1,1,1,0,-1,1,1,0,-1,0,0,-1,0,1,1,1
José Múcio Monteiro,PFL,PE,0,0,0,1,0,0,0,-1,-1,-1,-1,1,1,1,1,1,0,-1,0,1,1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,-1,-1,1,0,0
Sergio Guerra,PSB,PE,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-1,-1,-1,1,1,0,1,1,1,0,0,0,1,0,0,-1,0,0,-1,1,0,1,0,1,0
Leur Lomanto,PFL,BA,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,1,1,-1,-1,-1,-1,1,1,1,0,1,1,1,0,1,1,-1,-1,1,0,1,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,1
Manoel Castro,PFL,BA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,1,1,-1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,1,0,0,-1,-1,1,0,1
Flávio Arns,PSDB,PR,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,0,1,0,-1,0,0,0,-1,1,0,0,1,1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,1,1,-1,0
Luiz Dantas,PSD,AL,0,0,0,1,1,-1,-1,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luiz Salomão,PDT,RJ,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,0,-1,1,1,1,-1,0,0,1,0,1,-1,0,1,1,0,-1,0,0,-1,1,0,1,1
Ivandro Cunha Lima,PMDB,PB,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0,1,0,1,1,1,0,0,-1,-1,0,0,1,0,0,-1,-1,-1,0,1,-1,1
José Luiz Clerot,PMDB,PB,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,-1,1,0,0,-1,0,0,1,-1,1,1,1,0,1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,0
Wilson Campos,PSDB,PE,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,0,0,0,1,-1,0,1,-1,1,0,1,1,0,0,-1,-1,1,-1,0,1,1,1,0,0,0,-1,1,1,1,1
Alcides Modesto,PT,BA,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,-1,0,-1,0,-1,1,1,1,-1,0,1,1,-1,-1,0,1,-1,0,1,-1,0,0,-1,1,0,1,-1
Ronaldo Perim,PMDB,MG,-1,0,0,1,1,-1,-1,-1,-1,0,-1,1,-1,-1,0,0,1,0,1,-1,1,1,1,1,-1,-1,1,1,-1,1,0,1,-1,1,1,0,0,0,0,-1,0,1,0,0,1,1,-1,1,0,0,1
Sandra Starling,PT,MG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,-1,-1,1,-1,0,0,0,0,0,0,0
Israel Pinheiro,PTB,MG,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,0,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,-1,1,0,0
Cidinha Campos,PDT,RJ,1,0,1,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,-1,-1,1,0,0,-1,-1,0,0,-1,-1,1,1,1,-1,0,0,1,0,1,-1,0,1,1,1,0,0,0,-1,1,0,0,1
Leopoldo Bessone,PTB,MG,-1,0,0,1,1,0,-1,-1,-1,1,1,1,1,0,1,1,-1,0,0,1,1,0,1,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,1,0,1
Paulo Heslander,PTB,MG,-1,1,0,1,-1,0,-1,-1,0,-1,-1,1,-1,1,1,-1,1,0,0,0,0,1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,0,0,-1,1,-1,0,0,0,1,0,0,-1,1,0,-1,-1,1,1
Zaire Rezende,PMDB,MG,0,0,-1,1,1,-1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,0,-1,1,-1,-1,1,1,-1,1,1,1,-1,0,1,1,-1,-1,0,1,0,0,0,0,0,1,-1,1,1,-1,1
Roberto Valadão,PMDB,ES,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,1,-1,1,1,1,1,0,1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,-1,1,1,0,1
Sergio Arouca,PPS,RJ,0,1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,1,0,0,1,0,-1,-1,0,1,0,-1,1,1,1,1,1,1,1,-1,0,1,-1,-1,-1,1,-1,0,1,-1,1,1,-1,0
Fábio Feldmann,PSDB,SP,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,0,0,1,-1,0,1,0,-1,1,-1,0,1,0,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,-1,1
Hélio Bicudo,PT,SP,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,0,1,1,0,-1,1,0,0,0,0,0,0,-1,-1,1,-1,0,1,0,1,0,1,-1
Koyu Iha,PSDB,SP,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,0,-1,1,0,1,1,0,0,-1,-1,-1,-1,0,0,1,0,-1,0,0,-1,1,1,-1,1
Luiz Gushiken,PT,SP,0,1,1,1,1,-1,-1,-1,0,-1,-1,1,0,1,1,1,1,0,0,1,-1,1,1,0,-1,0,0,-1,0,1,1,1,-1,1,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,1,0,1,-1
Maluly Netto,PFL,SP,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,1,1,0,1,1,0,0,-1,0,0,0
Maurício Najar,PFL,SP,0,1,1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,0,0,1,1,0,1,1,1,-1,1,0,-1,-1,0,1,1,1,1,1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,1,1,0,1
Tuga Angerami,PSDB,SP,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,0,0,0,-1,1,1,0,-1,0,0,0,-1,-1,0,1,1,-1,1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,1,-1,0,1
Carlos Nelson,PMDB,SP,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,0,0,1,0,1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,1,0,1,0,-1,0
Rodrigues Palma,PTB,MT,-1,0,0,1,1,-1,1,-1,-1,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,0,0,0,1,0,1,1,-1,1,0,0,0,-1,1,1,-1,0,0,1,1,-1,0,1,-1,-1,1,-1,0
Chico Vigilante,PT,DF,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,0,0,0,0,-1,-1,-1,0,1,1,-1,0,1,0,0,0,0,1,0,1,1,-1,0,1,-1,1,0,1,-1
Maria Laura,PT,DF,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,0,1,-1,-1,-1,0,-1,0,0,1,1,1,-1,1,1,0,0,-1,1,1,-1,-1,1,-1,0,0,-1,1,0,1,-1
Antonio Ueno,PFL,PR,0,0,0,0,1,-1,-1,0,0,0,0,0,1,1,1,1,1,-1,1,0,1,0,1,1,0,0,1,1,-1,-1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,-1,0,-1,0,-1,1
Neuto de Conto,PMDB,SC,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,0,0,1,0,-1,1,1,1,1,0,1,-1,-1,0,0,0,1,1,1,-1,-1,1,-1,1,1,-1,1
Odacir Klein,PMDB,RS,-1,1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,-1,1,1,1,0,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,0,-1,1
Haroldo Sabóia,PT,MA,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,1,-1,0,0,-1,-1,0,0,-1,-1,-1,1,0,1,-1,1,1,1,0,0,1,1,0,0,0,0,1,1,-1,0,0,1,0
Dércio Knop,PDT,SC,1,0,1,1,1,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,-1,0,-1,-1,0,0,0,-1,0,0,-1,1,0,1,1,1,-1,0,1,0,0,0,0,0,1,1,0,0,0,-1,0,1,1,1,1
Virmondes Cruvinel,PMDB,GO,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,0,1,0,1,1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,0,-1,1
João Thomé,PMDB,AM,0,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,0,1,-1,0,0,-1,1,1,-1,1
Francisco Rodrigues,PTB,RR,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,-1,1,-1,1,-1,1,0,0,1,-1,0,0,1,0,1,0,1,-1,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,-1,0,1,0
Murilo Pinheiro,PFL,AP,1,1,0,0,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1,0,0,1,1,1,0,1,1,0,1,0,-1,1,1,1,-1,0,0,0,0,-1,1,0,1,0,1,0,0,-1,-1,-1,1,-1,1
Antônio Faleiros,PSDB,GO,0,1,1,1,1,-1,0,-1,0,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,0,1,-1,0,1,1,0,1,1,1,1,1,1,-1,-1,0,-1,-1,0,0,0,-1,1,1,0,1,1,0,0
Edson Menezes da Silva,PCdoB,RS,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Proença,PMDB,RS,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,-1,1,1,1,1,1,0,1,-1,1,0,-1,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,1,-1,0
José Egydio,PL,RJ,1,0,0,1,1,0,0,-1,-1,0,-1,-1,1,0,1,1,1,-1,0,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,1
Hélio Rosas,PMDB,SP,0,1,-1,1,1,-1,1,0,0,0,0,0,1,-1,1,1,1,-1,0,1,1,1,1,1,0,0,1,0,-1,-1,0,1,0,1,1,-1,1,-1,-1,0,1,1,0,0,1,1,-1,1,1,-1,1
Mario Martins,PMDB,PA,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,-1,1,0,0,-1,1,0,0,0,0,1,0,0,1,0,-1,0,0,-1,1,1,-1,1
Neif Jabur,PMDB,MG,0,1,0,1,1,-1,-1,-1,0,-1,-1,-1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,-1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0
Fernando Lyra,PSB,PE,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,1,1,1,-1,1,0,1,-1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
Benito Gama,PFL,BA,-1,0,0,1,1,-1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,0,1,0,-1,1,0,-1,1,1,-1,-1,-1,-1,0,1,0,0,0,0,-1,0,-1,0,-1,0
Jairo Azi,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
Adroaldo Streck,PSDB,RS,-1,1,1,1,1,-1,-1,-1,0,-1,-1,1,1,1,1,1,1,0,-1,1,1,0,1,-1,-1,-1,0,0,-1,0,1,1,1,1,1,-1,-1,-1,-1,0,0,1,0,-1,1,1,-1,-1,1,-1,1
Valdir Ganzer,PT,PA,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,0,-1,0,-1,0,0,-1,-1,1,1,1,-1,0,0,1,-1,-1,1,1,-1,-1,1,-1,0,0,-1,1,0,1,-1
Ricardo Fiuza,PFL,PE,0,1,1,-1,-1,-1,1,-1,0,0,-1,-1,1,1,0,-1,-1,0,1,1,1,0,0,0,-1,-1,0,0,0,-1,1,0,1,0,1,-1,-1,-1,-1,1,0,1,0,0,0,-1,0,-1,0,-1,1
Alacid Nunes,PFL,PA,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,0,1,1,1,-1,0,1,-1,-1,1,1,0,0,1,0,0,-1,-1,-1,1,1,0,-1,0,1,-1,-1,0,-1,1
Carlos Kayath,PTB,PA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,-1,-1,0,-1,0,-1,-1,1,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,1,0,1,-1,1,1
Paulo Titan,PMDB,PA,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,0,1,0,0,1,0,-1,1,1,1,-1,0,1,-1,-1,-1,0,0,1,1,1,0,0,1,-1,1,0,0,1
Beth Azize,PDT,AM,0,0,0,1,1,-1,-1,-1,-1,-1,0,1,-1,1,1,1,1,0,1,-1,-1,1,-1,-1,-1,0,-1,-1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,-1,0,-1,0,1,0,1,1
Euler Ribeiro,PMDB,AM,0,0,0,1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,-1,1
José Dutra,PMDB,AM,0,1,0,1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,-1,1,1,0,0,0,1,0,0,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,1,1,-1,1
Maurício Calixto,PFL,RO,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,0,0,1,1,1
Ronivon Santiago,PPR,AC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,0,0,0,1,0,0,0,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,1
José Carlos Saboia,PSB,MA,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,0,1,-1,-1,1,0,1,-1,0,0,0,-1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antonio dos Santos,PFL,CE,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,0,0,1,1,-1,0,0,1,1,0,1,0,0,0,0,0,-1,-1,0,1,1,0,0,-1,0,0,-1,0,-1,1
Edson Silva,PDT,CE,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,0,1,-1,1,1,0,0,-1,0,1,-1,-1,0,1,1,-1,1,1,0,0,0,0,1,0,1,0,-1,0,-1,-1,1,0,1,1
Jackson Pereira,PSDB,CE,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,0,1,1,1,1,1,1,0,0,1,1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,0,1,1,0,0,0,1,-1,-1,1,-1,1
Marco Penaforte,PSDB,CE,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,0,1,-1,-1,1,0,1,0,0,1,-1,-1,-1,0,0,1,1,0,-1,0,1,-1,1,0,-1,1
Murilo Rezende,PMDB,PI,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,0,-1,-1,1,0,-1,1,1,1,0,1,1,0,0,0,0,-1,0,1,1,-1,-1,1,-1,1,1,-1,1
Aluizio Alves,PMDB,RN,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,0,0,1,0,-1,0,0,0,0,1,-1,0
Vital do Rego,PDT,PB,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,1,0,0,0,-1,1,1,-1,-1,1,0,1,-1,0,0,-1,1,0,0,1
Rivaldo Medeiros,PFL,PB,0,1,0,1,1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,-1,-1,1,0,0,1,0,-1,-1,1,-1,0,1,1,0,-1,0,0,-1,-1,0,0,0
Luiz Piauhylino,PSB,PE,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,0,0,-1,0,-1,1,1,1,-1,1,1,1,-1,-1,1,0,0,-1,0,-1,0,0,-1,1,0,1,1
Maviael Cavalcanti,PFL,PE,0,0,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,0,1,1,1,1,0,0,1,0,-1,1,-1,1,0,0,0,1,1,-1,-1,1,-1,0,1,1,1,-1,0,1,-1,-1,1,-1,1
Nilson Gibson,PMDB,PE,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,-1,0,0,1,-1,-1,1,0,0,1,-1,0
Roberto França,PSB,PE,-1,1,0,1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1,1,0,1,1,0,1,-1,0,0,1,-1,-1,1,-1,0,1,-1,1,0,1,1
Roberto Torres,PTB,AL,1,0,-1,1,1,-1,-1,-1,0,-1,-1,1,1,1,1,1,1,-1,1,0,0,1,0,1,-1,0,0,0,-1,-1,0,1,1,1,0,-1,1,-1,-1,0,0,0,1,0,0,0,-1,-1,1,0,0
Ângelo Magalhães,PFL,BA,-1,0,-1,-1,-1,-1,1,-1,0,-1,0,0,1,1,-1,-1,0,0,1,1,1,1,0,1,1,0,-1,1,-1,-1,0,1,-1,0,-1,-1,-1,1,-1,0,1,1,-1,0,-1,-1,-1,-1,1,-1,1
