nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Henrique Eduardo Alves,PMDB,RN,0,0,1,1,0,0,1,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,0,0,0,1,1,0,0,0,0
Luci Choinacki,PT,SC,0,0,1,1,-1,0,1,-1,0,1,-1,0,1,0,1,1,0,0,0,-1,0,0,0,1,0,-1,1,-1,-1,1,1,-1,0,0,0,1,1,0,0,1,0,0
Valdemar Costa Neto,PL,SP,0,1,1,1,1,0,1,0,0,1,-1,1,1,0,0,0,0,0,0,1,0,0,1,-1,0,1,1,1,1,-1,0,1,1,0,0,0,-1,0,0,0,1,0
Antonio Carlos Mendes Thame,PSDB,SP,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0
Aldo Rebelo,PCdoB,SP,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,1,0,1,0,1,0,0,-1,0,0,-1,1,0,1,-1,-1,-1,1,1,-1,-1,0,-1,1,1,0,-1,0,1,1
Olavo Calheiros,PMDB,AL,0,-1,1,1,1,-1,-1,1,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,0,0,-1,0,0,1,1,0,-1,0,0,0
Roberto Jefferson,PTB,RJ,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,-1,-1,1,0,0,1,1,1,1,1,1,1,-1,1,0,0,1,1,-1,1,1,0,0,0,0
Adão Pretto,PT,RS,0,-1,-1,1,-1,0,1,-1,-1,1,-1,0,1,0,1,1,0,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,0,1,-1,-1
César Bandeira,PFL,MA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,0,0,0,-1,0,1,0,1,1
Nelson Trad,PTB,MS,0,0,0,0,0,0,1,0,0,1,-1,1,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,1,1,1,-1,0,1,1,0,0,0,-1,1,0,0,1,1
