nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Luiz Dantas,PSD,AL,0,1,0,0,0,0,1,0,0,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,1,1,0,0,0,-1,0,1,0,0,0
Luiz Salomão,PDT,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Ivandro Cunha Lima,PMDB,PB,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,-1,0,1,1
José Luiz Clerot,PMDB,PB,0,0,1,1,1,1,1,0,0,-1,-1,1,1,0,1,1,0,0,0,-1,0,1,1,1,1,1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,0,1,1
Alcides Modesto,PT,BA,0,-1,-1,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,1,0,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,1,-1,-1
Ronaldo Perim,PMDB,MG,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0
Sandra Starling,PT,MG,0,-1,-1,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,0,1,0,0
Cidinha Campos,PDT,RJ,0,-1,0,-1,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-1,-1,-1,1,0,-1,0,0,0,0,0,0,-1,0,1,1
Paulo Heslander,PTB,MG,0,1,1,1,1,0,0,0,0,1,-1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,1,0,-1,1,0,0,-1,1,0,1,0,1,1
Zaire Rezende,PMDB,MG,1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,-1,1,1,0,1,-1,0,1,1
Roberto Valadão,PMDB,ES,0,0,1,1,1,1,1,1,0,1,-1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,-1,-1,-1,1,1,1,0,1,0,1,1,0,-1,0,1,1
Fábio Feldmann,PSDB,SP,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Hélio Bicudo,PT,SP,-1,-1,-1,1,-1,0,1,-1,-1,1,0,1,1,0,1,1,1,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,-1,1,-1,-1
Koyu Iha,PSDB,SP,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,0,1,-1,-1,-1,1,1,1,1,0,0,0,1,0,1,0,1,1
Luiz Gushiken,PT,SP,0,0,-1,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,0,0,-1,-1
Maluly Netto,PFL,SP,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-1,1,0,1,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,0
Tuga Angerami,PSDB,SP,0,-1,1,1,1,0,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,1,1,-1,-1,-1,1,1,-1,-1,0,0,0,1,0,1,0,0,0
Carlos Nelson,PMDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rodrigues Palma,PTB,MT,1,0,1,1,1,1,1,0,0,1,-1,-1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,-1,0,1,0,1,0,0,-1,0,1,0,1,1
Chico Vigilante,PT,DF,-1,-1,-1,1,-1,0,1,-1,-1,1,-1,1,1,0,1,1,1,0,0,-1,0,-1,0,1,-1,0,-1,-1,-1,1,1,-1,0,0,0,1,1,0,-1,1,0,-1
Maria Laura,PT,DF,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,1,0,1,1,1,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,0,0,0
Antonio Ueno,PFL,PR,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,1,1,1,1,-1,1,1,0,0,0,0,-1,0,1,0,0,0
Neuto de Conto,PMDB,SC,1,1,1,1,1,1,1,0,1,1,-1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,0,1,0,1,1,1,-1,0,1,1
Odacir Klein,PMDB,RS,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,1,1
Haroldo Sabóia,PT,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
Etevalda Grassi de Menezes,PMDB,ES,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1
Dércio Knop,PDT,SC,0,0,0,0,0,0,-1,0,-1,-1,-1,1,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,-1,-1,-1,1,0,-1,0,0,0,0,1,0,0,0,1,1
Virmondes Cruvinel,PMDB,GO,0,-1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
Francisco Rodrigues,PTB,RR,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,1,1,-1,0,0,0,1,0,0,-1,1,0,0,1,1
Murilo Pinheiro,PFL,AP,0,1,1,1,0,0,1,0,0,1,-1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,-1,-1,0,1,0,1,1
Antônio Faleiros,PSDB,GO,-1,-1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,-1,0,0,1,1,0,0,-1,-1,-1,1,1,-1,0,0,0,0,1,-1,-1,0,1,1
Nelson Proença,PMDB,RS,0,1,0,0,0,1,1,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,-1,-1,1,0,1,1,1,1,0,0,0,0,0,1,1
José Egydio,PL,RJ,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,1,1,0,0,0,0,1,0,0,0
Hélio Rosas,PMDB,SP,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,-1,-1,0,1,1,1,0,0,0,0,-1,1,1,0,1,1
Mario Martins,PMDB,PA,-1,0,1,1,0,0,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,1,0,-1,1,1,1,-1,-1,0,-1,1,0,1,1,0,1,0,0,0,0,1,1
Neif Jabur,PMDB,MG,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Benito Gama,PFL,BA,-1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,-1,1,1,1,1,1,-1,0,1,1,0,0,0,-1,0,0,0,0,1
Carlos Cardinal,PDT,RS,0,0,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0
Adroaldo Streck,PSDB,RS,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,0,0,0,1,1,1,1,-1,1,0,0,-1,0,0,0,0
Valdir Ganzer,PT,PA,0,-1,-1,1,-1,0,0,0,-1,1,-1,0,0,0,1,1,1,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,0,1,0,0
Ricardo Fiuza,PFL,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Marcelo Luz,PTR,RR,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,0,1,0,1,-1,1,1,1,1,1,-1,0,1,1,1,0,0,0,0,1,0,0,0
Valdenor Guedes,PTR,AP,0,1,-1,0,0,-1,1,0,0,1,-1,1,0,0,1,1,0,0,0,0,1,0,1,-1,1,1,1,1,0,-1,0,1,0,1,0,0,-1,-1,0,0,1,1
Alacid Nunes,PFL,PA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,0,-1,0,1,1,1,1,-1,1,0,1,1,0,-1,-1,0,1,0,1,1
Carlos Kayath,PTB,PA,0,0,1,1,0,0,1,0,0,1,-1,1,1,-1,0,1,0,0,0,0,0,0,1,1,1,1,-1,1,1,-1,0,0,1,0,0,0,-1,1,0,0,1,1
Mario Chermont,PTR,PA,0,1,1,1,0,0,1,0,0,1,-1,1,1,0,0,1,0,0,0,0,1,0,1,-1,0,1,1,1,0,-1,0,0,1,1,0,0,-1,1,1,0,1,0
Paulo Titan,PMDB,PA,0,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,0,0,0,0
Beth Azize,PDT,AM,0,0,0,0,0,0,-1,0,0,-1,-1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,1,1,-1,1,0,0,1,1,0,0,0,1,1
Euler Ribeiro,PMDB,AM,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,0,1,1
José Dutra,PMDB,AM,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0
Ricardo Moraes,PT,AM,0,1,-1,1,-1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,1,0,0,1,0,0,1,1,0,-1,0,-1,-1
Maurício Calixto,PFL,RO,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1,1,1,-1,1,1,0,1,0,0,-1,0,1,0,1,1
João Maia,PTR,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ronivon Santiago,PPR,AC,0,1,0,1,0,1,1,0,0,1,-1,1,0,0,1,1,0,0,0,0,0,0,0,-1,1,0,1,1,1,-1,0,1,1,0,0,0,-1,0,0,1,1,0
Costa Ferreira,PTR,MA,0,1,0,0,0,1,1,0,0,1,-1,0,0,1,1,1,0,0,0,1,1,0,1,0,-1,0,1,1,1,-1,0,1,1,0,0,0,-1,1,1,0,0,0
José Carlos Saboia,PSB,MA,0,1,-1,-1,-1,1,-1,-1,0,-1,-1,1,0,0,1,1,1,0,1,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,1,-1,-1,0,1,1
Pedro Novais,PDC,MA,0,1,1,1,1,1,1,1,0,-1,0,1,0,0,1,-1,0,0,0,1,1,0,0,1,0,0,-1,1,0,-1,0,0,0,0,-1,-1,0,-1,1,0,1,1
Aécio de Borba,PDS,CE,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,-1,1,1,0,0,0,-1,0,1,1,0,1,-1,0,0,1,0,1,1
Antonio dos Santos,PFL,CE,0,0,1,-1,1,0,1,0,0,1,-1,1,1,0,1,1,0,0,0,0,0,1,1,-1,0,1,1,1,1,-1,0,1,1,1,0,0,-1,1,1,0,0,0
Edson Silva,PDT,CE,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,-1,1,0,0,0,1,0,1,1,1,-1,1,-1,-1,-1,1,1,-1,0,0,0,0,1,0,-1,0,1,1
Jackson Pereira,PSDB,CE,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,0,0,0,-1,0,0,1,1,-1,1,1,1,1,-1,1,1,0,0,0,1,1,0,1,0,0,1
Marco Penaforte,PSDB,CE,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,-1,1,-1,-1,-1,1,1,1,1,0,0,1,1,0,1,0,1,1
Maria Luiza Fontenele,PSB,CE,-1,0,-1,-1,0,0,-1,-1,0,0,0,1,1,0,1,1,1,0,0,-1,0,0,1,1,-1,1,-1,-1,0,1,1,-1,-1,0,0,0,1,0,-1,0,1,1
Ubiratan Aguiar,PMDB,CE,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,0,1,0,0,1,0,-1,0,1,1
Murilo Rezende,PMDB,PI,1,1,1,-1,0,1,-1,0,1,-1,-1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,0,0,1,1
Aluizio Alves,PMDB,RN,0,0,0,0,0,0,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,-1,-1,-1,1,1,0,1,-1,0,0,1,0,0,0,0,0
Vital do Rego,PDT,PB,0,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,-1,0,1,0,0,0,0,1,1
Rivaldo Medeiros,PFL,PB,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,-1,1,1,1,1,1,-1,0,0,1,0,0,0,-1,1,1,0,0,0
Fernando Bezerra Coelho,PMDB,PE,0,1,1,1,0,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,0,1,0,-1,0,0,-1,1,0,0,0,0
Luiz Piauhylino,PSB,PE,0,0,-1,-1,-1,1,-1,0,0,-1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,0,1,0,-1,0,0,1,1,-1,0,0,1,1
Maviael Cavalcanti,PFL,PE,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,0,0,0,-1,1,0,0,1,1
Nilson Gibson,PMDB,PE,0,1,1,1,1,1,1,0,1,1,-1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,1,1
Roberto França,PSB,PE,0,0,-1,-1,-1,1,-1,0,0,-1,-1,1,1,0,1,0,1,0,0,-1,1,1,1,1,-1,1,0,0,0,1,1,-1,-1,0,0,1,0,-1,0,0,1,1
Wilson Campos,PMDB,PE,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,0,0,1,0,1,0,1,1
Roberto Torres,PTB,AL,0,1,1,1,1,1,1,0,0,1,-1,1,1,1,0,1,0,0,0,1,1,0,0,-1,0,0,0,1,1,-1,1,0,1,1,0,-1,-1,1,1,0,1,1
Pedro Valadares,PST,SE,0,0,0,0,0,0,1,0,0,1,-1,-1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,-1,0,0,0,0,1,0,0,-1,0,1,0,1,1
Ângelo Magalhães,PFL,BA,0,1,1,1,1,1,1,0,0,1,-1,0,1,0,0,1,0,0,0,1,0,1,1,-1,1,1,1,1,1,-1,1,0,1,0,0,0,1,1,1,0,0,0
Beraldo Boaventura,PDT,BA,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,1,0,1,1,0,0,0,1,0,0,-1,1,-1,1,-1,-1,-1,1,0,-1,1,0,0,0,1,0,-1,0,0,0
Clóvis Assis,PDT,BA,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-1,1,1,1,-1,-1,-1,0,1,-1,0,0,0,1,1,0,0,0,1,1
Waldir Pires,PDT,BA,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,1,1,-1,1,-1,0,1,1,0,-1,0,1,0
Genebaldo Correia,PMDB,BA,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,1,1
Jabes Ribeiro,PSDB,BA,0,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,0,0,0,-1,0,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,-1,0,0,1,1
João Almeida,PMDB,BA,-1,1,1,1,1,1,1,0,0,1,-1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,-1,-1,-1,1,1,0,1,1,0,1,1,1,-1,0,1,1
José Falcão,PFL,BA,0,0,1,1,1,1,0,0,0,1,-1,1,1,0,0,1,0,-1,0,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,1,0,0,-1,-1,1,1,0,1,1
Ribeiro Tavares,PL,BA,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,-1,1,1,1,1,1,-1,1,0,0,0,1,-1,-1,0,1,0,1,1
Luís Eduardo,PFL,BA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,0,1,-1,0,1,1,1,1,-1,0,1,1,1,1,-1,-1,1,1,0,1,1
Prisco Viana,PDS,BA,0,0,-1,-1,1,-1,-1,0,-1,1,0,1,1,0,1,-1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,-1,1,-1,0,0,0,0,1,1
Luiz Moreira,PTB,BA,1,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,-1,0,1,1,1,0,0,-1,1,1,0,1,1
Nestor Duarte,PMDB,BA,0,0,1,1,0,0,1,0,0,1,-1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,-1,-1,-1,1,0,0,1,1,0,0,1,1,1,0,1,1
Uldurico Pinto,PSB,BA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,1,1
Agostinho Valente,PT,MG,0,0,-1,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,0,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,0,1,-1,-1
Armando Costa,PMDB,MG,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,0,1,1
Avelino Costa,PL,MG,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,0,0,-1,-1,0,1,0,1,1
Célio de Castro,PSB,MG,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,1,0,1,1,0,0,0,1,0,0,0,1,-1,1,-1,-1,-1,1,1,-1,0,-1,0,0,1,0,0,0,1,1
Edmar Moreira,PP,MG,0,1,1,1,1,0,-1,0,0,1,-1,0,1,0,1,0,1,0,1,1,0,0,0,-1,1,1,1,1,1,-1,0,1,0,1,0,0,1,1,1,0,0,0
Felipe Neri,PMDB,MG,0,1,1,1,1,0,1,1,1,1,-1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,-1,1,1,1,0,1,1
Getúlio Neiva,PL,MG,0,1,0,0,0,0,1,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,1,0,0,-1,-1,1,1,0,1,1
Israel Pinheiro,PRS,MG,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,0,0,0,-1,0,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,1,1,0,0,1,0
João Rosa,PSC,MG,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
João Paulo,PT,MG,-1,0,0,1,-1,0,1,0,-1,1,-1,1,1,0,1,0,0,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,1,1,0,0,0,0,0
José Belato,PMDB,MG,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,1,1,0,0,0,1,1,1,0,1,1
Luiz Tadeu Leite,PMDB,MG,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,0,1,0,1,1,1,1,0,0,0
Maurício Campos,PL,MG,0,1,1,1,1,0,1,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0
Paulino Cícero de Vasconcelos,PSDB,MG,-1,1,1,1,1,0,1,0,0,1,-1,1,1,0,1,0,0,0,0,-1,1,0,1,1,-1,1,-1,-1,-1,1,0,1,1,0,0,0,1,0,0,0,0,0
Samir Tannus,PDC,MG,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,0,0,0,-1,-1,1,1,1,1,1,-1,0,0,0,0,0,0,1,1,1,0,0,0
Jorio de Barros,PMDB,ES,0,1,1,1,1,0,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,0,0,-1,1,-1,-1,0,1,1,1,1,-1,0,0,1,0,1,0,1,1
Alvaro Valle,PL,RJ,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1
Carlos Alberto Campista,PDT,RJ,0,0,-1,-1,-1,0,-1,0,0,0,-1,1,1,0,1,1,0,0,0,0,0,0,-1,1,0,0,-1,-1,-1,1,0,-1,1,0,0,0,1,0,-1,0,0,0
Jair Bolsonaro,PDC,RJ,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,-1,0,0,0,0,0,0,1,1,0,1,-1,-1,-1,1,1,1,1,1,0,1,0,0,1,0,1,-1
Jamil Haddad,PSB,RJ,-1,0,-1,-1,-1,1,-1,0,0,-1,0,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0
Junot Abi-ramia,PDT,RJ,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,-1,-1,-1,1,1,-1,1,0,0,0,1,0,0,0,0,0
Artur da Tavola,PSDB,RJ,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,1,0,0,-1,0,0,0,1,-1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1
Sandra Cavalcanti,PPR,RJ,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,-1,0,0,0,1,1
Sérgio Cury,PDT,RJ,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,1,1,0,1,1,0,0,0,1,0,0,0,1,-1,1,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0
Sidney de Miguel,PV,RJ,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,1,1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,1,0,0,1,1,0,-1,0,1,-1
Simão Sessim,PPR,RJ,-1,1,1,1,1,0,1,0,0,1,-1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,0,1,0,1,1
Vladimir Palmeira,PT,RJ,0,0,-1,1,-1,-1,1,-1,-1,1,-1,0,1,0,1,1,0,0,0,-1,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,1,-1,0
Diogo Nomura,PL,SP,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,1,1,0,0,1,0,-1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,1,1,1,1
Ernesto Gradella,S.Part.,SP,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,-1,-1
Fábio Meirelles,PDS,SP,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,-1,1,1,0,0,1,-1,-1,1,1,0,1,1
Gastone Righi,PTB,SP,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,-1,0,1,1,1,1,0,-1,0,0,0,0,1
Geraldo Alckmin Filho,PSDB,SP,-1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,1,0,0,0,0,1,1,-1,1,0,1,0
Irma Passoni,PT,SP,-1,-1,-1,1,-1,0,0,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,-1,1,0,1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,0,0,0
Magalhães Teixeira,PSDB,SP,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,-1,1,-1,-1,-1,1,0,1,1,-1,0,1,1,0,0,0,0,1
José Serra,PSDB,SP,0,0,1,1,0,1,1,0,0,1,-1,0,1,0,1,0,0,0,0,-1,0,0,1,0,-1,0,-1,-1,-1,1,0,1,1,0,0,0,1,0,1,0,0,0
Jurandyr Paixão,PMDB,SP,0,0,1,1,1,0,0,0,0,1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,1,1,1,0,0,0,1,0,0,0,0,0
Marcelino Romano Machado,PDS,SP,0,0,-1,-1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,-1,-1,-1,-1,1,1,0,-1,1,0,-1,0,1,0,1,0
