nome,partido,uf,MSC 910/1997,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 472/1997,PEC 472/1997,PEC 526/1997,PL 1164/1991,PL 200/1995,PL 3066/1997,PL 3283/1997,PL 3901/1997,PL 4011/1997,PL 4046/1997,PL 4053/1998,PL 4071/1998,PL 4071/1998,PL 4071/1998,PL 4300/1998,PL 4598/1998,PL 4598/1998,PL 4605/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4769/1998,PL 518/1995,PLP 216/1998,PLP 216/1998,PLP 216/1998,PLP 216/1998
Sérgio Miranda,PCdoB,MG,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,1,-1,-1,-1,1,-1,0,0,1,0,0,1,0,0,-1,0,1,1,1,-1,-1,-1
Wellington Fagundes,PL,MT,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,0,1,1,1,1,-1,-1,1,-1,1,0,0,1,1,0,1,1,-1,1,1,-1,1,1,1,0,0,0,1,0,0,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,0,0,1,1,0,0,-1,0,0,0,0,0,0,-1,0,1,1,-1,1,0,-1,1,1,1
Paulo Rocha,PT,PA,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,0,1,-1,0,0,1,1,0,1,-1,-1,-1,0,0,1,1,-1,-1,-1
José Priante,PMDB,PA,1,1,-1,1,0,0,0,0,-1,-1,-1,-1,1,1,-1,0,0,-1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,1,-1,1,-1,0,0,1,-1,0,0,1,-1,1,0,1,0,0,1,1,1,0,-1,1,-1,0,0,0,-1,0,0,1,0,0,1,1,-1,1,0,1
Vic Pires Franco,PFL,PA,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,1,0,1,1,1,1,0,-1,1,-1,1,0,0,0,-1,1,0,0,-1,0,1,-1,1,1,1
Anivaldo Vale,PSDB,PA,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,0,0,-1,1,-1,-1,0,0,0,-1,1,1,0,-1,0,1,-1,1,1,1
Enivaldo Ribeiro,PPB,PB,0,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,1,0,0,0,0,0,-1,0,1,1,-1,1,1,-1,1,1,1
Severino Cavalcanti,PPB,PE,1,1,0,1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,0,-1,0,-1,1,-1,0,1,-1,1,-1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,0,-1,0,0,1,-1,1,-1,1,0,0,1,1,1,1,-1,1,-1,0,0,0,0,-1,0,1,0,-1,1,1,-1,1,1,1
Pedro Corrêa,PPB,PE,1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,-1,-1,1,-1,-1,0,0,1,-1,0,1,-1,1,-1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,0,0,0,-1,0,0,1,-1,1,-1,1,0,0,1,1,1,1,-1,1,-1,0,0,1,0,-1,1,0,1,-1,0,1,-1,1,1,1
Inocêncio Oliveira,PFL,PE,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,0,1,1,-1,1,-1,1,0,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1
Eduardo Campos,PSB,PE,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,-1,-1,0,1,0,0,0,0,0
Luiz Piauhylino,PSDB,PE,1,1,-1,1,0,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,0,-1,1,0,1,0,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1
Mussa Demes,PFL,PI,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,0,1,1,1,0,0,-1,1,0,0,0,-1,1,1,0,0,1,1,-1,1,1,1
Paes Landim,PFL,PI,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,0,1,-1,1,-1,0,1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,0,1,1,1,1,0,-1,1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,1,1,1
Ciro Nogueira,PFL,PI,0,1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1,-1,-1,-1,-1,0,0,0,1,-1,1,-1,0,1,1,1,1,1,-1,1,0,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,0,1,1,1,0,0,-1,0,0,1,0,0,0,-1,1,0,0,-1,1,1,0,0,0,0
Júlio Cesar,PFL,PI,0,1,-1,1,0,-1,-1,0,-1,-1,0,-1,1,-1,-1,0,0,-1,-1,1,-1,-1,0,1,0,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,-1,1,1,0,1,1,0,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,1,0,1,1,1,1,0,-1,0,-1,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0
José Janene,PPB,PR,0,0,0,0,0,-1,0,0,-1,-1,-1,0,1,1,-1,-1,0,0,-1,1,0,-1,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,0,0,0,0,1,-1,1,-1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,1
Paulo Bernardo,PT,PR,-1,-1,-1,-1,0,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,-1,1,1,1,1,0,1,1,-1,-1,-1,0,0,-1,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,0,0,-1,-1,0,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,1,0,1,-1,-1,-1,0,1,1,1,-1,-1,-1
Moacir Micheletto,PMDB,PR,0,1,-1,1,1,0,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,0,0,0,-1,1,-1,0,0,0,0,-1,0,1,0,0,1,1,-1,1,1,1
Abelardo Lupion,PFL,PR,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,0,0,0,-1,0,0,0,1,-1,1,0,0,1,1,1,1,1,-1,0,1,0,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,0,0,1,-1,-1,-1,1,0,0,-1,1,0,1,1,1,1,0,-1,1,-1,-1,0,0,0,-1,1,1,0,-1,1,1,-1,1,1,1
Luiz Carlos Hauly,PSDB,PR,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,1,-1,0,0,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1
Simão Sessim,PPB,RJ,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,0,1,1,1,1,1,-1,1,0,1,1,1,0,1,-1,-1,-1,1,1,1,-1,1,1,1
Carlos Santana,PT,RJ,-1,-1,-1,-1,0,-1,1,0,0,1,1,1,-1,0,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,1,1,-1,1,1,1,-1,0,1,1,-1,-1,0,1,-1,0,0,1,1,0,1,-1,-1,-1,0,1,1,1,-1,-1,-1
Fernando Gonçalves,PTB,RJ,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,0,1,0,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,0,-1,1,-1,1,0,0,0,-1,1,1,0,0,1,1,-1,1,1,1
Moreira Franco,PMDB,RJ,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,1,1,1,0,0,1,0,0,0,-1,1,-1,0,0,0,0,-1,1,0,1,0,1,1,-1,0,1,1
Alexandre Cardoso,PSB,RJ,-1,0,0,0,-1,-1,1,0,0,0,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,-1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,1,-1,-1,1,1,-1,0,0,0,-1,1,0,1,-1,1,0,1,-1,-1,0,1,-1,0,0,1,1,0,0,0,-1,-1,0,0,1,0,0,0,0
Paulo Feijó,PSDB,RJ,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1
Itamar Serpa,PSDB,RJ,0,1,-1,1,1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,1,-1,1,0,0,1,1,1,1,0,1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,0,1
Jandira Feghali,PCdoB,RJ,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,0,1,-1,0,0,1,1,0,1,-1,-1,-1,0,1,1,1,-1,-1,-1
Henrique Eduardo Alves,PMDB,RN,0,1,-1,1,0,-1,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,-1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Confúcio Moura,PMDB,RO,0,1,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,0,0,1,1,1,1,1,-1,1,0,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,0,-1,1,0,0,1,1,1,0,-1,1,0,1,0,0,0,-1,1,1,0,-1,1,1,-1,1,0,1
Alceste Almeida,PMDB,RR,0,1,-1,1,1,-1,-1,1,0,0,0,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,1,1,-1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,0,1,1,0,1,1,1,1,0,-1,1,0,0,0,0,0,-1,1,1,0,-1,1,1,-1,1,1,1
Augusto Nardes,PPB,RS,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,-1,0,1,1,0,1,1,-1,1,0,0,1,1,1,0,0,1,0,0,0,0,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,0,-1,1,-1,-1,0,0,-1,-1,0,1,1,0,1,0,-1,1,1,1
Darcísio Perondi,PMDB,RS,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,-1,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,0,1,1,1,1,0,-1,0,-1,1,0,0,0,-1,0,1,1,-1,1,1,-1,1,1,1
Mendes Ribeiro Filho,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,-1,0,1,1,0,1,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1,0,1,0,0,0,0
Yeda Crusius,PSDB,RS,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,0,0,1,-1,0,0,0,0,0,1,0,1,0,1,1,-1,1,1,1
João Pizzolatti,PPB,SC,0,1,-1,1,1,0,0,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,0,0,0,1,1,1,-1,1,-1,0,0,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,0,1,1,0,1,0,-1,1,0,0,0,0,0,-1,0,0,0,-1,0,1,-1,1,1,1
Edison Andrino,PMDB,SC,0,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,-1,1,0,1,1,1,1,0,-1,0,0,1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,1
Paulo Bauer,PFL,SC,0,1,-1,1,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,1,1,0,0,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,0,1,1,1,1,0,-1,1,-1,1,0,0,0,-1,1,0,0,-1,1,1,-1,1,1,1
Celso Russomanno,PPB,SP,0,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,0,1,1,1,1,0,0,1,-1,1,0,1,0,-1,0,0,1,-1,0,1,-1,1,1,1
Vadão Gomes,PPB,SP,0,1,-1,1,1,0,0,0,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,-1,-1,-1,1,-1,-1,0,0,0,-1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,1,0,1,1,1,0,1,-1,1,0,1,0,0,0,-1,1,0,0,-1,0,0,-1,1,1,1
Arlindo Chinaglia,PT,SP,0,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,-1,1,1,1,-1,1,0,1,-1,1,0,1,-1,-1,-1,1,-1,0,0,1,1,0,1,-1,-1,-1,0,1,1,1,-1,-1,-1
João Paulo Cunha,PT,SP,0,0,0,0,0,-1,0,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,1,-1,-1,-1
Ivan Valente,PT,SP,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,1,-1,-1,0,1,-1,0,-1,1,1,0,1,-1,-1,-1,0,1,1,1,-1,-1,-1
Luiz Eduardo Greenhalgh,PT,SP,-1,0,-1,-1,-1,-1,1,0,1,1,1,0,-1,1,1,1,1,0,0,0,1,1,1,-1,1,1,1,1,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,0,1,-1,-1,0,1,-1,0,-1,1,0,0,1,0,-1,-1,0,1,1,1,-1,0,-1
Michel Temer,PMDB,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdemar Costa Neto,PL,SP,0,-1,0,0,0,-1,1,0,1,1,1,1,0,1,1,0,0,0,1,-1,0,1,0,-1,1,1,1,0,-1,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,-1,0,0,0,-1,0,1,-1,1,0,0
Corauci Sobrinho,PFL,SP,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,0,-1,1,0,1,1,1,0,-1,1,1,1,0,1,1,-1,1,1,1
Luiz Carlos Santos,PFL,SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Alberto Goldman,PSDB,SP,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Aloysio Nunes Ferreira,PSDB,SP,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,0,-1,0,-1,1,0,0,-1,-1,1,1,1,-1,1,1,1,1,1,1
Antonio Carlos Pannunzio,PSDB,SP,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,0,0,1,-1,1,-1,1,0,1,0,1,0,1,1,1,1,0,-1,1,-1,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Salvador Zimbaldi,PSDB,SP,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,0,0,-1,0,1,1,-1,1,1,-1,1,1,1
Aldo Rebelo,PCdoB,SP,0,0,0,0,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,1,1,1,-1,-1,-1
Darci Coelho,PFL,TO,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,0,-1,0,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,0,-1,0,0,0,0,-1,0,1,0,-1,1,0,-1,1,1,1
