nome,partido,uf,PDC 124/1991,PDC 369/1990,PDC 370/1990,PDC 374/1990,PDC 63/1991,PDC 66/1991,PDC 66/1991,PDC 87/1991,PEC 45/1991,PEC 45/1991,PEC 45/1991,PL 1050/1991,PL 1050/1991,PL 1232/1991,PL 1263/1991,PL 1793/1991,PL 1911/1991,PL 2155/1991,PL 2155/1991,PL 2158/1991,PL 2158/1991,PL 2159/1991,PL 2366/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 4570/1989,PL 4580/1990,PL 4790/1990,PL 4790/1990,PL 5996/1990,PL 5996/1990,PL 638/1991,PL 822/1991,PL 822/1991,PL 91/1991,PL 912/1991,PLP 181/1989
Neuto de Conto,PMDB,SC,1,1,1,0,1,0,1,-1,1,0,1,-1,-1,1,1,1,1,0,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1
Odacir Klein,PMDB,RS,1,-1,-1,-1,1,0,1,-1,1,0,1,-1,0,1,1,1,1,1,0,1,0,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,1,-1
Haroldo Sabóia,PT,MA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,1,-1,0,1,0,-1,0,0,0,0,0,1,0,0
Etevalda Grassi de Menezes,PMDB,ES,0,1,1,0,1,-1,-1,0,1,0,0,-1,1,1,1,1,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,0
Dércio Knop,PDT,SC,1,-1,-1,-1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0
Virmondes Cruvinel,PMDB,GO,0,1,0,1,1,0,1,-1,1,0,1,0,0,0,-1,1,1,1,-1,1,0,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0
Francisco Rodrigues,PTB,RR,0,1,1,1,0,-1,-1,-1,1,0,0,-1,0,1,-1,0,0,-1,-1,1,-1,-1,0,0,1,-1,0,1,-1,-1,1,0,0,1,-1,0,0,1,1,0
Murilo Pinheiro,PFL,AP,-1,1,1,1,1,-1,-1,-1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,-1,-1,-1,0,-1,1,1,1,1,-1,1,1,0,1,-1
Antônio Faleiros,PSDB,GO,0,0,0,0,1,0,1,0,1,0,1,-1,-1,-1,-1,0,1,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,1,0,0,1,-1,0,0,0,-1
Nelson Proença,PMDB,RS,0,1,1,1,1,-1,0,0,1,0,1,-1,1,0,1,0,1,1,-1,0,0,-1,1,0,1,-1,0,-1,0,1,1,1,1,1,1,0,1,1,1,0
José Egydio,PL,RJ,0,1,0,1,0,0,-1,-1,1,0,0,1,1,0,1,1,0,-1,-1,0,0,-1,0,1,1,-1,0,0,0,-1,1,1,0,1,-1,0,0,0,1,-1
Hélio Rosas,PMDB,SP,0,1,0,1,1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,1,1,-1
Mario Martins,PMDB,PA,0,1,0,1,0,-1,-1,0,1,0,1,-1,0,1,1,0,1,-1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
Neif Jabur,PMDB,MG,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,1,1,1,-1,0,-1,1,-1,0,1,1,-1,-1,-1,0,-1,1,0,1,1,0,1,0,0,0,-1
Benito Gama,PFL,BA,0,1,1,1,0,-1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,0,0,-1,1,1,1,-1,-1,-1,0,-1,1,1,1,1,-1,0,1,1,0,0
Carlos Cardinal,PDT,RS,1,-1,0,0,0,1,1,0,1,0,1,0,0,-1,-1,1,0,1,1,0,0,1,1,1,1,0,1,-1,0,1,0,1,0,-1,1,1,1,1,-1,-1
Adroaldo Streck,PSDB,RS,0,-1,1,1,-1,1,0,-1,1,0,1,1,-1,1,0,-1,1,-1,-1,1,0,-1,1,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,-1
Valdir Ganzer,PT,PA,1,-1,0,0,0,1,1,1,1,0,1,-1,-1,-1,-1,0,0,1,1,-1,0,1,0,0,-1,1,1,-1,0,1,0,-1,0,0,1,0,0,1,-1,-1
Ricardo Fiuza,PFL,PE,0,0,1,0,0,-1,-1,0,1,0,0,-1,1,1,1,0,1,0,1,0,0,1,0,1,1,-1,-1,-1,0,0,0,1,0,0,-1,0,0,1,1,0
Marcelo Luz,PTR,RR,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,0,-1,1,1,1,1,0,0,1,1,0,0
Valdenor Guedes,PTR,AP,1,0,0,0,1,0,-1,-1,1,1,1,0,0,0,0,1,1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,1,0,0,1,-1,0,1,1,0,0
Alacid Nunes,PFL,PA,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,0,0,0,-1,-1,1,1,1,1,-1,1,1,1,0,0
Carlos Kayath,PTB,PA,1,1,1,1,1,0,0,-1,0,0,1,-1,-1,-1,1,0,1,0,-1,1,0,-1,1,0,-1,-1,-1,1,-1,0,1,1,0,1,1,1,1,1,1,0
Mario Chermont,PTR,PA,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
Paulo Titan,PMDB,PA,1,1,0,0,1,-1,-1,0,1,0,1,-1,-1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,1,0,1,1,1,1,0,0,0,-1
Beth Azize,PDT,AM,1,-1,-1,-1,0,1,0,0,0,0,1,0,0,-1,-1,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1,1,0,0,0,-1,-1
Euler Ribeiro,PMDB,AM,1,1,0,0,0,-1,-1,0,1,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,1,1,0,0,1,0,0,0,1,-1
José Dutra,PMDB,AM,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0,-1,1,1,1,0,0,-1,0,1,1,1,0,0,1,0,1,1,0,-1
Ricardo Moraes,PT,AM,1,-1,0,-1,0,1,0,0,1,0,1,-1,-1,0,0,1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1
Maurício Calixto,PFL,RO,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,-1,0,0,1,0,0,1,0,0,1,0,0,0
João Maia,PTR,AC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,1,1,-1,0,-1,0,0,0,0,1,1,0,1,1,1,0,0
Ronivon Santiago,PPR,AC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,1,1,0,1,0,0,0,0
Costa Ferreira,PTR,MA,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,-1,-1,1,-1,-1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0
José Carlos Saboia,PSB,MA,1,-1,0,0,0,1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,0,0,-1,-1,0,0,-1,1,0,1,1,0,-1,-1,-1,1,-1,0,1,-1,-1
Pedro Novais,PDC,MA,0,-1,0,-1,0,-1,-1,0,1,0,1,0,0,-1,1,1,0,0,1,1,0,-1,1,-1,1,-1,-1,-1,0,0,1,0,0,1,1,1,1,1,1,0
Aécio de Borba,PDS,CE,0,1,0,0,1,-1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,-1,0,0,0,1,0
Antonio dos Santos,PFL,CE,-1,1,0,1,1,-1,-1,-1,1,1,1,-1,1,0,1,1,0,1,1,0,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,-1
Edson Silva,PDT,CE,1,-1,-1,-1,0,0,1,0,1,0,1,1,-1,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,-1,-1,0,0,-1,0,-1,1,0,1,1,-1,-1
Jackson Pereira,PSDB,CE,1,0,1,0,1,1,0,-1,1,0,1,0,-1,0,1,0,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,1,0,-1,0,1,1,-1,0,1,-1,-1
Marco Penaforte,PSDB,CE,1,-1,-1,-1,0,0,0,-1,1,0,1,1,-1,-1,-1,1,1,1,1,0,0,-1,1,-1,-1,1,1,-1,1,1,0,0,1,1,1,-1,-1,1,-1,-1
Maria Luiza Fontenele,PSB,CE,1,0,0,0,0,1,1,0,1,0,1,1,0,-1,-1,1,-1,1,0,-1,0,0,-1,-1,-1,-1,1,0,0,1,0,0,0,-1,1,0,-1,0,-1,-1
Ubiratan Aguiar,PMDB,CE,1,1,1,1,1,-1,1,-1,1,0,1,-1,-1,1,0,1,1,1,0,1,0,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,1,-1
Murilo Rezende,PMDB,PI,1,0,0,0,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,1,1,1,1,1,1,1,0,1,0
Aluizio Alves,PMDB,RN,1,1,1,1,1,0,0,-1,1,0,1,0,-1,1,1,0,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,-1,0
Vital do Rego,PDT,PB,1,-1,-1,-1,0,1,1,0,0,0,1,1,-1,-1,-1,0,0,1,0,0,0,0,1,1,1,-1,0,-1,0,1,0,-1,0,-1,0,1,0,0,-1,-1
Rivaldo Medeiros,PFL,PB,1,0,0,0,1,-1,0,-1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1,1,1,0,1,0
Fernando Bezerra Coelho,PMDB,PE,1,1,-1,1,0,-1,-1,0,0,0,0,-1,0,1,1,0,0,1,0,1,-1,0,1,1,0,-1,-1,0,0,1,1,1,1,1,1,0,1,0,1,-1
Luiz Piauhylino,PSB,PE,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,0,0,-1,-1,-1,-1,0,1,0,1,1,0,-1,0,-1,1,0,-1,1,-1,-1
Maviael Cavalcanti,PFL,PE,1,0,0,0,1,-1,0,0,1,1,1,1,1,1,0,1,0,1,-1,0,0,0,1,1,1,-1,-1,-1,-1,0,1,0,0,1,-1,1,0,1,1,0
Nilson Gibson,PMDB,PE,1,1,1,1,0,-1,-1,0,1,0,1,-1,1,1,1,0,1,1,-1,1,0,-1,1,0,0,-1,-1,-1,0,1,1,1,0,0,1,1,0,1,1,-1
Roberto França,PSB,PE,1,-1,0,0,0,1,0,1,1,0,1,1,-1,-1,-1,1,-1,1,1,1,0,1,-1,-1,-1,1,1,0,1,1,0,0,0,-1,1,0,-1,0,-1,-1
Wilson Campos,PMDB,PE,1,1,1,1,1,1,0,0,0,1,1,1,0,-1,0,-1,1,-1,0,1,-1,0,1,1,1,0,0,0,0,-1,1,1,1,1,1,0,0,0,1,-1
Roberto Torres,PTB,AL,0,1,0,0,1,-1,-1,-1,1,0,0,-1,1,1,0,0,0,-1,-1,1,0,-1,0,1,1,-1,-1,-1,0,-1,0,1,0,0,0,0,0,1,0,0
Pedro Valadares,PST,SE,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,0,0,-1,0,0,-1,1,1,-1,0,-1,1,0,1,1,0,0,-1,1,0,0
Ângelo Magalhães,PFL,BA,0,1,1,1,0,-1,0,0,1,0,1,0,1,1,1,1,1,1,-1,1,0,-1,1,1,0,-1,-1,-1,0,-1,1,0,0,1,-1,1,1,0,1,0
Beraldo Boaventura,PDT,BA,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,0,1,-1,1,1,0,-1,0,-1,1,-1,-1,1,-1,0
Clóvis Assis,PDT,BA,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,0,1,0,1,-1,-1,1,1,1,-1,1,-1,1,1,0,0,0,-1,1,1,0,1,-1,0
Waldir Pires,PDT,BA,1,0,-1,0,0,1,1,1,1,0,1,1,-1,-1,0,0,0,1,1,1,-1,-1,1,1,0,-1,1,-1,1,1,0,-1,0,-1,1,1,1,1,0,0
Genebaldo Correia,PMDB,BA,1,1,1,1,1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,1,-1,1,0,-1,0,1,1,-1,-1,-1,0,1,1,1,1,1,1,0,0,1,1,-1
Jabes Ribeiro,PSDB,BA,1,-1,-1,-1,0,0,1,-1,1,0,1,0,0,-1,-1,0,1,1,0,1,-1,1,1,-1,-1,1,1,0,1,1,0,-1,0,-1,1,-1,-1,1,0,-1
João Almeida,PMDB,BA,1,1,-1,1,1,-1,0,-1,1,0,1,-1,-1,1,0,0,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,0,1,1,0,1,1,1,0,1,1,-1
José Falcão,PFL,BA,1,1,1,1,1,-1,-1,-1,1,0,1,-1,0,1,1,1,0,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,-1,1,1,1,1,-1
Ribeiro Tavares,PL,BA,0,1,1,1,1,-1,0,0,1,0,1,1,1,1,1,1,0,-1,-1,1,1,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,1,-1,1,0,1,-1,-1
Luís Eduardo,PFL,BA,-1,1,1,1,1,-1,-1,0,1,0,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,0,1,-1,-1,-1,0,-1,0,1,1,1,-1,0,0,1,1,-1
Prisco Viana,PDS,BA,1,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,1,0,0,-1,-1,1,0,-1,1,-1,-1,1,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0
Luiz Moreira,PTB,BA,1,1,1,1,0,-1,-1,-1,1,0,1,-1,1,1,1,1,0,-1,-1,1,0,-1,1,0,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,-1
Nestor Duarte,PMDB,BA,1,0,0,0,1,-1,1,1,1,0,1,-1,0,1,1,1,1,1,0,1,-1,0,1,1,1,-1,0,0,1,1,1,1,1,1,1,0,-1,0,1,-1
Uldurico Pinto,PSB,BA,1,0,0,0,1,1,1,0,1,0,1,0,-1,-1,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,-1,1,-1,0
Agostinho Valente,PT,MG,1,-1,-1,-1,0,1,1,1,1,0,1,0,-1,-1,0,-1,0,1,1,0,0,1,0,0,0,1,1,-1,1,1,0,0,0,-1,1,0,-1,1,-1,-1
Armando Costa,PMDB,MG,1,0,-1,1,1,0,0,-1,1,0,1,0,-1,1,-1,1,1,1,1,1,0,-1,1,1,1,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,-1
Avelino Costa,PL,MG,1,1,0,0,1,-1,-1,-1,1,0,0,1,1,1,1,1,1,-1,-1,0,0,-1,1,0,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,1,1,1,-1
Célio de Castro,PSB,MG,1,1,-1,-1,0,1,0,1,1,0,1,1,-1,-1,0,1,-1,1,0,0,0,0,-1,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,-1,0,-1,-1
Edmar Moreira,PP,MG,1,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,0,1,1,1,1,-1,0,1,0,1,1
Felipe Neri,PMDB,MG,1,1,-1,0,0,0,1,-1,1,0,1,0,-1,1,1,1,0,1,0,0,0,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,0,1,0,1,-1
Getúlio Neiva,PL,MG,1,0,-1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,-1,0,0,-1,0,1,1,0,0,0,-1,-1,0,1,1,1,-1,0,0,0,1,-1
Israel Pinheiro,PRS,MG,1,0,1,1,0,0,-1,-1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,-1,-1,1,-1,1,0,0,0,1,-1,0,1,1,1,-1
João Rosa,PSC,MG,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,-1,1,0,1,0,1,1,-1,-1,-1,0,-1,1,0,-1,-1,0,1,0,1,0,0
João Paulo,PT,MG,1,-1,0,-1,0,1,1,1,1,0,1,-1,-1,-1,0,-1,-1,1,1,1,0,1,-1,0,0,1,1,-1,1,0,0,0,0,0,1,-1,-1,1,-1,-1
José Belato,PMDB,MG,1,0,-1,0,0,1,-1,0,1,0,1,-1,-1,-1,0,0,0,-1,0,0,0,-1,1,1,1,-1,-1,-1,0,-1,0,1,0,1,0,1,0,0,1,0
Luiz Tadeu Leite,PMDB,MG,1,1,0,1,0,0,1,1,1,0,1,0,0,-1,0,0,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,1,1,0,0,1,1,0,0,1,1,-1
Maurício Campos,PL,MG,1,0,1,1,0,-1,-1,-1,1,0,1,0,1,1,1,1,1,-1,-1,1,0,-1,1,0,0,-1,-1,-1,-1,-1,0,1,1,1,-1,0,1,1,1,-1
Paulino Cícero de Vasconcelos,PSDB,MG,1,0,-1,0,1,1,0,0,1,0,1,-1,0,1,0,-1,1,0,-1,0,0,-1,1,0,0,1,1,-1,-1,0,0,0,1,1,1,0,-1,1,0,-1
Samir Tannus,PDC,MG,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,-1,0,0,0,0,1,1,-1,-1,-1,0,-1,0,0,1,1,0,1,1,1,1,-1
Jorio de Barros,PMDB,ES,1,0,0,0,1,0,0,0,1,0,1,1,-1,1,-1,0,-1,0,0,0,-1,-1,1,1,1,-1,1,-1,1,1,1,0,1,1,1,1,0,0,0,-1
Alvaro Valle,PL,RJ,1,0,0,0,0,-1,-1,-1,0,0,1,0,-1,1,0,1,1,0,1,0,0,-1,1,1,1,-1,-1,-1,-1,0,0,0,1,0,1,1,0,0,1,-1
Carlos Alberto Campista,PDT,RJ,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,0,0,0,0,1,1,0,1,1,1,1,-1,1,0,-1,1,0,0,0,-1,1,0,-1,1,0,-1
Jair Bolsonaro,PDC,RJ,1,0,0,0,0,-1,-1,-1,1,0,1,1,1,1,1,1,0,1,-1,0,0,-1,1,-1,-1,0,1,-1,1,0,1,0,0,1,0,0,0,1,0,-1
Jamil Haddad,PSB,RJ,1,-1,-1,-1,0,1,1,0,1,0,1,1,-1,-1,-1,1,-1,1,1,-1,0,1,-1,0,-1,-1,1,0,1,1,0,-1,0,-1,1,0,-1,1,-1,-1
Junot Abi-ramia,PDT,RJ,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,-1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,-1,1,1,1,0,0,-1
Artur da Tavola,PSDB,RJ,1,0,0,0,1,1,1,-1,1,0,1,1,-1,-1,-1,-1,1,0,0,1,0,0,1,-1,-1,0,0,0,1,0,0,-1,-1,1,1,0,1,0,-1,-1
Sandra Cavalcanti,PPR,RJ,1,1,1,1,1,-1,-1,0,1,0,0,1,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,-1,1,0,0,1,-1
Sérgio Cury,PDT,RJ,1,-1,-1,-1,0,0,1,0,1,0,1,0,-1,1,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1
Sidney de Miguel,PV,RJ,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,-1,1,1,-1,0,-1,1,1,1,-1,-1,-1,0,1,0,0,-1,-1,0,1,1,1,0,0
Simão Sessim,PPR,RJ,1,1,1,1,0,-1,0,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,1,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,0,1,1,1,-1
Vladimir Palmeira,PT,RJ,1,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,0,1,1,-1,0,1,-1,0,-1,1,1,-1,0,1,0,0,0,-1,1,0,0,1,-1,-1
Diogo Nomura,PL,SP,1,1,0,0,0,0,-1,0,1,0,1,1,1,1,1,1,1,-1,-1,0,0,-1,0,1,0,-1,-1,1,-1,-1,1,0,1,1,-1,0,0,1,1,-1
Ernesto Gradella,S.Part.,SP,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,-1,0,1,-1,0,-1,0,1,-1,0,1,0,0,0,-1,0,0,-1,1,0,0
Fábio Meirelles,PDS,SP,1,1,1,1,1,-1,-1,0,1,0,1,-1,1,1,1,0,1,-1,-1,0,0,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,0,1,0,1,-1
Gastone Righi,PTB,SP,1,1,1,1,0,-1,-1,0,1,0,0,-1,0,1,1,1,1,0,1,1,-1,-1,1,1,1,-1,-1,1,0,0,1,1,-1,-1,-1,1,0,1,1,-1
Geraldo Alckmin Filho,PSDB,SP,1,-1,-1,-1,1,-1,0,0,1,1,1,0,-1,-1,1,-1,1,1,-1,1,0,1,0,0,-1,1,1,-1,1,0,0,-1,1,1,1,-1,0,1,-1,-1
Irma Passoni,PT,SP,1,-1,-1,-1,0,0,1,0,1,0,1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,-1,-1
Magalhães Teixeira,PSDB,SP,1,-1,-1,0,1,0,-1,-1,1,0,-1,0,0,1,1,-1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,1,0,-1,1,1,1,0,-1,0,-1,0
José Serra,PSDB,SP,1,-1,0,0,0,-1,-1,1,1,0,1,1,-1,1,0,-1,1,0,1,0,0,1,0,-1,-1,1,1,1,1,0,0,0,0,1,1,0,0,1,-1,-1
Jurandyr Paixão,PMDB,SP,1,-1,-1,-1,0,0,1,-1,1,0,1,-1,-1,-1,1,0,0,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,0,0,1,1,-1
Marcelino Romano Machado,PDS,SP,1,1,1,1,0,-1,-1,0,1,1,1,-1,1,1,1,-1,1,-1,-1,0,1,0,1,-1,-1,1,1,1,0,-1,1,1,1,1,0,1,0,0,1,-1
Oswaldo Stecca,PMDB,SP,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-1,0,0,-1,1,-1,1,1,0,0,1,0,-1,0,0,0,0,1,1,0,-1,0,1,0,0
Beto Mansur,PDT,SP,1,-1,1,-1,1,1,1,1,0,0,0,1,0,-1,-1,1,0,1,1,0,0,1,1,1,1,1,1,-1,1,1,0,0,1,1,1,0,0,0,-1,-1
Ricardo Izar,PL,SP,0,1,1,1,0,-1,-1,-1,0,0,1,1,1,0,1,1,1,0,-1,-1,0,-1,1,0,0,-1,-1,1,-1,-1,1,0,0,0,0,0,0,1,1,-1
Solon Borges dos Reis,PTB,SP,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,0,-1,0,0,0,1,0,0,-1,-1,1,-1,-1,1,1,1,1,1,0,1,1,1,-1
Ulysses Guimarães,PMDB,SP,1,1,0,0,0,-1,0,-1,0,0,1,-1,0,1,1,0,0,0,0,1,0,0,1,1,1,-1,-1,-1,-1,1,0,0,1,1,1,0,0,0,1,-1
Walter Nory,PMDB,SP,1,1,0,-1,0,0,-1,-1,1,0,1,0,1,-1,1,-1,1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,1,1,-1
João Teixeira,PL,MT,0,0,0,0,0,0,-1,0,1,1,1,0,0,1,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Jonas Pinheiro,PFL,MT,1,1,1,0,1,-1,-1,-1,1,0,1,0,0,1,1,1,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
Augusto Carvalho,PCB,DF,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,1,-1,1,1,0,-1,0,-1,1,-1,-1,1,-1,-1
João Natal,PMDB,GO,1,1,0,0,0,-1,-1,-1,0,0,1,0,1,0,1,0,1,1,-1,1,0,0,1,1,1,0,-1,-1,-1,1,0,1,0,1,1,0,1,1,1,0
Mauro Borges,PDC,GO,-1,0,0,0,-1,-1,1,0,1,0,1,0,1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,1,0,1,1,1,0,1,0,1,1,-1
Roberto Balestra,PDC,GO,1,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,-1,0,0,1,1,0
Valter Pereira,PMDB,MS,1,1,-1,0,1,0,1,0,1,0,1,0,-1,-1,1,1,0,1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,1,0,1,0,0,-1
Delcino Tavares,PST,PR,1,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,1,1,-1,0,-1,0,0,1,-1,-1,0,0,0,0,-1,1,0,0,1,0,-1,-1,0,0,0
Edi Siliprandi,PDT,PR,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,1,1,0,-1,0,-1,0,0,0,0,0,0,1,1,0,0,-1,-1
Elio Dalla-Vecchia,PDT,PR,1,-1,-1,-1,0,1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,0,0,-1,1,0,0,0,1,0,1,1,0,0,0,-1,1,1,1,1,-1,-1
Luiz Carlos Hauly,PST,PR,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,0
Munhoz da Rocha,PSDB,PR,1,-1,-1,-1,0,1,1,0,1,0,1,0,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,1,1,0,-1,0,-1,0
Pedro Tonelli,PT,PR,1,0,0,0,0,1,1,1,1,0,1,-1,0,-1,-1,-1,-1,1,1,-1,0,1,-1,0,-1,1,1,-1,1,1,0,-1,0,-1,1,0,0,1,-1,-1
Rubens Bueno,PSDB,PR,1,-1,-1,-1,0,1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,-1,0,1,0,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,0,0,1,-1,-1
Wilson Moreira,PSDB,PR,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,0,-1,0,0,1,-1,-1,0,0,0,1,0,0,0,1,1,1,0,-1,0,-1,-1
Angela Amin,PDS,SC,-1,1,-1,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0,-1,-1,0,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,0,1,0,0,1,-1
Dejandir Dalpasquale,PMDB,SC,1,1,1,0,1,-1,-1,-1,1,0,1,-1,0,1,1,-1,1,-1,0,-1,0,0,1,1,1,-1,-1,0,-1,1,1,1,1,1,1,0,-1,0,1,0
