nome,partido,uf,PDC 124/1991,PDC 369/1990,PDC 370/1990,PDC 374/1990,PDC 63/1991,PDC 66/1991,PDC 66/1991,PDC 87/1991,PEC 45/1991,PEC 45/1991,PEC 45/1991,PL 1050/1991,PL 1050/1991,PL 1232/1991,PL 1263/1991,PL 1793/1991,PL 1911/1991,PL 2155/1991,PL 2155/1991,PL 2158/1991,PL 2158/1991,PL 2159/1991,PL 2366/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 2452/1991,PL 4570/1989,PL 4580/1990,PL 4790/1990,PL 4790/1990,PL 5996/1990,PL 5996/1990,PL 638/1991,PL 822/1991,PL 822/1991,PL 91/1991,PL 912/1991,PLP 181/1989
Valdemar Costa Neto,PL,SP,0,0,1,1,0,-1,-1,-1,1,0,1,0,0,1,1,1,0,-1,0,0,0,1,0,0,1,-1,-1,1,0,0,1,0,0,0,-1,0,1,1,1,0
Antonio Carlos Mendes Thame,PSDB,SP,1,-1,0,0,1,0,-1,1,1,0,0,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-1,0,-1,-1
Aldo Rebelo,PCdoB,SP,0,0,0,0,0,1,1,0,1,0,1,1,-1,-1,-1,1,1,1,1,1,0,-1,0,-1,-1,-1,1,-1,0,1,0,-1,0,-1,1,-1,0,1,-1,-1
Olavo Calheiros,PMDB,AL,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,-1,1,0,-1,0,0,-1,1,1,1,0,1,-1,-1,-1,0,0,0,-1,0,0,0
Roberto Jefferson,PTB,RJ,1,1,1,1,1,0,-1,0,1,0,0,1,0,1,0,1,1,1,-1,0,0,-1,0,1,1,-1,-1,1,-1,-1,0,1,0,1,0,0,0,1,1,0
Adão Pretto,PT,RS,1,0,0,0,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,-1,0,-1,0,0,0,1,1,0,0,0,1,1,0,0,0,-1,-1
César Bandeira,PFL,MA,0,0,1,1,0,0,-1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,-1,1,1,1,0,0,-1,0,0,1,0,1,1,-1,1,1,0,1,-1
Nelson Trad,PTB,MS,0,1,0,1,0,-1,-1,0,1,0,1,-1,1,-1,1,1,1,-1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,-1,0,1,0,0,-1,0,1,0,1,-1
Adauto Pereira,PFL,PB,1,0,0,0,1,-1,-1,0,1,0,1,-1,0,0,1,0,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,1,1,-1
Miguel Arraes,PSB,PE,0,-1,0,0,0,1,1,1,0,0,1,0,-1,0,-1,1,-1,1,1,0,0,-1,-1,0,0,1,1,0,1,1,0,0,0,-1,1,0,-1,1,-1,1
Nelson Marquezelli,PTB,SP,0,0,0,0,1,-1,-1,-1,1,0,1,1,1,0,1,0,1,-1,-1,0,0,-1,1,1,1,0,0,1,0,-1,1,1,0,1,-1,0,0,1,1,-1
Ney Lopes,PFL,RN,0,1,1,1,0,-1,-1,0,1,0,1,0,0,0,0,0,1,-1,0,1,0,0,1,1,1,-1,-1,0,-1,-1,1,1,0,1,0,0,1,0,1,-1
Osvaldo Coelho,PFL,PE,0,1,1,0,0,-1,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0
José Mendonça Bezerra,PFL,PE,0,1,1,1,0,0,-1,-1,0,0,1,0,0,0,1,0,1,0,-1,1,0,-1,0,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,0,0,1,0,0
Sérgio Barcellos,PFL,AP,-1,1,0,1,1,-1,-1,-1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,-1,-1,1,1,0,0,-1,0,0,0,1,0
Giovanni Queiroz,PDT,PA,1,-1,-1,-1,1,1,0,1,1,0,1,1,-1,1,-1,1,0,0,-1,0,0,-1,1,1,1,0,1,-1,1,1,0,0,0,1,1,1,1,1,-1,-1
Átila Lins,PFL,AM,0,0,0,0,0,0,-1,0,1,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0
Freire Júnior,PMDB,TO,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,-1,-1,1,0,1,1,1,1,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,1,1,0
Vivaldo Barbosa,PDT,RJ,1,-1,-1,-1,-1,1,1,1,1,0,1,1,0,1,-1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,-1,0,-1,1,1,0,1,-1,-1
André Benassi,PSDB,SP,0,-1,0,-1,1,1,-1,-1,1,0,1,1,-1,-1,1,-1,1,0,0,-1,-1,0,1,-1,-1,0,0,0,1,0,0,-1,1,1,1,0,-1,0,-1,-1
José Dirceu,PT,SP,1,-1,-1,-1,0,1,1,0,1,0,0,-1,-1,-1,0,-1,-1,1,0,0,0,0,-1,0,-1,1,1,0,1,1,0,0,0,-1,1,0,-1,0,-1,-1
Renato Vianna,PMDB,SC,1,1,-1,1,1,1,0,0,1,0,1,-1,-1,0,0,1,1,-1,-1,0,0,-1,1,0,0,-1,-1,-1,0,1,0,1,1,1,1,1,1,0,1,-1
Pinheiro Landim,PMDB,CE,0,1,1,1,0,-1,0,-1,1,0,1,-1,0,0,1,1,0,1,-1,1,-1,1,0,1,1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,1,1,-1
João Henrique,PMDB,PI,0,1,0,1,1,0,-1,-1,1,0,1,0,-1,1,-1,0,1,0,-1,1,0,0,1,1,1,-1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,0
Laíre Rosado,PMDB,RN,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,1,1,1,1,-1,1,0,1,-1
Efraim Morais,PFL,PB,0,1,0,1,1,0,0,-1,1,0,0,0,0,1,0,1,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1,-1
Haroldo Lima,PCdoB,BA,1,0,0,0,0,1,1,0,0,0,1,1,-1,-1,-1,1,-1,0,1,0,0,0,-1,0,-1,-1,1,0,1,0,0,-1,0,0,1,-1,0,1,-1,-1
Jaques Wagner,PT,BA,0,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,-1,0,-1,1,1,0,1,1,0,0,0,-1,1,0,0,1,-1,0
Jorge Khoury,PFL,BA,0,0,1,1,0,-1,-1,0,1,0,0,-1,1,1,1,1,1,-1,-1,1,-1,-1,0,0,1,-1,-1,-1,0,-1,1,1,1,1,-1,1,0,1,1,-1
Aécio Neves,PSDB,MG,0,0,0,0,0,1,1,-1,1,0,1,1,0,0,1,-1,1,1,0,1,0,-1,0,0,0,1,1,0,0,1,0,-1,1,1,1,-1,-1,0,-1,-1
Nilmário Miranda,PT,MG,1,0,0,0,0,1,0,1,1,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,0,0,0,-1,0
Tilden Santiago,PT,MG,1,0,0,0,0,1,0,1,1,0,1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,1,0,0,1,0,-1,1,0,-1,0,1,0
