nome,partido,uf,MPV 11/2001,MPV 14/2001,MPV 14/2001,MPV 14/2001,MPV 15/2001,MPV 15/2001,MPV 16/2001,MPV 22/2002,MPV 26/2002,MPV 44/2002,MPV 66/2002,MPV 70/2002,PEC 203/1995,PEC 289/2000,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 559/2002,PEC 559/2002,PEC 559/2002,PL 1037/1999,PL 4203/2001,PL 4203/2001,PL 6770/2002,PL 6770/2002,PLP 1/1991,PLP 275/2001,PLP 347/2002,PLP 347/2002,PLP 349/2002,PLP 349/2002,REC 211/2002,REC 238/2002
Marcelo Teixeira,PMDB,CE,-1,-1,1,1,-1,0,0,0,1,-1,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,-1,-1
Moroni Torgan,PFL,CE,0,-1,-1,-1,0,-1,0,-1,0,1,-1,0,1,0,1,1,-1,1,1,1,1,-1,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,1
Roberto Pessoa,PFL,CE,-1,-1,-1,0,-1,-1,1,0,1,0,0,0,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Leo Alcântara,PSDB,CE,-1,-1,1,1,-1,0,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,-1,0,0,1,1,1,1,-1,0
Antonio Cambraia,PSDB,CE,0,0,0,0,0,0,1,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Rommel Feijó,PSDB,CE,-1,-1,1,1,-1,-1,1,-1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,-1,-1
Manoel Salviano,PSDB,CE,-1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,-1,0
Vicente Arruda,PSDB,CE,-1,-1,1,1,-1,-1,0,0,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Inácio Arruda,PCdoB,CE,1,1,-1,0,1,0,0,1,-1,0,1,0,1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Alberto Fraga,PMDB,DF,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osório Adriano,PFL,DF,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
