nome,partido,uf,MPV 11/2001,MPV 14/2001,MPV 14/2001,MPV 14/2001,MPV 15/2001,MPV 15/2001,MPV 16/2001,MPV 22/2002,MPV 26/2002,MPV 44/2002,MPV 66/2002,MPV 70/2002,PEC 203/1995,PEC 289/2000,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 407/2001,PEC 559/2002,PEC 559/2002,PEC 559/2002,PL 1037/1999,PL 4203/2001,PL 4203/2001,PL 6770/2002,PL 6770/2002,PLP 1/1991,PLP 275/2001,PLP 347/2002,PLP 347/2002,PLP 349/2002,PLP 349/2002,REC 211/2002,REC 238/2002
José Carlos Martinez,PTB,PR,-1,-1,1,1,-1,-1,1,-1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1
Max Rosenmann,PMDB,PR,1,-1,0,1,0,-1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,0
José Borba,PMDB,PR,-1,0,1,1,0,-1,1,0,1,-1,0,1,1,1,0,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,-1,-1
Moacir Micheletto,PMDB,PR,1,-1,1,1,0,0,1,-1,0,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-1
Osmar Serraglio,PMDB,PR,1,-1,1,0,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,-1,-1
Gustavo Fruet,PMDB,PR,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
Abelardo Lupion,PFL,PR,1,-1,1,1,0,0,1,-1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1,0,0,1,1,1,1,1,0
Luiz Carlos Hauly,PSDB,PR,1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1
Affonso Camargo,PSDB,PR,-1,-1,1,0,-1,-1,1,-1,1,-1,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1
Simão Sessim,PPB,RJ,-1,-1,1,1,-1,-1,1,-1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1
Carlos Santana,PT,RJ,1,1,-1,-1,-1,0,0,-1,-1,0,1,1,1,0,1,1,1,-1,0,0,0,-1,-1,-1,0,0,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
Luiz Sérgio,PT,RJ,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Fernando Gabeira,PT,RJ,1,0,0,-1,0,0,1,0,-1,-1,1,0,1,1,1,1,1,-1,0,0,0,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,0,0,1
Jorge Bittar,PT,RJ,1,1,-1,-1,1,0,1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,0,1,1,1
Fernando Gonçalves,PTB,RJ,-1,-1,1,1,-1,-1,0,-1,1,0,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,-1,1
Bispo Rodrigues,PL,RJ,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
Carlos Nader,PFL,RJ,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rodrigo Maia,PFL,RJ,1,-1,1,0,-1,-1,-1,-1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1
Miriam Reid,PSB,RJ,1,1,-1,-1,0,1,0,1,-1,0,-1,0,1,1,0,-1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1
Alexandre Cardoso,PSB,RJ,1,1,-1,0,0,0,-1,1,0,0,-1,-1,1,1,0,0,1,-1,0,0,0,-1,-1,-1,1,-1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
Paulo Baltazar,PSB,RJ,1,0,-1,-1,1,1,-1,0,0,-1,-1,0,1,1,-1,-1,1,-1,0,0,0,-1,-1,-1,1,-1,1,1,0,0,0,1,1,-1,1,0,1,1,1,1,1,1
Paulo Feijó,PSDB,RJ,-1,-1,1,0,0,0,0,-1,1,-1,1,1,1,0,1,1,-1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,-1
Dr. Heleno,PSDB,RJ,-1,-1,1,1,-1,-1,0,0,1,-1,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,-1,-1
Itamar Serpa,PSDB,RJ,0,-1,1,1,-1,-1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0
Jandira Feghali,PCdoB,RJ,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1
Múcio Sá,PTB,RN,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,0
Henrique Eduardo Alves,PMDB,RN,-1,0,1,1,0,0,0,-1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
Confúcio Moura,PMDB,RO,-1,0,1,1,0,0,0,-1,1,-1,1,0,1,0,1,1,-1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,-1
Marinha Raupp,PMDB,RO,0,0,-1,-1,-1,-1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Luciano Castro,PFL,RR,-1,-1,1,1,0,0,0,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Luis Carlos Heinze,PPB,RS,0,-1,1,1,-1,0,0,0,1,0,1,1,0,1,1,1,-1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,0
Augusto Nardes,PPB,RS,1,0,1,1,-1,0,1,0,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0
Alceu Collares,PDT,RS,1,0,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,1
Tarcísio Zimmermann,PT,RS,0,1,-1,-1,1,0,1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
Henrique Fontana,PT,RS,1,1,-1,-1,1,0,1,0,-1,-1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Orlando Desconsi,PT,RS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ary José Vanazzi,PT,RS,0,1,-1,-1,1,0,1,0,-1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
Darcísio Perondi,PMDB,RS,-1,-1,1,1,0,-1,1,0,1,0,-1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,-1
Mendes Ribeiro Filho,PMDB,RS,1,-1,1,-1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0
Cezar Schirmer,PMDB,RS,1,-1,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Paulo José Gouvêa,PL,RS,1,0,0,0,0,0,-1,-1,-1,-1,1,0,1,0,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,0,1,1,-1,1,1,1,1,1,1,1,1
Nelson Proença,PPS,RS,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
Beto Albuquerque,PSB,RS,0,1,-1,-1,0,0,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
Yeda Crusius,PSDB,RS,-1,-1,1,1,-1,-1,0,0,0,0,1,1,1,0,1,0,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,0
João Pizzolatti,PPB,SC,1,-1,1,1,-1,-1,0,-1,1,1,-1,0,1,0,0,0,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,-1,0,0,0,0,0,1,-1,-1
Leodegar Tiscoski,PPB,SC,0,-1,1,1,-1,0,1,-1,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,-1,0
Carlito Merss,PT,SC,1,1,-1,-1,1,0,1,-1,0,-1,1,0,1,1,0,0,1,-1,1,1,1,0,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Luci Choinacki,PT,SC,1,0,-1,-1,0,0,1,0,0,0,1,1,1,1,1,1,1,-1,1,1,1,-1,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
Edison Andrino,PMDB,SC,1,-1,1,1,-1,0,1,1,-1,-1,1,0,1,1,1,1,0,-1,1,1,1,-1,1,0,1,-1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
Gervásio Silva,PFL,SC,0,-1,0,0,-1,-1,0,-1,1,0,-1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,1,-1,-1
Cleonâncio Fonseca,PPB,SE,-1,-1,1,1,0,0,0,-1,1,1,-1,-1,0,1,0,0,-1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0
Jorge Alberto,PMDB,SE,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,-1,1,0,0,1,1,1,1,1,1,1,1,1,-1,0
Celso Russomanno,PPB,SP,-1,-1,-1,0,-1,-1,0,0,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,-1,-1,0,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1
Vadão Gomes,PPB,SP,-1,0,1,0,0,-1,0,-1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,-1,0
Iara Bernardi,PT,SP,1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,0,0,0,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Arlindo Chinaglia,PT,SP,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,0,1,-1,1,1,1,0,-1,1,1,1,1,0,1,1,0,1,1,1
João Paulo Cunha,PT,SP,1,1,-1,-1,1,0,1,-1,0,-1,1,1,0,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,0,1,1,1,0,1,1
Orlando Fantazzini,PT,SP,1,1,-1,-1,0,0,0,-1,-1,0,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Luiz Eduardo Greenhalgh,PT,SP,0,1,0,-1,1,1,0,-1,-1,-1,1,1,1,1,0,0,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Professor Luizinho,PT,SP,1,1,-1,-1,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
Luiz Antonio Fleury,PTB,SP,1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1,-1,-1,1,1,0,0,0,1,1,1,-1,1,-1,1,1,0,0,1,1,1,1,1,1,1,0,1,-1,1
Arnaldo Faria de Sá,PTB,SP,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,1
Michel Temer,PMDB,SP,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanderval Santos,PL,SP,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Medeiros,PL,SP,1,1,-1,0,-1,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1
Valdemar Costa Neto,PL,SP,1,1,-1,0,-1,0,-1,0,0,-1,1,0,0,1,-1,0,1,0,-1,-1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
Gilberto Kassab,PFL,SP,-1,-1,1,0,0,-1,1,-1,0,0,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,-1,0,0,0,1,1,1,-1,-1
Corauci Sobrinho,PFL,SP,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,-1,1,0,1,1,1,1,1,1
Luiza Erundina,PSB,SP,1,1,-1,-1,1,0,1,1,-1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1,1,1,0,1,1,1,1,1,1
Dr. Evilásio,PSB,SP,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,1,-1,-1,-1,-1,0,-1,1,1,-1,1,0,1,1,1,1,1,1
Alberto Goldman,PSDB,SP,1,-1,1,1,-1,-1,0,-1,1,-1,1,0,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1
Aloysio Nunes Ferreira,PSDB,SP,0,-1,1,1,-1,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,-1,-1
Antonio Carlos Pannunzio,PSDB,SP,-1,0,0,0,0,0,1,-1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,-1,-1
Salvador Zimbaldi,PSDB,SP,-1,-1,1,1,-1,-1,1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1
Paulo Kobayashi,PSDB,SP,0,-1,1,1,-1,-1,1,-1,1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Julio Semeghini,PSDB,SP,-1,-1,1,1,0,-1,1,-1,1,-1,1,1,1,0,1,1,-1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,-1,-1
Antonio Carlos Mendes Thame,PSDB,SP,0,-1,1,1,-1,-1,0,0,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,1,-1,-1
Aldo Rebelo,PCdoB,SP,1,0,-1,-1,1,0,0,0,-1,-1,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Darci Coelho,PFL,TO,0,-1,1,1,-1,-1,1,0,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,-1,0,1,1,1,0,1,-1,-1
Kátia Abreu,PFL,TO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olavo Calheiros,PMDB,AL,-1,-1,1,1,-1,-1,-1,0,1,0,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
João Caldas,PL,AL,0,1,-1,-1,0,-1,1,0,1,0,1,1,1,0,0,0,1,-1,1,1,1,0,1,0,0,0,0,0,-1,0,0,0,1,0,1,1,1,1,1,1,0,1
Givaldo Carimbão,PSB,AL,0,1,-1,-1,1,1,0,1,-1,-1,1,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,1,-1,1,1,1,1,1,1,1,0
Helenildo Ribeiro,PSDB,AL,-1,-1,1,1,-1,-1,1,0,1,0,-1,0,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,-1,0,1,1,1,0,1,-1,-1
Dr. Benedito Dias,PPB,AP,1,-1,1,1,-1,-1,1,-1,1,0,-1,0,1,0,1,1,-1,0,1,1,1,1,1,0,1,1,-1,-1,-1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1
Eduardo Seabra,PTB,AP,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,1,0,1,-1,1,1,1,-1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1
Reginaldo Germano,PFL,BA,1,-1,1,1,0,-1,1,-1,1,1,0,1,1,1,0,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,-1
Paulo Magalhães,PFL,BA,-1,-1,0,0,-1,0,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,0,1,1,-1,0,0,1,1,1,0,0,1,1,-1,1,1,1,1,1,1,1,0
Eunício Oliveira,PMDB,CE,-1,0,1,1,-1,-1,0,-1,1,0,1,1,1,1,0,1,-1,-1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1
Almeida de Jesus,PL,CE,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,-1,0,0,1,-1,1,-1,1,1
Arnon Bezerra,PSDB,CE,-1,-1,1,1,0,0,0,-1,1,0,0,1,1,1,1,0,-1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,-1
Ariosto Holanda,PSDB,CE,0,0,0,0,0,0,0,-1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Feu Rosa,PSDB,ES,0,-1,1,1,-1,-1,0,-1,1,0,-1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
Roberto Balestra,PPB,GO,0,-1,1,1,0,0,0,-1,1,1,-1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,-1,1,1,1,0,0,1,1,-1,0,1,1,1,1,1,1,-1
Luiz Bittencourt,PMDB,GO,1,0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,-1,-1,1,-1,1,1,1,1,1,0,-1,-1,1,1,1,0,0,0,1,-1,1,1,1,0,1,1,0,0
Pedro Chaves,PMDB,GO,0,-1,-1,-1,0,0,0,-1,1,-1,1,1,0,1,0,1,-1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1
Costa Ferreira,PFL,MA,-1,-1,-1,1,0,-1,1,-1,1,-1,-1,0,1,1,0,0,-1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-1,1
Paulo Marinho,PFL,MA,-1,0,0,0,0,0,1,-1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romel Anizio,PPB,MG,-1,0,1,1,1,-1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1
Mauro Lopes,PMDB,MG,-1,0,1,1,-1,-1,0,0,1,0,1,0,1,1,1,1,-1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1
Roberto Brant,PFL,MG,0,-1,1,1,-1,-1,1,-1,1,1,-1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,0,1,1,1,1,1,-1
Cleuber Carneiro,PFL,MG,-1,-1,1,0,0,-1,1,-1,1,0,-1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,1,-1,-1
Bonifácio de Andrada,PSDB,MG,-1,-1,1,1,0,0,0,-1,0,-1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0
Nicias Ribeiro,PSDB,PA,-1,-1,1,0,0,-1,0,0,1,0,-1,0,1,1,0,0,0,-1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,-1
Marcondes Gadelha,PFL,PB,0,0,1,1,0,-1,1,0,0,0,0,1,0,0,0,0,-1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0
Fernando Ferro,PT,PE,1,1,-1,-1,0,0,1,-1,-1,-1,1,0,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,1,0,1,1,1,1,1,1,1,1,0
José Chaves,PMDB,PE,-1,0,0,0,0,-1,0,-1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-1,-1
Gonzaga Patriota,PSB,PE,1,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,-1,-1,1,0,-1,0,1,-1,0,0,1,-1,0,1,0,0,-1,1,0,0,1,1,0,0,0,0,1,1
Nelson Meurer,PPB,PR,-1,-1,1,1,-1,-1,0,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,-1
Ricardo Barros,PPB,PR,-1,-1,1,1,-1,-1,0,0,1,-1,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,-1,-1
Iris Simões,PTB,PR,1,-1,1,1,-1,-1,1,-1,1,1,1,0,0,0,1,1,-1,1,1,1,0,0,0,0,-1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1
Hermes Parcianello,PMDB,PR,-1,-1,0,1,-1,-1,0,0,0,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,-1,-1
Oliveira Filho,PL,PR,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1
Francisco Dornelles,PPB,RJ,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,0
Roberto Jefferson,PTB,RJ,0,0,1,1,-1,-1,1,-1,0,0,1,-1,0,1,1,1,-1,1,1,1,-1,0,0,0,-1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1
Eduardo Paes,PFL,RJ,0,-1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1
Alexandre Santos,PSDB,RJ,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Agnaldo Muniz,PPS,RO,0,-1,0,-1,1,-1,1,-1,-1,0,1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
Pompeo de Mattos,PDT,RS,1,0,-1,-1,0,0,1,1,-1,-1,1,0,-1,1,-1,1,1,0,-1,-1,-1,-1,-1,0,1,-1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,-1,0
Adão Pretto,PT,RS,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,1,1,1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
João Matos,PMDB,SC,1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,0
Dr. Hélio,PDT,SP,1,1,-1,-1,1,0,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0,0,-1,1,1,1,1,0,1,1,1,1,-1,1
Telma de Souza,PT,SP,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,1,1,1,-1,0,0,0,-1,-1,-1,1,-1,1,1,1,0,-1,1,1,1,0,1,1,1,1,1,0,0
Angela Guadagnin,PT,SP,1,0,-1,-1,1,0,0,-1,-1,-1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,1,-1,1,1,0,0,-1,1,1,1,1,0,1,1,1,1,1,1
Luciano Zica,PT,SP,1,1,-1,-1,1,0,1,-1,0,-1,0,1,1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,1
