nome,partido,uf,MSC 1125/1998,MSC 1502/1998,MSC 627/1998,MSC 910/1997,MSC 99/1996,PDC 186/1999,PDC 233/1999,PDC 658/1998,PEC 169/1993,PEC 169/1993,PEC 169/1993,PEC 33/1999,PEC 33/1999,PEC 33/1999,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 498/1997,PEC 526/1997,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 627/1998,PEC 627/1998,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 82/1995,PEC 85/1999,PEC 85/1999,PL 1/1995,PL 1527/1999,PL 1527/1999,PL 1699/1999,PL 2514/1996,PL 2737/1997,PL 2942/1992,PL 2960/1997,PL 2961/1997,PL 2961/1997,PL 3599/1997,PL 3651/1997,PL 3769/1997,PL 4071/1998,PL 4071/1998,PL 4224/1998,PL 4690/1998,PL 4693/1998,PL 4693/1998,PL 4694/1998,PL 4695/1998,PL 4736/1998,PL 4767/1998,PL 4811/1998,PL 4811/1998,PL 4811/1998,PL 4812/1998,PL 4812/1998,PL 4812/1998,PL 4895/1999,PL 4895/1999,PL 4898/1999,PL 4898/1999,PL 643/1988,PL 752/1999,PL 755/1999,PL 787/1999,PL 88/1999,PL 88/1999,PL 934/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 149/1997,PLP 23/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 250/1998,PLP 250/1998,PLP 250/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 83/1999,RCP 10/1995,REC 20/1999
Reginaldo Germano,PFL,BA,0,0,0,1,-1,1,0,0,0,0,0,0,0,1,1,1,1,-1,0,-1,1,0,0,0,0,0,0,0,1,1,0,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,-1,1,1,-1,0,1,0,1,1,-1,0,-1,0,0,0,0,1,-1,1,1,1,1,1,0,1,0,0,0,1,-1,0,0,-1,0,-1,1,-1,0,0,0,0,0,-1,1,1,1,0,0,1,1,1,0,1,-1,-1,-1,-1,-1,0,1,1,1,0,-1,1,1,0,0,-1
Paulo Magalhães,PFL,BA,1,0,0,1,-1,1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,0,0,-1,0,0,0,1,1,-1,1,1,1,1,0,0,1,0,0,0,1,-1,0,0,-1,1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,1,1,-1
Eunício Oliveira,PMDB,CE,1,0,0,1,0,1,1,0,-1,1,1,-1,0,0,1,1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,-1,1,0,-1,1,1,0,1,0,-1,0,-1,0,0,0,1,1,0,1,1,1,0,1,-1,0,0,0,0,1,-1,0,0,-1,0,-1,1,-1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,1,1,1,1,-1
Almeida de Jesus,PL,CE,1,0,0,-1,1,-1,1,0,-1,1,1,-1,-1,-1,0,0,0,0,-1,1,1,1,1,0,-1,1,1,-1,1,1,1,0,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,-1,0,0,0,1,1,0,0,1,-1,1,1,0,0,-1,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1
Arnon Bezerra,PSDB,CE,0,1,1,1,-1,0,1,0,0,1,1,-1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,0,1,0,1,0,0,1,-1,0,0,1,0,0,-1,1,-1,-1,1,0,0,1,-1,0,1,1,0,1,0,0,-1,1,1,0,0,1,1,0,0,-1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,1,0,0,0,0,0,1,-1
Ariosto Holanda,PSDB,CE,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feu Rosa,PSDB,ES,1,1,1,0,0,1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,0,0,1,1,0,-1,1,1,-1,0,1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,-1,-1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,-1,1,1,-1,0,-1,0,-1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,0,-1
Roberto Balestra,PPB,GO,1,0,0,0,0,1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,0,0,1,1,0,-1,0,1,1,0,1,0,1,0,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,1,-1,0,1,1,1,0,-1,0,-1,0,0,0,0,1,0,1,1,0,0,0,0,1,-1,0,1,1,1,1,1,-1,0,-1,0,0,1,1,1,0,0,-1,1,1,1,0,1,1,1,0,0,0,0,-1,1,-1,0,0,0,1,0,0,0,0,0,1,0,0
Luiz Bittencourt,PMDB,GO,0,0,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,1,-1,0,1,1,1,-1,1,1,-1,1,-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,0,-1,0,-1,1,1,0,-1,-1,-1,0,0,0,0,0,0,1,1,-1,1,1,0,1,0,-1,0,0,0,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,0,-1,-1,1,1,-1,1,1,1,-1,0,1,1,1,1,-1,1,-1,0,0,-1
Pedro Chaves,PMDB,GO,0,0,0,1,-1,1,1,0,-1,1,1,-1,1,1,1,0,0,0,1,-1,1,1,0,0,0,0,1,-1,1,0,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,0,1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,0,0,-1,0,-1,1,-1,1,1,0,0,1,-1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
Costa Ferreira,PFL,MA,1,1,1,1,0,0,1,0,-1,1,1,-1,1,1,0,0,0,0,1,-1,1,1,1,1,-1,1,1,-1,0,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,0,1,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,0,0,1,0,0,0,-1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,1,1,-1
Paulo Marinho,PFL,MA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,1,-1,1,0,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Romel Anizio,PPB,MG,1,1,1,1,-1,0,1,-1,-1,1,1,-1,1,1,1,1,0,0,1,-1,1,1,0,1,0,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,-1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,1,1,1,0,-1,1,1,1,0,-1
Mauro Lopes,PMDB,MG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Brant,PFL,MG,0,0,0,0,0,1,0,0,-1,1,1,-1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,-1,0,0,-1,1,-1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,0,-1,-1,-1,0,0,0,1,1,1,-1,0,1,1,1,0
Cleuber Carneiro,PFL,MG,0,0,0,1,0,1,1,0,-1,1,1,-1,-1,-1,1,1,0,-1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0,1,-1,1,1,1,0,0,0,1,1,-1,0,-1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,-1,1,-1,0,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,0,1,1,0,0,-1,-1,-1,-1,1,1,1,1,0,0,0,1,1,-1
Bonifácio de Andrada,PSDB,MG,1,1,1,1,-1,1,1,-1,0,1,1,0,-1,-1,1,1,0,1,1,-1,1,1,0,1,-1,1,1,-1,1,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,-1,1,-1,-1,1,0,0,1,-1,0,0,1,1,1,0,0,-1,1,1,1,0,1,1,-1,0,-1,1,-1,1,1,0,1,1,-1,0,1,1,1,1,1,1,0,0,0,-1,0,-1,-1,-1,-1,1,1,1,0,-1,1,0,1,1,-1
Nicias Ribeiro,PSDB,PA,1,1,1,1,0,0,1,0,-1,1,1,0,0,-1,1,1,1,-1,1,0,0,1,1,1,-1,1,1,-1,0,1,1,1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,0,-1,1,0,-1,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
Marcondes Gadelha,PFL,PB,0,0,0,1,-1,0,1,0,-1,1,1,-1,-1,-1,1,1,1,-1,0,-1,1,1,1,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,0,0,1,-1,0,-1,0,0,0,1,1,-1,0,1,1,1,1,0,1,0,0,0,1,-1,0,0,0,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,0,1,1,0,1,1,0,0,-1,-1,-1,-1,1,1,0,1,0,0,0,1,1,-1
Fernando Ferro,PT,PE,1,1,1,-1,1,-1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,1,1,1,-1,0,1,-1,1,-1,1,1,1,1,0,-1,1,-1,-1,1,1,-1,-1,1,0,1,1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,1,0,0,0,0,0,1
José Chaves,PMDB,PE,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,-1,1,0,-1,1,1,1,0,0,0,-1,1,0,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,1,0,0,1,-1,0,1,-1,0,0,0,1,1,0,1,-1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1,1,1,1,-1,1,1,0,0,-1,0,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,-1,1,0,1,0,0,0,0,0,1,-1
Gonzaga Patriota,PSB,PE,1,0,1,-1,1,0,0,1,0,0,0,0,0,0,1,1,0,-1,0,0,1,0,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,1,-1,-1,-1,0,0,0,0,-1,1,-1,1,0,0,1,-1,-1,0,1,1,1,0,-1,0,-1,1,0,0,0,0,1,0,0,0,0,-1,-1,1,1,-1,0,0,0,0,1,0,-1,1,0,0,1,0,0,-1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0,1,1,-1,0,1,0,0,-1,0,-1,0
Nelson Meurer,PPB,PR,1,1,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,1,1,0,-1,1,-1,-1,1,0,1,1,-1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,-1,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,0,1,1,0,-1
Ricardo Barros,PPB,PR,1,0,1,1,-1,0,-1,0,-1,1,1,-1,1,1,1,0,1,0,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,0,0,0,-1,1,0,1,1,1,0,1,-1,-1,1,0,1,1,-1,1,1,1,1,1,-1,0,-1,1,1,0,-1,1,1,-1,0,-1,1,-1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,-1,-1,0,-1,-1,1,1,0,1,-1,0,0,0,0,-1
Iris Simões,PTB,PR,1,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,-1,1,1,0,0,0,1,0,-1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,-1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,0,0,0,0,0,1,1,-1
Hermes Parcianello,PMDB,PR,0,0,0,0,-1,0,0,0,-1,1,0,-1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,-1,1,1,0,1,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-1,0,1,1,0,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,1,0,-1,0,0,1,-1,0,1,0,-1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,-1,0,0,1,0,1,0,0,0,1,0,-1
Roberto Jefferson,PTB,RJ,1,0,1,1,-1,1,0,-1,-1,1,1,-1,-1,-1,1,1,1,0,1,-1,1,1,1,0,-1,1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-1,-1,1,1,-1,1,1,1,1,1,0,0,-1,-1,1,0,1,1,1,0,1,1,1,0,0,1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
Eduardo Paes,PFL,RJ,1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,-1,1,1,-1,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,-1,0,0,0,1,1,-1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,-1
Alexandre Santos,PSDB,RJ,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,0,0,1,-1,1,1,1,1,0,0,1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,0,1,1,1,-1,0,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,0,0,1,1,-1,0,-1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,1,0,0
Pompeo de Mattos,PDT,RS,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,-1,0,1,1,-1,1,1,1,0,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0,-1,1,-1,-1,-1,1,1,0,0,-1,1,0,1,0,0,0,1,1,1,-1,-1,1,1,-1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,1,1,1,1,0,1,1,1,-1,-1,0,1,-1,0,-1,0,0,1
Adão Pretto,PT,RS,1,1,1,-1,1,-1,1,1,-1,1,1,0,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0,-1,0,-1,-1,-1,1,0,-1,0,0,1,1,1,1,-1,0,1,-1,1,0,1,1,0,0,0,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,0,-1,-1,1,1,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,-1,1
João Matos,PMDB,SC,1,1,1,0,0,1,0,1,0,0,0,1,-1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,0,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,1,1,1,0,1,-1,0,1,-1,1,0,1,1,0,-1,1,-1,1,-1,0,0,0,0,1,0,1,0,1,0,1,1,-1,-1,1,0,1,1,-1,0,-1,1,-1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,1,1,1,1,-1,1,1,1,0,-1
Dr. Hélio,PDT,SP,1,0,0,-1,1,1,1,0,-1,1,1,0,0,-1,1,1,1,0,1,1,1,1,-1,0,1,1,-1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,0,-1,0,-1,1,-1,-1,-1,1,1,0,-1,-1,1,0,1,0,0,0,1,1,1,-1,-1,1,1,-1,0,-1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,-1,-1,1,1,-1,-1,-1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,-1,1,-1,1,0,1
Telma de Souza,PT,SP,0,1,0,-1,0,0,1,0,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,0,1,1,-1,-1,0,-1,1,1,1,1,1,1,1,-1,0,-1,1,1,0,0,-1,0,-1,0,-1,1,0,0,0,-1,0,0,1,0,-1,0,0,0,1,-1,1,1,1,1,0,-1,0,-1,0,0,1,-1,-1,0,0,1,0,0,-1,-1,1,1,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,1,0,1
Angela Guadagnin,PT,SP,1,0,0,-1,1,-1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,-1,1,0,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,0,0,-1,-1,1,0,1,0,0,0,1,-1,1,-1,1,1,1,1,0,-1,0,0,0,1,1,0,0,1,0,1,1,1,-1,0,1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,1,0,0,0,0,0,1,0,1
Luciano Zica,PT,SP,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Cascione,PTB,SP,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zulaiê Cobra,PSDB,SP,0,0,1,1,-1,0,0,-1,0,1,1,-1,1,1,0,0,0,0,0,-1,1,0,0,0,-1,1,1,-1,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,-1,1,1,0,0,1,1,1,1,0,1,-1,-1,1,0,0,0,0,0,1,1,1,0,0,1,-1,1,1,1,-1,1,1,0,0,-1,1,0,1,-1,0,0,1,-1,1,1,1,0,0,0,0,1,1,0,0,-1,0,0,-1,0,1,1,1,0,0,1,0,0,1,-1
Osvaldo Biolchi,PMDB,RS,0,0,0,1,-1,1,0,0,-1,1,1,-1,1,1,1,1,1,0,1,-1,1,1,1,0,-1,1,1,-1,1,1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,0,1,-1,1,1,-1,1,1,0,0,1,-1,0,-1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,-1,0,-1,0,-1,0,-1,1,0,1,-1,0,0,0,1,0,0,1,1,1,0,-1,-1,-1,0,-1,0,1,1,1,1,-1,1,1,1,1,-1
Barbosa Neto,PMDB,GO,0,0,0,1,0,0,0,0,-1,1,1,-1,0,1,1,1,1,1,0,-1,1,1,0,0,0,0,1,-1,1,1,1,0,0,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,-1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,-1,0,1,1,0,-1,-1,-1,0,-1,0,1,0,0,0,0,0,1,1,-1
Antonio Joaquim,PPB,MA,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,0,0,1,1,0,1,0,-1,0,-1,0,0,0,1,0,-1,0,0,1,1,0,0,1,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,0,0
Pedro Novais,PMDB,MA,0,1,1,1,-1,0,0,-1,0,0,0,-1,1,0,1,1,1,0,1,-1,1,1,1,1,-1,1,1,0,1,1,0,0,-1,-1,-1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,-1,1,0,0,1,0,1,1,1,-1,1,-1,-1,1,0,1,0,0,0,1,1,1,0,0,1,-1,1,1,0,-1,1,1,0,-1,0,1,-1,1,1,1,1,0,-1,0,1,0,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,-1,0,1,1,0,-1
César Bandeira,PFL,MA,1,1,1,1,-1,1,0,-1,0,0,0,-1,1,1,0,0,0,0,1,-1,1,1,1,1,-1,1,1,-1,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,0,1,1,1,0,0,1,0,1,1,1,-1,1,1,-1,0,0,1,0,0,0,0,0,1,-1,0,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,1,0,-1
Eliseu Resende,PFL,MG,1,0,0,1,0,1,1,-1,-1,1,1,-1,1,1,0,1,1,-1,1,-1,1,1,1,0,0,1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,0,-1,1,0,-1,0,0,1,1,-1,0,0,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,0,-1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,-1,0,-1,-1,-1,1,1,0,1,0,0,0,1,1,-1
