nome,partido,uf,MSC 1125/1998,MSC 1502/1998,MSC 627/1998,MSC 910/1997,MSC 99/1996,PDC 186/1999,PDC 233/1999,PDC 658/1998,PEC 169/1993,PEC 169/1993,PEC 169/1993,PEC 33/1999,PEC 33/1999,PEC 33/1999,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 407/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 498/1997,PEC 526/1997,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 626/1998,PEC 627/1998,PEC 627/1998,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 637/1999,PEC 82/1995,PEC 85/1999,PEC 85/1999,PL 1/1995,PL 1527/1999,PL 1527/1999,PL 1699/1999,PL 2514/1996,PL 2737/1997,PL 2942/1992,PL 2960/1997,PL 2961/1997,PL 2961/1997,PL 3599/1997,PL 3651/1997,PL 3769/1997,PL 4071/1998,PL 4071/1998,PL 4224/1998,PL 4690/1998,PL 4693/1998,PL 4693/1998,PL 4694/1998,PL 4695/1998,PL 4736/1998,PL 4767/1998,PL 4811/1998,PL 4811/1998,PL 4811/1998,PL 4812/1998,PL 4812/1998,PL 4812/1998,PL 4895/1999,PL 4895/1999,PL 4898/1999,PL 4898/1999,PL 643/1988,PL 752/1999,PL 755/1999,PL 787/1999,PL 88/1999,PL 88/1999,PL 934/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 149/1997,PLP 23/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 24/1999,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 248/1998,PLP 250/1998,PLP 250/1998,PLP 250/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 83/1999,RCP 10/1995,REC 20/1999
Félix Mendonça,PTB,BA,1,1,1,0,-1,0,0,-1,-1,1,0,-1,1,1,1,1,0,-1,1,-1,1,0,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,-1,1,1,-1,0,1,1,1,1,0,1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,1,-1,1,1,1,-1,1,1,0,0,0,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,1,1,1,-1
Geddel Vieira Lima,PMDB,BA,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,1,1,0,1,0,1,-1,1,0,1,1,0,0,0,0,0,1,0,1,-1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,-1,1,1,0,0,0,0,1,1,-1,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,-1,1,1,0,0,0,0,0,1,1,0,0,0,-1,1,1,1,0,0,1,0,1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Colbert Martins,PPS,BA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Barbosa,PFL,BA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jairo Carneiro,PFL,BA,1,1,1,1,-1,0,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,-1,1,1,-1,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,0,1,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,0,0,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,1,1,1,-1
Claudio Cajado,PFL,BA,1,1,1,1,-1,0,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,1,0,-1,1,1,0,0,1,0,0,-1,1,1,1,-1,1,1,-1,0,0,1,-1,1,0,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,-1,1,1,1,0,-1,1,1,0,1,-1
José Rocha,PFL,BA,1,0,0,1,0,0,1,0,-1,0,1,0,1,1,1,1,1,0,1,-1,1,1,1,0,0,1,1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,1,-1,1,1,-1,1,1,0,0,1,0,1,-1,0,0,0,1,1,-1,1,0,0,0,1,0,1,-1,1,1,1,-1,1,1,0,0,-1,1,-1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,0,-1,1,1,0,0,-1
João Carlos Bacelar,PFL,BA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aroldo Cedraz,PFL,BA,1,1,0,1,-1,0,0,0,-1,1,0,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,1,1,1,0,0,-1,1,1,1,-1,1,1,0,0,-1,1,0,0,1,0,1,0,-1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,1,1,0,1,-1
José Carlos Aleluia,PFL,BA,1,1,1,1,0,1,1,0,0,1,1,-1,1,1,1,1,1,-1,1,-1,1,0,1,0,0,1,1,0,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,-1,1,0,1,-1,1,1,-1,1,1,1,0,-1,-1,1,-1,-1,0,0,1,0,-1,1,1,0,0,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,-1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,-1,-1,-1,-1,0,-1,1,0,1,1,1,1,1,1,1,-1
Gerson Gabrielli,PFL,BA,1,0,0,1,0,0,1,0,-1,1,1,0,0,0,1,1,1,-1,1,-1,1,1,0,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,0,1,1,-1,1,0,0,1,1,-1,0,-1,0,0,0,1,1,-1,1,1,1,1,1,0,1,0,0,0,1,-1,0,0,-1,0,-1,1,-1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,0,-1
Jutahy Junior,PSDB,BA,1,0,0,1,-1,1,-1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,-1,0,-1,0,0,0,1,1,-1,1,1,1,1,1,0,1,0,0,0,1,-1,0,0,0,0,-1,1,0,1,-1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,1,1,1,-1
João Almeida,PSDB,BA,1,0,0,1,-1,0,1,-1,0,1,1,-1,1,1,1,1,1,1,0,-1,0,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,0,1,-1,1,0,1,1,1,0,1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,1,-1,1,1,1,-1,1,1,0,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,1,1,1,-1
José Linhares,PPB,CE,0,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,0,1,0,1,1,-1,1,1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,1,1,1,0,1,-1,-1,1,0,1,1,-1,1,1,1,0,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,-1,1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,0,0,0,0,1,-1
José Pimentel,PT,CE,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,1,0,-1,0,-1,1,1,1,1,0,0,1,-1,1,-1,1,1,1,1,0,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,0,1
Aníbal Gomes,PMDB,CE,0,0,0,1,-1,0,1,0,-1,1,1,0,1,1,0,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,1,1,0,1,0,0,1,0,-1,0,-1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,1,0,1,0,0,-1,1,1,1,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,1,1,-1
Marcelo Teixeira,PMDB,CE,0,1,1,0,-1,1,1,0,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,0,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,0,-1,0,0,1,0,0,0,1,-1,-1,1,0,0,0,1,0,0,1,1,1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,-1,-1,0,-1,-1,-1,1,1,0,0,0,0,0,0,1,-1
Leônidas Cristino,PPS,CE,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroni Torgan,PFL,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,0,0,0
Roberto Pessoa,PFL,CE,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,-1,-1,1,1,-1,1,1,1,0,0,0,1,-1,0,0,0,1,0,-1,1,0,0,0,1,0,1,-1,0,1,1,1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,0,0,-1,0,-1,1,0,0,1,0,0,0,0,1,0,0,-1,-1
Leo Alcântara,PSDB,CE,1,0,0,1,-1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,-1,0,0,0,0,0,1,1,-1,1,1,1,1,1,0,1,0,0,0,1,-1,0,0,-1,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,-1
Antonio Cambraia,PSDB,CE,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Rommel Feijó,PSDB,CE,1,0,1,1,0,0,0,-1,0,1,1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,0,0,1,-1,1,1,0,1,-1,-1,1,-1,-1,1,0,1,1,-1,1,1,0,0,1,0,0,0,0,1,0,-1,1,1,-1,1,-1,0,-1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,-1,-1,1,0,1,1,-1,1,1,0,0,-1
Manoel Salviano,PSDB,CE,1,0,0,0,0,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,1,0,1,1,0,0,-1,0,0,0,1,1,-1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,-1,1,-1,0,-1,0,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,1,-1
Vicente Arruda,PSDB,CE,0,1,0,0,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,1,-1,1,1,-1,1,1,1,0,0,-1,1,0,0,1,0,0,0,-1,1,1,1,1,0,0,1,-1,1,0,1,-1,1,1,-1,0,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,0,1,-1
Inácio Arruda,PCdoB,CE,0,1,1,-1,0,1,1,1,-1,1,1,-1,0,1,1,1,1,0,1,1,1,1,-1,1,1,0,1,1,0,1,1,1,1,0,1,-1,-1,-1,-1,1,0,1,0,1,1,1,-1,-1,-1,1,0,-1,0,-1,1,-1,-1,1,1,0,0,-1,-1,0,1,1,1,-1,0,-1,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,1,-1,-1,1,0,1,0,1,-1,1,-1,-1,0,1,0,0,0,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,1,1,-1,1,0,0,-1,1
Alberto Fraga,PMDB,DF,0,0,0,1,-1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,1,-1,1,1,-1,1,1,0,1,1,-1,0,-1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,-1,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,1,1,1,0,0,0,0,-1,-1,1,1,1,1,0,1,1,0,0,-1
