nome,partido,uf,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 627/2013,MPV 628/2013,MPV 628/2013,MPV 628/2013,MPV 630/2013,MPV 630/2013,MPV 632/2013,MPV 633/2013,MPV 633/2013,MPV 635/2013,MPV 639/2014,MPV 640/2014,MPV 650/2014,MPV 652/2014,MPV 656/2014,MPV 657/2014,PDC 1491/2014,PDC 1491/2014,PDC 1491/2014,PEC 103/2011,PEC 103/2011,PEC 111/2011,PEC 197/2012,PEC 197/2012,PEC 197/2012,PEC 247/2013,PEC 247/2013,PEC 290/2013,PEC 290/2013,PEC 293/2013,PEC 293/2013,PEC 358/2013,PEC 358/2013,PEC 358/2013,PEC 426/2014,PEC 426/2014,PEC 434/2014,PEC 434/2014,PEC 471/2005,PL 3232/1992,PL 4246/2012,PL 6025/2005,PL 6025/2005,PL 6738/2013,PL 6809/2013,PL 7735/2014,PL 8035/2010,PLN 31/2014,PLN 31/2014,PLN 36/2013,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLN 36/2014,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 221/2012,PLP 275/2001,PLP 276/2002,PLP 362/2006,PLP 362/2006,PLP 362/2006,PLP 397/2014,PLP 397/2014,PRC 132/2012,REP 17/2012,REP 22/2013,REP 25/2014,REQ 10361/2014,REQ 10929/2014,REQ 8130/2013,REQ 8339/2013,REQ 8880/2013,REQ 9459/2014,REQ 9534/2014,REQ 9534/2014,REQ 9534/2014,REQ 9556/2014,PEC 471/2005
Assis do Couto,PT,PR,-1,1,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,0,1,-1,-1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,-1,-1,1,-1,0,-1,1,1,0,1,0,0,0,1,1,0,0,1,-1
Osmar Serraglio,PMDB,PR,0,1,1,1,0,0,-1,0,-1,1,1,-1,1,1,-1,1,1,-1,0,0,0,0,-1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,0,-1,1,1,0,-1,0,-1,1,0,0,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,0,-1,1,-1,0,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,0
Luiz Carlos Hauly,PSDB,PR,0,-1,1,1,0,0,0,0,1,0,-1,1,0,1,-1,-1,1,0,1,0,-1,-1,-1,0,1,0,1,1,0,0,0,1,0,0,0,1,-1,-1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,0,-1,1,0,1,1,0,1,0,-1,1,1,1,-1,-1,1,0,0
Alex Canziani,PTB,PR,0,1,0,1,0,-1,0,-1,0,1,0,0,0,1,0,1,-1,-1,0,0,-1,-1,-1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,-1,0,-1,1,0,0,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,1,0,1,1,1,0,1,0,0,1,0,1,-1,1,1,0
Luiz Sérgio,PT,RJ,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,1,1,1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,0,1,1,0,0,1,0,0,0,0,0,0,-1,1,-1
Jorge Bittar,PT,RJ,-1,1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,-1,-1,1,-1,-1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,-1,-1,1,-1,-1,1,0,0,1,1,0,-1,0,-1,1,0,-1,0,0,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,0,-1,1,1,-1,1,0,1,1,1,0,0,0,1,-1
Jandira Feghali,PCdoB,RJ,-1,0,-1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,0,0,-1,-1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,0,-1,1,0,0,-1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,0,1,1,1,-1,1,0,-1,1,1,1,0,0,0,-1
Fátima Bezerra,PT,RN,-1,1,0,-1,-1,-1,-1,0,-1,1,0,-1,0,0,0,1,-1,-1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,1,0,-1,1,1,-1,-1,1,0,0,1,1,-1,1,1,0,-1,-1,0,-1,0,-1,1,1,0,0,1,1,1,0,1,0,0,0,0
Henrique Eduardo Alves,PMDB,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinha Raupp,PMDB,RO,0,1,0,0,0,0,0,-1,0,1,1,0,0,1,-1,0,1,-1,0,0,-1,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,0,1,1,0,0,0,1,1,0,-1,0,-1,1,0,-1,1,0,0,0,1,1,1,1,1,-1,0,1,0,0,0,1,1,0,0,1,0,1,1,-1,0,0,1,0,0,0,0,1
