nome,partido,uf,MPV 136/2003,MPV 139/2003,MPV 139/2003,MPV 139/2003,MPV 140/2003,MPV 140/2003,MPV 141/2003,MPV 143/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 144/2003,MPV 147/2003,MPV 148/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 153/2003,MPV 154/2003,MPV 154/2003,MPV 155/2003,MPV 155/2003,MPV 160/2003,MPV 160/2003,MPV 161/2004,MPV 165/2004,MPV 165/2004,MPV 165/2004,MPV 166/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 167/2004,MPV 168/2004,MPV 168/2004,MPV 169/2004,MPV 177/2004,MPV 177/2004,MPV 179/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 182/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 183/2004,MPV 191/2004,MPV 191/2004,MPV 191/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 192/2004,MPV 194/2004,MPV 195/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 196/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 198/2004,MPV 200/2004,MPV 200/2004,MPV 201/2004,MPV 206/2004,MPV 206/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 207/2004,MPV 208/2004,MPV 219/2004,MPV 219/2004,MSC 205/2004,MSC 205/2004,MSC 210/2004,MSC 411/2003,MSC 62/2004,PDC 13/2003,PEC 101/2003,PEC 101/2003,PEC 227/2004,PEC 227/2004,PEC 228/2004,PEC 228/2004,PEC 254/2000,PEC 285/2004,PEC 438/2001,PEC 574/2002,PEC 574/2002,PEC 574/2002,PEC 575/1998,PL 2399/2003,PL 2399/2003,PL 2399/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2546/2003,PL 3476/2004,PLP 188/2004,PLP 22/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 72/2003,PLP 76/2003,PLP 76/2003
Átila Lins,PPS,AM,0,0,1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,1,-1,1,-1,0,0,-1,0,1,-1,0,-1,0,-1,-1,0,-1,1,1,-1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,1,-1,-1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,-1,1,-1,1,1,1,1,1,0,0,0,0,0,1
Vanessa Grazziotin,PCdoB,AM,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,1,0,1,-1,0,0,-1,-1,-1,0,1,1,1,1,1,0,1,-1,1,-1,0,1,1,0,1,1,1,0,1,0,0,0,0,-1,-1,1,1,1,1,0,0,0,0,0,1
Davi Alcolumbre,PDT,AP,-1,0,0,0,0,-1,1,-1,0,0,-1,1,0,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,1,-1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,-1,0,-1,-1,1,1,1,1,0,1,0,0,1,0
Antonio Nogueira,PT,AP,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0,0,0,1,0,1,1,0,0,0,-1,1,0,1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,0,0,0,1,-1,1,-1,0,1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,1,0,0,1,-1,0,0,1,-1,-1,1,1,0,0,1,1,1,1,1,0
Hélio Esteves,PT,AP,-1,0,1,-1,0,0,0,0,-1,1,-1,1,-1,0,-1,0,0,1,-1,0,1,0,-1,0,0,1,0,1,0,-1,-1,-1,0,1,-1,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,0,1,0,1,0,0,0,1,1,1,-1,1,1,1,0,1,1,0,1,1,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,0,0
João Leão,PL,BA,0,-1,1,-1,-1,-1,-1,0,0,1,0,1,-1,0,-1,1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,0,1,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,1,-1,1,-1,-1,1,0,-1,-1,0,1,1,0,1,1,1,1,0,1,-1,0,1,1,0,1,0,0,1,1,-1,0,0,1,-1,-1,1,1,1,1,1,1,1,0,1,1
Severiano Alves,PDT,BA,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,0,0,0,-1,1,0,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,-1,-1,1,0,0,0,1,1,-1,1,0,0
Luiz Alberto,PT,BA,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,1,0,0,-1,1,1,0,0,1,-1,1,0,1,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,0,-1,0,-1,-1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,0,-1,-1,0,0,0,0,1,1,1,1,-1,1,0,1
Walter Pinheiro,PT,BA,-1,-1,0,-1,-1,0,-1,0,0,1,-1,1,-1,-1,0,1,-1,1,0,0,1,0,-1,1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,0,1,-1,-1,1,-1,1,1,0,0,1,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,1,1,0,1,0,-1,1,1,1
Zezéu Ribeiro,PT,BA,-1,-1,1,0,-1,-1,-1,0,-1,0,-1,1,-1,-1,0,1,-1,1,-1,0,1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,0,1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
Luiz Bassuma,PT,BA,-1,0,0,0,-1,0,-1,-1,0,1,-1,1,0,-1,-1,0,-1,1,-1,0,0,-1,-1,1,-1,0,0,1,-1,0,-1,0,1,1,0,1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,-1,1,0,-1,0,0,0,1,1,0,0,0,1,1,0,-1,1,1,1,0,1,1,1,1,1,-1,0,0,0,-1,-1,0,1,1,0,1,1,1,1,1,1
Nelson Pellegrino,PT,BA,-1,0,1,0,0,0,-1,0,-1,1,-1,1,-1,-1,0,1,-1,1,-1,0,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,1,1,-1,1,-1,1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,0,-1,1,-1,-1,1,0,0,-1,-1,0,1,0,1,0,0,1,1,1,-1,0,1,1,0,0,0,0,1,1,-1,0,0,1,-1,-1,0,0,0,0,1,1,1,1,0,0
Coriolano Sales,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,0,0,1,1,1,1,1,0,-1,-1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,-1,-1,0,0
Geddel Vieira Lima,PMDB,BA,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1
Colbert Martins,PPS,BA,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,1,0,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,1,-1,1,0,0,0,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,-1,0,0,0,0,0,0,1,-1,1,-1,1,1,1,0,1,0,0,1,1,-1,0,-1,1,-1,1,1,0,-1,1,1,1,-1,1,0,1
José Carlos Araújo,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,-1,-1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,-1,0,1
Milton Barbosa,PFL,BA,0,0,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,1,0,1,1,-1,1,1,1,1,1,0,0,1,0,0,-1,1,1,1,1,1,1,1,-1,0,1
Jairo Carneiro,PFL,BA,0,0,0,0,0,0,1,0,-1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
Claudio Cajado,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
José Rocha,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,-1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
Antonio Carlos Magalhães Neto,PFL,BA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,0,1,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,0,0,1,1,0,1,-1,1,1,1,1,1,1,-1,0,1
João Carlos Bacelar,PFL,BA,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,-1,-1,1,0,1,0,0,0,0,0,0,1
Aroldo Cedraz,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,0,0,0,-1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1
José Carlos Aleluia,PFL,BA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,-1,0,1
Marcelo Guimarães Filho,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
Zelinda Novaes,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,-1,0,1
Fernando de Fabinho,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,-1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Gerson Gabrielli,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
Fábio Souto,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,0,0,1,1,0,1,1,0,1,-1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1
Robério Nunes,PFL,BA,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1
Luiz Carreira,PFL,BA,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,1,0,1,1,1,1,0,1,0,-1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1
Jutahy Junior,PSDB,BA,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1,0,-1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,-1,1,-1,0,1
