nome,partido,uf,MPV 225/2004,MPV 227/2004,MPV 228/2004,MPV 231/2004,MPV 232/2004,MPV 233/2004,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 242/2005,MPV 242/2005,MPV 242/2005,MPV 245/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 249/2005,MPV 249/2005,MPV 249/2005,MPV 250/2005,MPV 250/2005,MPV 250/2005,MPV 251/2005,MPV 252/2005,MPV 252/2005,MPV 252/2005,MPV 255/2005,MPV 256/2005,MPV 257/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 259/2005,MPV 259/2005,MPV 260/2005,MPV 264/2005,PDC 1274/2004,PDC 1274/2004,PDC 1353/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 7/2003,PEC 7/2003,PL 1144/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 3627/2004,PL 4559/2004,PL 4955/2005,PL 5524/2005,PL 5524/2005,PL 5524/2005,PLP 187/1997,PLP 244/2005,PRC 248/2005,PRC 248/2005,REQ 1452/2003
Inácio Arruda,PCdoB,CE,1,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,1,0,1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,1,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,1,1,0,0,1,-1,1,0,-1,1,1,1,1,0
Maninha,PT,DF,1,0,-1,0,0,0,1,1,-1,-1,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,-1,1,1,1,0,0,0,1,1,1,-1,-1,0,0,-1,0,0,0,0,0,1,1,0
Wasny de Roure,PT,DF,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,1,0,0,1,0,-1,0,-1,-1,-1,0,0,-1,-1,1,-1,0,0,-1,-1,1,-1,0,0,0,-1,1,1,-1,0,1,1,0,0,0,1,0,1,-1,-1,0,1,0,0,0,-1,0,1,1,1,0
Osório Adriano,PFL,DF,0,0,1,0,-1,0,0,0,0,0,1,-1,-1,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Tatico,PTB,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,-1,1,1,0,0,0
Carlos Manato,PDT,ES,1,0,-1,-1,-1,0,1,1,0,0,0,-1,0,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,1,1,1,-1,0,1,0,1,0,0,0,0,0,0,1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,0,0
Iriny Lopes,PT,ES,1,-1,-1,-1,0,0,0,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,1,0,-1,0,0,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,1,-1,-1,1,0,1,0,0,0,1,1,1,-1,-1,0,1,-1,0,-1,-1,1,1,1,1,0
Marcelino Fraga,PMDB,ES,1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,1,1,0,0,0,0,0,0,-1,-1,0,-1,-1,1,0,0,-1,0,-1,1,0,0,1,0,0,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,1,0,0,1,1,1,0,0
Renato Casagrande,PSB,ES,0,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,0,1,1,-1,1,1,-1,1,1,1,1,0
Neyde Aparecida,PT,GO,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,-1,1,1,1,1,0
Leandro Vilela,PMDB,GO,1,-1,-1,1,0,0,0,0,-1,0,-1,1,0,1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,0,1,0,1,1,0,0,0,0,0,-1,-1,0,0,-1,1,-1,-1,1,-1,-1,1,0,0,1,0,1,1,-1,-1,0,1,1,0,0,-1,1,0,1,1,1,1,1,-1,0,1,0,0,0,1,0,0
Vilmar Rocha,PFL,GO,0,1,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,1,1,-1,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Ronaldo Caiado,PFL,GO,0,0,1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0
Carlos Alberto Leréia,PSDB,GO,-1,1,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,1,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
João Campos,PSDB,GO,0,1,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,0,1,-1,1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,1,-1,0,1,0,1,1,0,0,-1,0,0,0,0,1,1,0,1,0,0,0,0,-1,0,1,1,-1,1,1,1,1,1,0,-1,0,-1,0,0,1,1,-1,-1,0,0,1,0,0,-1,0
Professora Raquel Teixeira,PSDB,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
Neiva Moreira,PDT,MA,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,1,1,-1,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,1,1,-1,1,1,-1,1,1,-1,0,0
Wagner Lago,PDT,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,-1,1,0,0,0,0
Terezinha Fernandes,PT,MA,1,0,0,-1,0,0,1,1,-1,-1,-1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,1,0,1,1,-1,-1,0,-1,-1,0,0,-1,-1,1,-1,-1,1,0,-1,0,-1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,-1,-1,1,1,-1,0,1,-1,1,1,1,1,0
Gastão Vieira,PMDB,MA,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,1,1,1,1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,0,1,1,1,-1,0
Nice Lobão,PFL,MA,-1,1,1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,1,-1,1,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,-1,-1,0,1,1,1,0,1,1,1,0,1,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,-1,0,0
Pedro Fernandes,PTB,MA,1,-1,-1,-1,0,0,1,1,-1,0,-1,1,0,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,1,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,0,0,1,0,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0
Clóvis Fecury,PFL,MA,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Sarney Filho,PV,MA,1,-1,0,-1,0,0,1,1,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,0,1,0,0,0,-1,0,1,0,0,1,-1,0,0,0,0,0,0,-1,0,0,1,1,-1,-1,1,1,-1,0,1,0,0,0,0,0,-1,1,0,0,0,0,-1,1,1,-1,-1,1,0,-1,0,1,0,0,0,0,0,0
Ribamar Alves,PSB,MA,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,0,0,-1,1,-1,-1,1,1,0,0,0
Sebastião Madeira,PSDB,MA,-1,1,1,1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,1,1,0,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,0,1,0,1,1,0,0,0
João Castelo,PSDB,MA,-1,1,1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0
Edmar Moreira,PL,MG,1,1,0,0,0,0,1,1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,-1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Maria do Carmo Lara,PT,MG,0,-1,0,-1,0,0,1,1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,0,0,1,1,1,1,0
Ivo José,PT,MG,1,-1,-1,-1,0,0,0,0,-1,-1,-1,1,0,1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,0,1,0,-1,0,-1,0,-1,0,0,-1,1,-1,0,0,-1,-1,1,0,1,1,0,-1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,-1,1,1,-1,0,1,1,1,0
Odair Cunha,PT,MG,1,0,-1,-1,0,0,0,1,-1,-1,-1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,1,0,0,1,1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,1,-1,1,1,0,0,1,-1,0,-1,1,1,1,1,0,1,1,-1,1,-1,1,1,-1,0,1,-1,1,1,1,0,0
João Magno,PT,MG,1,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,1,-1,1,1,0,-1,1,-1,-1,0,0,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0
Virgílio Guimarães,PT,MG,0,-1,0,-1,0,0,0,1,0,-1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,-1,0,-1,-1,0,-1,-1,1,-1,0,1,-1,-1,1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,0,1,1,1,1,0
Reginaldo Lopes,PT,MG,1,0,0,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,0,1,0,-1,0,-1,0,0,0,0,-1,1,0,0,-1,-1,-1,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,0,1,-1,0,0,1,1,0
Paulo Delgado,PT,MG,1,0,-1,-1,0,0,1,1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,-1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,0,0,1,1,1,1,0
Gilmar Machado,PT,MG,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,1,0,1,1,-1,0,-1,-1,-1,0,0,-1,-1,1,-1,0,-1,0,-1,1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,-1,-1,0,0,0,1,1,-1,1,-1,-1,1,1,1,1,0
Leonardo Monteiro,PT,MG,1,-1,-1,0,0,0,0,1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,1,0,1,1,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,0,1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,0,0
César Medeiros,PT,MG,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,0,-1,1,-1,-1,-1,1,1,0,0,0,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,1,1,0
Romeu Queiroz,PTB,MG,1,-1,-1,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,0,0,-1,0,1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,1,-1,-1,0,0,1,1,1,-1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0
José Militão,PTB,MG,1,1,-1,0,0,0,1,0,0,0,0,1,0,1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,1,1,0,0,1,-1,0,1,-1,-1,0,0,-1,-1,1,-1,-1,0,0,0,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,-1,1,1,1,1,0
Marcello Siqueira,PMDB,MG,0,-1,0,-1,0,0,0,1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,0,0,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,0,0,1,1,1,1,0
Fernando Diniz,PMDB,MG,0,-1,-1,-1,-1,0,0,1,0,0,-1,1,0,1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,0,0,1,1,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,1,0,-1,0,-1,0,0,0,-1,1,-1,-1,1,1,1,1,0,0,1,1,1,1,0,0,1,-1,1,1,0,0,0,1,0,0
Silas Brasileiro,PMDB,MG,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Saraiva Felipe,PMDB,MG,1,-1,-1,0,-1,0,0,1,0,-1,0,0,0,1,0,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
Lincoln Portela,PL,MG,1,1,-1,0,0,0,1,1,-1,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,0,1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,0,1,-1,1,1,-1,1,1,1,1,0
João Paulo Gomes da Silva,PL,MG,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,-1,1,1,1,0,0,-1,1,1,1,1,1,0,0,-1,0,0,0,0,0,1,1,0
Carlos Mota,PL,MG,1,-1,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,-1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0
Mário Assad Júnior,PL,MG,1,1,-1,0,0,0,0,1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,0,1,1,1,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,1,1,0
Júlio Delgado,PPS,MG,1,-1,-1,-1,0,0,1,1,0,0,-1,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Geraldo Thadeu,PPS,MG,1,0,-1,-1,-1,0,-1,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,-1,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,0,0
Lael Varella,PFL,MG,0,-1,0,0,0,0,1,-1,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,1,1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,-1,1,-1,-1,0,0,0,0,-1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
Jaime Martins,PL,MG,1,1,0,0,0,0,0,0,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,0,0,-1,0,-1,-1,1,-1,0,-1,-1,0,0,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,-1,1,0,-1,0,1,1,1,0
Isaias Silvestre,PSB,MG,1,-1,-1,-1,0,0,0,0,-1,-1,0,1,0,1,0,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,0,-1,-1,-1,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,1,-1,0,-1,-1,0,1,-1,1,1,0,1,1,-1,-1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,0,-1,0,1,-1,0,0,1,1,0
Leonardo Mattos,PV,MG,0,-1,-1,0,0,0,1,1,0,0,0,-1,-1,0,0,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,1,1,1,1,1,0,1,1,1,-1,0,0,0,0,1,0,0,0,1,-1,0,0
Narcio Rodrigues,PSDB,MG,-1,1,0,1,-1,0,1,-1,0,0,0,-1,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,-1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
Eduardo Barbosa,PSDB,MG,-1,1,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,1,1,-1,-1,1,1,-1,1,1,1,0,0,0,1,1,1,1,1,0,1,-1,0,1,0,0,0,0,0,0
Vittorio Medioli,PSDB,MG,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Custódio Mattos,PSDB,MG,-1,1,1,0,-1,1,-1,-1,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,1,1,1,-1,0,1,0,0,0,0,0,-1,0,0,1,0,1,1,-1,1,-1,0,1,1,-1,0,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,-1,0,0
Rafael Guerra,PSDB,MG,-1,0,0,1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,1,0,1,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,-1,0,1,1,0,0,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,0,0,0,0,1,0,0,0
Sérgio Miranda,PCdoB,MG,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,-1,-1,1,1,0,0,-1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,1,1,0
João Grandão,PT,MS,0,-1,-1,0,0,0,1,0,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,1,-1,0,0,-1,-1,0,0,-1,-1,1,-1,0,-1,0,-1,1,0,1,1,0,0,0,-1,-1,1,1,1,1,1,0,0,0,1,-1,-1,0,0,0,1,1,-1,0,1,1,1,0
Biffi,PT,MS,1,-1,-1,0,0,0,1,0,-1,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,1,1,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,1,-1,0,-1,0,0,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,1,0
Vander Loubet,PT,MS,1,-1,0,0,0,0,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,1,1,-1,0,-1,0,-1,0,0,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,0,1,0,0,0,-1,1,1,1,1,0,1,1,1,1,1,1,0,-1,0,0,0,1,1,1,1,0
Nelson Trad,PMDB,MS,1,-1,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,-1,0,-1,-1,-1,0,1,0,1,1,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,1,1,0,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,1,1,1,0
Waldemir Moka,PMDB,MS,1,1,0,1,-1,0,1,1,0,-1,-1,-1,0,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,1,1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,1,-1,-1,0,0,1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,1,-1,1,1,-1,1,0,0,0,0
Geraldo Resende,PPS,MS,0,0,-1,-1,-1,1,1,1,0,0,0,-1,-1,-1,0,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,1,-1,-1,1,1,-1,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,0
