nome,partido,uf,MPV 225/2004,MPV 227/2004,MPV 228/2004,MPV 231/2004,MPV 232/2004,MPV 233/2004,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 241/2005,MPV 242/2005,MPV 242/2005,MPV 242/2005,MPV 245/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 248/2005,MPV 249/2005,MPV 249/2005,MPV 249/2005,MPV 250/2005,MPV 250/2005,MPV 250/2005,MPV 251/2005,MPV 252/2005,MPV 252/2005,MPV 252/2005,MPV 255/2005,MPV 256/2005,MPV 257/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 258/2005,MPV 259/2005,MPV 259/2005,MPV 260/2005,MPV 264/2005,PDC 1274/2004,PDC 1274/2004,PDC 1353/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 227/2004,PEC 7/2003,PEC 7/2003,PL 1144/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 2401/2003,PL 3627/2004,PL 4559/2004,PL 4955/2005,PL 5524/2005,PL 5524/2005,PL 5524/2005,PLP 187/1997,PLP 244/2005,PRC 248/2005,PRC 248/2005,REQ 1452/2003
José Carlos Araújo,PFL,BA,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Milton Barbosa,PFL,BA,-1,1,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,1,1,1,0,0,-1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0
Jairo Carneiro,PFL,BA,-1,1,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,1,1,0,-1,0
Claudio Cajado,PFL,BA,-1,0,1,1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,1,-1,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,1,1,-1,0,1,1,-1,1,1,1,1,0,-1,0,0,0,0,0,0,1,1,1,1,-1,1,1,0,0,0
José Rocha,PFL,BA,-1,0,1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0,0,0,1,0,-1,0,0,0,1,1,-1,1,1,1,1,1,0,0,1,1,1,-1,1,1,-1,0,0
Antonio Carlos Magalhães Neto,PFL,BA,-1,1,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,1,-1,1,1,1,-1,0,1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,0,0
João Carlos Bacelar,PFL,BA,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Aroldo Cedraz,PFL,BA,-1,1,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0
José Carlos Aleluia,PFL,BA,-1,1,1,1,0,0,-1,-1,0,0,0,-1,-1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,1,-1,0,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0
Marcelo Guimarães Filho,PFL,BA,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,-1,-1,0,0,0,0,0
