nome,partido,uf,MPV 7/2001,MPV 7/2001,MSC 527/2001,PDC 381/1999,PEC 203/1995,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 222/2000,PEC 277/2000,PEC 277/2000,PEC 289/2000,PEC 308/1996,PEC 308/1996,PEC 308/1996,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 472/1997,PEC 610/1998,PEC 610/1998,PEC 610/1998,PEC 610/1998,PL 1733/1996,PL 2155/1999,PL 3115/1997,PL 3242/2000,PL 3267/2000,PL 3524/2000,PL 3639/2000,PL 3657/1989,PL 3755/2000,PL 3998/2001,PL 4143/2001,PL 4177/2001,PL 4177/2001,PL 4210/2001,PL 5470/2001,PL 5470/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PL 5483/2001,PLP 10/1999,PLP 10/1999,PLP 10/1999,PLP 116/2000,PLP 116/2000,PLP 155/2000,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 177/2001,PLP 183/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 195/2001,PLP 23/1999,PLP 242/1998,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 8/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PLP 9/1999,PRC 106/1992,PRC 106/1992,PRC 106/1992,PRC 176/2001,REC 113/2000,REC 144/2001,REC 52/1999
Jonival Lucas Junior,PMDB,BA,0,-1,1,1,1,1,0,-1,-1,1,0,1,1,1,1,0,-1,1,1,0,0,1,1,1,0,0,1,1,1,1,-1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,0,1,-1,-1,-1,-1,0,-1,1,0,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,1,0,1,1,-1,1,-1,0,0,1,0,0,0,-1,1,-1,1,1,0,0
Geddel Vieira Lima,PMDB,BA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,1,0,0,0,1,-1,-1,-1,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,-1,0,0,1,1,0,0,-1,0,0,1,0,0,0
Pedro Irujo,PFL,BA,0,-1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,-1,1,1,-1,0,0,0,1,-1,1,1,1,0,1,1,1,0,-1,-1,-1,1,-1,1,-1,0,-1,1,0,-1,1,1,1,1,1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,1,1,0,0,0,-1,0,-1,1,0,0,0
Milton Barbosa,PFL,BA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,-1,0,-1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,0,0,0,0,1,-1,0,0,0,0
Jairo Carneiro,PFL,BA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,-1,1,1,0,0,0
Claudio Cajado,PFL,BA,0,0,0,1,0,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,0,0,0,1,1,-1,1,0,1,1,0,0,1,1,-1,-1,-1,1,-1,0,-1,1,0,1,0,-1,1,1,1,1,1,-1,0,1,1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,1,1,1,1,1,-1,1,1,1,0,1,0,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,0,0,0
José Rocha,PFL,BA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,0,1,0,1,1,1,0,1,1,-1,-1,-1,1,-1,1,-1,0,0,0,0,-1,1,1,1,1,1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,0,0,0,0
João Carlos Bacelar,PFL,BA,0,-1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,-1,1,1,1,1,-1,1,0,0,1,1,0,0,1,0,0,-1,1,-1,1,-1,0,1,1,0,-1,1,1,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,0,1,-1,0,0,0,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,0,0,0
José Carlos Aleluia,PFL,BA,0,-1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,1,-1,1,-1,-1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,0,0,-1,-1,-1,1,-1,-1,1,0,-1,0,1,0,0,1,1,1,-1,1,1,1,0,1,0,-1,1,-1,0,0,1,1,-1,0,0,1,-1,1,-1,0,0
Gerson Gabrielli,PFL,BA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,0,1,0,1,-1,0,0,-1,1,1,0,1,-1,1,0,0,1,0,1,1,1,0,0,-1,0,-1,1,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,-1,-1,-1,0,-1,1,0,0,1,-1,-1,0,0,0,1,1,1,0,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,0,0,0
Jutahy Junior,PSDB,BA,0,-1,1,1,1,1,-1,-1,0,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,0,0,1,1,1,1,-1,1,1,1,0,1,1,0,1,-1,0,0,1,1,-1,0,-1,1,-1,1,-1,0,0
João Almeida,PSDB,BA,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,0,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,-1,1,-1,0,-1,-1,1,1,0,-1,1,1,1,1,1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,0,1,-1,0,0,1,1,-1,0,0,0,-1,1,-1,0,0
José Linhares,PPB,CE,0,-1,1,1,1,1,0,-1,-1,1,0,0,1,1,1,1,-1,1,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,0,-1,1,1,0,0
José Pimentel,PT,CE,0,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,1,-1,1,0,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,-1,0,-1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,0,1,1,-1,0,0
Aníbal Gomes,PMDB,CE,0,-1,1,1,0,1,-1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,-1,1,0,1,1,0,0,1,0,0,-1,-1,1,-1,1,0,1,0,0,0,0,-1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,1,1,1,1,1,-1,1,1,1,0,1,1,0,1,-1,0,0,1,1,0,0,-1,1,0,1,0,0,0
Marcelo Teixeira,PMDB,CE,0,-1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,0,0,1,0,1,0,1,1,1,-1,1,1,0,0,-1,1,-1,1,-1,1,1,0,-1,-1,-1,0,1,1,1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,0,1,1,-1,0,-1,0,0,1,0,0,0,0,0,-1,1,-1,0,0
Moroni Torgan,PFL,CE,0,-1,1,0,1,0,0,0,0,0,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,0,1,0,1,-1,1,1,0,-1,1,-1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,1,-1,1,1,-1,0,-1
Roberto Pessoa,PFL,CE,0,-1,0,0,1,-1,-1,-1,-1,-1,0,-1,0,1,1,1,-1,0,-1,-1,1,0,0,1,0,0,0,0,1,1,0,1,1,-1,-1,-1,0,-1,1,0,1,0,0,-1,1,-1,-1,1,1,-1,0,0,1,1,0,-1,-1,-1,0,-1,0,1,0,0,-1,1,-1,-1,1,1,1,1,1,0,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,1,0,0,0,0
Leo Alcântara,PSDB,CE,0,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,0,0,1,1,-1,1,1,1,1,-1,1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,-1,0,0
Antonio Cambraia,PSDB,CE,0,0,1,1,0,1,-1,-1,-1,1,0,0,1,1,1,1,-1,0,1,-1,1,1,1,0,0,0,1,1,1,0,1,1,1,-1,-1,-1,1,-1,0,-1,1,0,0,0,0,0,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,0,-1,0,-1,1,-1,1,-1,0,-1
Rommel Feijó,PSDB,CE,0,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,0,0,1,-1,0,1,-1,1,1,0,1,-1,1,1,1,1,1,1,0,1,-1,-1,-1,0,-1,0,-1,1,0,1,0,-1,1,1,1,1,1,-1,1,0,1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,-1,0,0,0,0,1,1,0,0,0,1,-1,0,-1,0,0
Manoel Salviano,PSDB,CE,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,-1,0,0,1,0,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,0,0,1,1,0,1,-1,1,1,1,0,1,1,-1,1,0,0,0,1,1,-1,0,-1,1,0,1,-1,0,0
Vicente Arruda,PSDB,CE,0,-1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,-1,1,1,0,1,-1,1,1,0,1,1,1,0,1,-1,-1,-1,1,-1,1,-1,1,1,0,0,0,1,1,1,1,1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,1,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,1,1,-1,1,0,0,0
Inácio Arruda,PCdoB,CE,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,0,-1,0,0
Alberto Fraga,PMDB,DF,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,0,1,1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,1,0,1,1,-1,1,0,1,0,1,0,0,0,0,0,0,1,1,-1,0,0,0,-1,1,1,0,0
Osório Adriano,PFL,DF,0,-1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,1,0,1,0,0,0
Nilton Baiano,PPB,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
José Carlos Elias,PTB,ES,0,-1,1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,0,1,-1,1,-1,0,1,0,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,1,0,-1,1,-1,1,-1,0,0,1,0,-1,0,-1,1,-1,1,-1,0,0
Rose de Freitas,PSDB,ES,0,-1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,-1,1,0,0,1,1,0,1,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,1,1,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,0,0,0
Vilmar Rocha,PFL,GO,0,0,1,1,1,0,-1,0,0,1,1,1,0,1,1,1,-1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,-1,-1,-1,1,-1,1,0,1,0,1,0,-1,1,1,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,0,0,1,1,1,0,1,-1,1,0,0,0,1,-1,-1,1,-1,0,0,1,0,-1,0,0,1,0,1,1,0,0
Ronaldo Caiado,PFL,GO,0,-1,1,0,1,1,-1,0,-1,1,0,0,1,1,1,1,-1,0,0,-1,1,1,1,1,0,0,0,1,1,1,1,0,1,-1,-1,-1,0,-1,1,0,1,1,1,0,-1,1,1,0,1,1,-1,1,0,1,0,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,-1,0,0,1,0,0,0,-1,0,-1,1,1,0,0
Jovair Arantes,PSDB,GO,0,-1,1,1,1,1,0,-1,0,1,1,1,0,1,1,1,-1,1,0,0,0,1,1,1,-1,0,0,1,1,0,0,0,1,-1,0,-1,1,0,1,0,1,0,1,0,-1,1,1,1,1,1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,0,1,1,0,0,-1,1,1,1,0,0,-1,-1,1,0,-1,0,0,1,-1,0,0,0,-1,0,-1,0,0
Neiva Moreira,PDT,MA,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,0,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,0,0
Gastão Vieira,PMDB,MA,0,-1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,-1,-1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,0,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,1,1,1,0,1,1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,-1,1,-1,0,0,1,1,-1,0,1,-1,1,1,0,0,0
Nice Lobão,PFL,MA,0,-1,1,1,1,1,-1,-1,-1,1,0,0,1,1,1,0,0,1,0,-1,1,1,1,1,0,1,0,-1,1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,1,0,0,-1,-1,0,0,0,-1,1,0,1,0,-1,-1,0,0,0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-1,0,0,0,0
Sebastião Madeira,PSDB,MA,0,-1,1,1,1,1,-1,0,0,1,0,0,1,1,0,1,-1,0,1,-1,1,1,1,1,-1,1,1,1,1,0,0,0,1,-1,0,-1,1,-1,1,-1,0,0,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,0,0,-1,-1,1,0,-1,1,0,0,1,0,0,1,0,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,0,1,0,0,-1,1,-1,0,0,0,0
João Castelo,PSDB,MA,0,-1,0,1,1,1,-1,0,0,1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,0,-1,0,1,-1,1,-1,0,1,1,0,-1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,0,0,0,1,0,1,1,-1,1,0,1,0,1,0,-1,1,-1,0,0,1,1,-1,0,0,0,-1,1,1,0,0
Herculano Anghinetti,PPB,MG,0,-1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,-1,0,0,0,0,1,1,1,-1,1,0,1,1,0,0,0,1,-1,-1,-1,0,-1,0,0,0,1,0,0,-1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,-1,0,0,0,1,-1,0,-1,-1,-1,0,1,0,0
Ibrahim Abi-Ackel,PPB,MG,0,-1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,0,0,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,-1,1,0,1,0,1,1,-1,1,-1,0,0,1,1,-1,0,-1,1,-1,1,1,0,0
Márcio Reinaldo Moreira,PPB,MG,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,0,0,0,1,-1,0,-1,1,-1,0,1,0,0
Maria do Carmo Lara,PT,MG,0,1,1,-1,1,1,-1,-1,0,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,-1,1,1,-1,1,1,-1,1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,0,0,1,-1,0,0
