nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
João Henrique,PMDB,PI,0,1,-1,-1,1,0,0,1,-1,0,1,0,0,1,1,0
Laíre Rosado,PMDB,RN,1,1,0,-1,1,0,0,1,-1,0,1,0,0,0,0,0
Efraim Morais,PFL,PB,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,1,0
Haroldo Lima,PCdoB,BA,-1,1,1,-1,0,1,0,1,-1,0,0,1,-1,1,-1,0
Jaques Wagner,PT,BA,-1,1,0,-1,-1,0,1,1,0,0,0,1,0,0,0,0
Jorge Khoury,PFL,BA,0,1,0,-1,0,0,1,0,0,1,1,0,0,1,1,1
Luiz Moreira,PFL,BA,1,1,0,-1,0,-1,1,1,0,1,1,-1,0,1,1,1
Aécio Neves,PSDB,MG,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Nilmário Miranda,PT,MG,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1
Tilden Santiago,PT,MG,0,1,1,-1,0,0,0,1,-1,0,-1,1,0,0,0,0
Rita Camata,PMDB,ES,1,1,-1,-1,1,0,1,0,0,0,1,-1,0,1,1,0
Aldir Cabral,PFL,RJ,1,1,-1,-1,1,0,0,1,0,0,0,1,0,0,0,0
Arolde de Oliveira,PFL,RJ,1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1
Miro Teixeira,PDT,RJ,0,-1,1,-1,1,1,1,0,-1,1,0,1,0,0,0,0
Rubem Medina,PFL,RJ,0,0,0,-1,0,-1,0,1,1,0,0,1,1,0,0,0
Jorge Tadeu Mudalen,PMDB,SP,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
José Aníbal,PSDB,SP,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1
José Genoíno,PT,SP,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,0,0,0,0
Marcelo Barbieri,PMDB,SP,0,0,0,-1,1,1,1,0,-1,0,0,0,1,0,1,0
Luciano Pizzatto,PFL,PR,1,1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0
Werner Wanderer,PFL,PR,0,1,-1,0,0,0,0,1,0,1,0,-1,0,0,0,1
Germano Rigotto,PMDB,RS,1,1,-1,0,1,1,0,1,0,1,1,1,1,0,1,1
Paulo Paim,PT,RS,-1,1,1,-1,1,0,1,1,-1,0,-1,1,-1,0,0,1
Fioravante,PT,RS,-1,0,1,0,-1,0,0,0,-1,0,0,1,0,0,0,0
Marcos Lima,PMDB,MG,1,1,-1,-1,1,1,1,1,0,1,1,-1,1,0,0,0
Saulo Coelho,PSDB,MG,-1,0,1,-1,-1,0,1,1,0,0,1,1,0,-1,1,0
Wagner Rossi,PMDB,SP,1,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
