nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
José Thomaz Nonô,PMDB,AL,1,0,0,0,1,0,1,0,-1,0,1,-1,1,1,0,0
Wanda Reis,PMDB,RJ,0,1,0,-1,0,0,1,1,0,0,1,0,0,0,0,0
Euclydes Mello,PRN,SP,0,0,-1,0,1,0,1,1,0,0,-1,-1,1,0,0,1
Florestan Fernandes,PT,SP,-1,0,1,-1,0,1,1,1,0,0,-1,0,0,0,0,1
Heitor Franco,PPR,SP,1,0,-1,0,1,-1,0,1,-1,0,1,0,1,-1,1,0
Cardoso Alves,PTB,SP,0,0,-1,0,1,-1,1,1,-1,0,0,-1,0,0,0,0
Robson Tuma,PL,SP,0,1,-1,-1,0,1,-1,0,0,0,0,1,1,-1,1,-1
Lázaro Barbosa,PMDB,GO,1,1,0,0,1,0,0,1,-1,0,0,-1,0,1,1,0
Waldir Guerra,PFL,MS,1,1,-1,-1,-1,0,0,1,1,0,0,0,0,0,0,0
Edésio Passos,PT,PR,-1,1,1,-1,-1,0,0,1,-1,0,-1,1,0,0,0,1
Max Rosenmann,PDT,PR,0,1,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0
João Fagundes,PMDB,RR,1,0,-1,-1,0,0,0,0,-1,0,1,0,0,1,0,0
Marcelo Luz,PP,RR,1,0,-1,0,1,1,0,0,0,0,1,-1,1,0,0,1
Ruben Bento,PFL,RR,1,1,0,-1,0,1,1,0,0,0,1,1,1,-1,0,1
Gilvan Borges,PMDB,AP,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0
Domingos Juvenil,PMDB,PA,1,1,-1,0,1,-1,1,0,-1,0,1,-1,1,1,0,0
Gerson Peres,PPR,PA,1,1,-1,0,1,0,1,1,-1,0,1,-1,1,1,0,1
Osvaldo Melo,PPR,PA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ézio Ferreira,PFL,AM,1,1,0,0,0,0,1,1,0,0,1,-1,0,1,1,0
Reditário Cassol,PP,RO,1,0,0,-1,1,0,1,1,0,0,1,0,1,0,0,1
Adelaide Neri,PMDB,AC,0,0,0,-1,1,0,1,0,-1,0,0,0,0,1,0,0
Mauri Sergio,PMDB,AC,0,0,-1,0,1,0,0,0,-1,0,1,0,0,1,1,0
Daniel Silva,PPR,MA,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1
Eduardo Matias,PP,MA,0,0,0,0,0,0,1,1,0,1,1,-1,1,0,1,1
Nan Souza,PP,MA,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,1,1,0
José Reinaldo,PFL,MA,1,1,-1,0,1,0,0,1,-1,0,0,0,0,1,0,0
Carlos Benevides,PMDB,CE,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0
Carlos Virgílio,PPR,CE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jesus Tajra,PFL,PI,1,1,-1,1,0,0,1,1,0,0,0,1,1,1,1,0
José Luiz Maia,PPR,PI,0,1,-1,1,0,0,0,1,0,0,1,-1,1,1,1,0
João Faustino,PSDB,RN,0,0,0,-1,-1,0,0,0,-1,-1,1,0,1,0,0,1
Evaldo Gonçalves,PFL,PB,0,0,-1,0,0,0,1,1,0,0,0,1,1,0,1,0
Zuca Moreira,PMDB,PB,1,1,-1,-1,1,0,1,1,-1,0,1,-1,0,0,0,0
José Carlos Vasconcellos,PRN,PE,0,0,0,0,0,0,1,1,-1,0,1,0,0,1,1,0
Salatiel Carvalho,PP,PE,0,1,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0
Mendonça Neto,PDT,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benedito de Figueiredo,PDT,SE,0,0,1,-1,1,0,1,0,-1,1,1,0,-1,0,1,0
Jerônimo Reis,PMN,SE,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Cleonâncio Fonseca,PPR,SE,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
Evaraldo de Oliveira,PFL,SE,1,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,1
Messias Gois,PFL,SE,0,1,0,-1,-1,0,1,1,1,0,1,-1,1,1,1,0
Beraldo Boaventura,PSDB,BA,0,1,0,-1,-1,1,1,0,-1,0,1,-1,1,-1,0,1
Clóvis Assis,PSDB,BA,1,0,1,-1,0,0,1,1,0,0,1,-1,1,-1,0,-1
Jonival Lucas,PFL,BA,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0
José Lourenço,PPR,BA,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Prisco Viana,PPR,BA,0,1,1,1,0,-1,1,0,-1,0,1,-1,1,1,1,0
Marcos Medrado,PP,BA,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,-1
Sérgio Gaudenzi,PSDB,BA,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,0,0,1,1
Aloisio Vasconcelos,PMDB,MG,0,1,-1,0,0,0,1,0,-1,0,1,0,0,0,0,0
Avelino Costa,PPR,MG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Humberto Souto,PFL,MG,0,1,-1,-1,0,0,0,1,1,1,0,1,1,1,0,-1
Irani Barbosa,PSD,MG,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
José Geraldo,PMDB,MG,0,1,0,-1,0,-1,1,0,0,0,1,0,0,0,0,0
Tarcísio Delgado,PMDB,MG,1,0,-1,0,1,1,1,0,-1,1,0,-1,0,1,1,0
Samir Tannus,PPR,MG,1,1,0,0,1,0,1,0,-1,0,1,0,0,1,1,0
Wilson Cunha,PTB,MG,1,0,0,0,1,0,1,0,-1,0,0,0,1,-1,0,0
Etevalda Grassi de Menezes,PTB,ES,1,1,-1,-1,1,0,1,1,-1,0,1,-1,1,1,1,0
Jones Santos Neves,PL,ES,0,0,0,0,0,0,0,1,-1,0,1,1,0,-1,1,-1
Nilton Baiano,PMDB,ES,1,0,-1,-1,0,0,0,1,0,0,1,-1,0,1,1,0
Carlos Lupi,PDT,RJ,1,-1,1,-1,1,1,-1,-1,-1,0,1,1,0,0,0,1
Fábio Raunheitti,PTB,RJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amaral Netto,PPR,RJ,1,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0
Jair Bolsonaro,PPR,RJ,1,-1,-1,1,1,0,1,1,-1,1,0,-1,0,-1,0,1
José Vicente Brizola,PDT,RJ,0,0,1,0,0,0,-1,-1,0,0,1,0,0,0,0,0
Nelson Bornier,PL,RJ,-1,0,0,-1,-1,0,0,1,0,0,1,0,0,-1,0,-1
Laprovita Vieira,PP,RJ,0,0,-1,0,1,0,1,1,0,0,0,0,0,0,1,0
Francisco Silva,PP,RJ,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,0
Paulo de Almeida,PSD,RJ,0,0,0,0,0,-1,0,1,-1,0,0,1,1,0,0,0
Paulo Portugal,PP,RJ,1,0,0,0,0,0,-1,0,0,0,0,-1,1,1,1,0
Regina Gordilho,PRONA,RJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alberto Haddad,PP,SP,1,1,-1,-1,0,0,0,1,0,0,1,0,1,0,0,0
Ernesto Gradella,PSTU,SP,0,-1,1,-1,-1,0,-1,0,-1,-1,-1,1,0,0,0,-1
Fausto Rocha,PL,SP,1,-1,-1,-1,0,0,0,1,0,0,0,0,0,-1,0,0
Liberato Caboclo,PDT,SP,1,1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,1
José Maria Eymael,PPR,SP,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Luiz Carlos Santos,PMDB,SP,0,0,0,-1,0,0,1,0,0,0,0,1,0,1,1,0
Maurici Mariano,PMDB,SP,1,0,-1,-1,0,1,1,1,0,0,0,0,0,1,0,1
Beto Mansur,PPR,SP,1,1,0,1,1,-1,0,1,-1,1,0,1,0,0,1,0
Tadashi Kuriki,PPR,SP,1,1,0,1,1,-1,1,1,-1,1,0,-1,0,0,1,0
Augustinho Freitas,PP,MT,0,0,0,0,0,0,-1,1,0,1,0,-1,1,0,1,1
Sigmaringa Seixas,PSDB,DF,-1,0,1,-1,0,1,1,1,0,0,1,1,0,0,0,1
Délio Braz,PFL,GO,0,0,-1,0,0,0,0,0,0,0,-1,0,1,-1,-1,0
Haley Margon,PMDB,GO,0,0,0,0,1,0,1,1,-1,0,1,0,0,1,1,0
Paulo Mandarino,PPR,GO,1,1,-1,0,1,0,1,0,0,0,1,-1,1,0,0,0
Pedro Abrão,PTB,GO,0,0,0,-1,0,1,0,0,0,1,0,0,1,1,1,0
Elisio Curvo,PTB,MS,1,0,-1,0,0,0,0,1,0,1,0,0,1,0,1,-1
George Takimoto,PFL,MS,0,0,0,1,0,0,1,1,1,0,1,0,0,-1,-1,0
José Elias,PTB,MS,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Marilu Guimarães,PFL,MS,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1
Antônio Barbara,PMDB,PR,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,0,0,1
Basílio Villani,PPR,PR,0,0,0,1,1,0,0,0,-1,0,0,-1,1,-1,0,0
Pinga Fogo de Oliveira,PDT,PR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Roberto Massa,PTB,PR,0,1,0,-1,1,-1,0,1,0,0,1,0,0,0,0,0
Carlos Scarpelini,PP,PR,1,0,-1,-1,1,1,0,1,0,1,1,-1,1,0,0,0
Delcino Tavares,PP,PR,1,0,0,0,0,1,0,1,0,0,1,-1,1,0,-1,0
Edi Siliprandi,PSD,PR,1,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,1
Joni Varisco,PMDB,PR,1,1,-1,0,1,1,1,1,0,0,0,0,1,0,1,0
Luiz Carlos Hauly,PP,PR,1,1,0,-1,0,0,-1,0,1,1,1,-1,1,1,0,-1
Mathues Iensen,PSD,PR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otto Cunha,PPR,PR,1,1,0,0,1,0,1,0,0,1,0,-1,1,-1,1,0
Reinhold Stephanes,PFL,PR,1,1,0,1,0,0,1,1,-1,0,0,-1,1,0,1,0
Renato Johnsson,PP,PR,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
Hugo Biehl,PPR,SC,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Paulo Duarte,PPR,SC,1,0,0,1,1,0,0,1,-1,0,0,0,1,-1,1,1
Ruberval Pilotto,PPR,SC,0,0,0,0,0,-1,1,1,0,0,1,0,0,0,0,1
Fetter Junior,PPR,RS,1,1,-1,1,0,-1,0,0,1,0,1,-1,0,-1,-1,1
Adylson Motta,PPR,RS,0,0,-1,1,0,-1,0,1,-1,1,1,0,1,0,0,0
Amaury Muller,PDT,RS,0,0,1,0,1,1,0,0,-1,0,1,1,1,0,0,0
Arno Magarinos,PPR,RS,0,1,-1,-1,0,0,1,0,0,0,1,-1,1,0,0,1
Eden Pedroso,PT,RS,0,0,1,-1,-1,1,0,1,-1,0,-1,1,0,0,0,1
João de Deus Antunes,PPR,RS,0,0,0,0,1,0,0,1,-1,0,1,-1,1,1,0,0
Luis Roberto Ponte,PMDB,RS,1,1,-1,-1,0,0,1,1,0,0,1,-1,0,1,1,0
Nelson Jobim,PMDB,RS,0,0,-1,-1,0,0,0,0,1,0,1,1,1,1,0,0
Osvaldo Bender,PPR,RS,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Felipe Mendes,PPR,PI,1,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0
José Felinto,PP,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laerte Bastos,PSDB,RJ,-1,1,0,-1,-1,0,0,1,1,0,0,1,0,0,0,0
Orlando Pacheco,PSD,SC,0,1,-1,1,1,-1,0,0,0,0,0,0,1,1,0,0
José Ulisses de Oliveira,PTB,MG,1,0,-1,-1,0,0,1,1,-1,0,1,-1,0,0,0,1
Eduardo Mascarenhas,PSDB,RJ,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
Hilário Braun,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Paulo Novaes,PMDB,SP,1,1,0,-1,0,0,1,0,0,0,1,-1,0,1,1,0
Luciano Castro,PPR,RR,1,1,0,0,0,0,1,0,-1,1,0,0,0,-1,0,0
Deni Schwartz,PSDB,PR,-1,1,1,0,0,1,1,1,1,-1,1,-1,0,0,1,0
Luiz Máximo,PSDB,SP,-1,1,1,-1,-1,0,1,1,0,0,1,1,0,-1,1,1
José Abrão,PSDB,SP,0,1,1,-1,-1,-1,1,1,1,-1,1,1,0,-1,1,1
Helvécio Castello,PT,ES,-1,1,1,0,-1,0,1,1,0,-1,-1,1,0,0,0,1
Armando Pinheiro,PPR,SP,1,1,0,0,1,0,0,1,0,0,1,-1,0,0,0,0
Chafic Farhat,PPR,SP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Armando Viola,PMDB,ES,1,1,-1,-1,1,0,1,1,-1,0,0,-1,0,1,0,1
Ricardo Correa,PL,MT,1,0,0,0,0,-1,0,1,1,0,1,0,0,0,0,1
Iberê Ferreira,PFL,RN,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0
Pedro Corrêa,PFL,PE,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
José Jorge,PFL,PE,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
José Rezende,PTB,MG,0,1,-1,-1,0,0,0,0,0,1,0,0,1,1,1,0
Bonifácio de Andrada,PTB,MG,0,1,-1,-1,0,0,0,0,0,1,0,-1,-1,1,1,0
Ibrahim Abi-Ackel,PPR,MG,1,1,-1,0,1,-1,1,0,-1,1,1,-1,0,0,0,1
Roberto Brant,PTB,MG,0,1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
Marcia Cibilis Viana,PDT,RJ,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0
Alberto Goldman,PMDB,SP,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Arnaldo Faria de Sá,PPR,SP,0,0,-1,-1,0,0,0,0,0,1,0,-1,1,0,0,0
Ary Kara,PMDB,SP,1,0,0,0,0,0,0,1,0,0,1,-1,0,1,0,0
Francisco Dornelles,PPR,RJ,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,1,0
Roberto Campos,PPR,RJ,0,0,0,0,0,0,0,1,0,0,1,-1,0,-1,0,0
Telmo Kirst,PPR,RS,1,1,0,1,1,-1,0,1,0,0,0,-1,1,0,1,0
Costa Ferreira,PP,MA,0,1,-1,-1,1,0,0,1,-1,0,1,-1,0,1,0,1
Jayme Santana,PSDB,MA,-1,0,0,-1,-1,0,0,1,-1,0,1,0,0,0,0,0
Zila Bezerra,PMDB,AC,-1,0,-1,-1,0,1,1,1,0,1,1,-1,-1,1,1,0
Pauderney Avelino,PPR,AM,0,0,-1,-1,0,0,-1,1,-1,1,0,0,0,1,0,1
Sergio Naya,PP,MG,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,1,1
Fátima Pelaes,PFL,AP,1,1,-1,-1,1,0,0,0,-1,1,1,0,0,1,0,0
Mario Chermont,PP,PA,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Ricardo Moraes,PSB,AM,0,1,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0
João Maia,PP,AC,0,0,0,-1,1,0,0,0,-1,0,0,-1,1,1,0,0
Paulo Mourão,PPR,TO,1,0,0,1,0,-1,1,1,0,0,0,0,0,0,0,0
João Rodolfo,PPR,MA,1,1,-1,1,1,0,1,1,-1,0,1,-1,1,0,0,0
Ricardo Murad,PSD,MA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roseana Sarney,PFL,MA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Aécio de Borba,PPR,CE,0,1,0,1,0,0,1,0,-1,1,1,1,1,0,0,0
B. Sá,PP,PI,1,1,-1,-1,1,1,0,1,-1,1,1,-1,1,1,1,0
Paulo Silva,PSDB,PI,0,0,1,-1,0,0,0,1,0,1,-1,-1,1,1,1,0
Fernando Freire,PPR,RN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
José Maranhão,PMDB,PB,0,1,0,0,0,0,0,1,-1,0,1,0,0,1,1,1
Alvaro Ribeiro,PSB,PE,-1,1,1,0,-1,1,1,0,-1,0,-1,0,1,1,1,1
Gustavo Krause,PFL,PE,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Maurilio Ferreira Lima,PSDB,PE,1,1,0,-1,1,0,0,0,0,0,0,0,0,1,1,1
Cleto Falcão,PSD,AL,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
José Teles,PPR,SE,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,1
Waldir Pires,PSDB,BA,-1,1,1,-1,0,1,1,1,-1,0,1,-1,0,0,0,1
João Carlos Bacelar,PSC,BA,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0
José Aldo,PTB,MG,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
Raul Belém,PP,MG,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-1
Wagner do Nascimento,PP,MG,0,1,0,-1,0,0,0,0,-1,0,0,0,-1,1,1,0
João Mendes,PTB,RJ,1,0,0,-1,0,0,0,1,0,0,0,0,0,1,1,0
Delfim Netto,PPR,SP,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0
Cunha Bueno,PPR,SP,1,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0
José Cicote,PT,SP,0,0,0,-1,0,0,1,1,0,0,-1,1,0,0,0,1
Marcelino Romano Machado,PPR,SP,1,0,-1,1,1,-1,0,0,-1,1,0,1,1,-1,1,1
Benedito Domingos,PP,DF,1,1,0,-1,0,0,0,0,1,0,0,-1,1,1,0,1
Jofran Frejat,PP,DF,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0
Maria Valadão,PPR,GO,1,1,-1,0,1,0,0,0,-1,0,1,-1,1,0,0,1
Mauro Borges,PP,GO,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Roberto Balestra,PPR,GO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flávio Derzi,PP,MS,0,1,0,0,1,1,0,1,-1,1,1,1,1,1,0,0
Angela Amin,PPR,SC,0,1,0,0,1,0,1,0,-1,0,1,-1,0,0,1,0
Cesar Souza,PFL,SC,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,1,0
Vasco Furlan,PPR,SC,0,1,-1,0,1,0,0,1,0,0,1,1,1,-1,0,0
Carlos Azambuja,PPR,RS,0,0,0,0,0,0,0,0,-1,0,1,-1,0,-1,0,0
Fernando Carrion,PPR,RS,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Victor Faccioni,PPR,RS,1,1,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0
Roberto Rollemberg,PMDB,SP,1,0,1,0,0,0,0,0,-1,0,1,1,0,0,0,1
Camilo Machado,PTB,MG,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Annibal Teixeira,PP,MG,0,0,0,0,0,-1,0,1,0,1,1,0,0,0,0,0
Tourinho Dantas,PFL,BA,0,1,-1,0,-1,0,0,1,0,0,1,0,0,1,1,0
Paulo Cesar de Oliveira Lima,PSC,SP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sérgio Ferrara,PDT,MG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lezio Sathler,PSDB,ES,1,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0
Homero Oguidó,PMDB,PR,0,1,-1,0,0,0,0,0,0,0,0,-1,1,1,1,0
Aroldo Góes,PDT,AP,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0
Daniel Silva,PFL,MA,0,0,-1,0,0,0,0,1,0,0,1,0,0,1,1,0
Mauro Sampaio,PSDB,CE,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Luiz Pontes,PSDB,CE,-1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Orlando Bezerra,PFL,CE,1,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,0
Vicente Fialho,PFL,CE,0,0,0,-1,0,0,1,1,0,0,0,1,1,1,1,0
Vitório Malta,PPR,AL,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
Pedro Valadares,PP,SE,0,1,0,0,1,0,-1,1,-1,0,1,0,0,0,1,1
João Mellão Neto,PL,SP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mauro Miranda,PMDB,GO,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nelson Morro,PFL,SC,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Edésio Frias,PDT,RJ,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
Luiz Girão,PDT,CE,1,0,0,-1,1,0,1,1,0,0,1,0,0,0,0,0
Gilson Machado,PFL,PE,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
Luiz Soyer,PMDB,GO,0,0,0,0,1,0,0,1,-1,0,1,0,0,0,0,0
Júlio Cabral,PP,RR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Merval Pimenta,PMDB,TO,1,1,-1,-1,1,0,0,0,-1,1,1,-1,1,0,0,0
Ernani Viana,PP,CE,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,1
Etevaldo Nogueira,PFL,CE,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Francisco Evangelista,PPR,PB,1,1,1,0,1,0,0,1,-1,0,0,0,0,1,0,0
Ivan Burity,PFL,PB,1,1,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0
Luiz Viana Neto,PFL,BA,1,0,0,-1,0,-1,0,1,0,0,1,0,0,0,1,0
Mário de Oliveira,PP,MG,1,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,0
José Carlos Coutinho,PDT,RJ,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Wanda Reis,PSD,RJ,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Fábio Meirelles,PPR,SP,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Mendes Botelho,PP,SP,1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0
José Augusto Curvo,PMDB,MT,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
Aldo Pinto,PDT,RS,1,-1,0,-1,1,0,0,0,-1,0,0,1,-1,0,1,0
Antônio Britto,PMDB,RS,1,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
Celso Bernardi,PPR,RS,1,1,0,0,1,0,0,1,-1,0,1,0,0,0,0,0
Carrion Júnior,PDT,RS,1,0,1,0,0,0,0,0,-1,1,0,1,-1,0,1,0
Aparício Carvalho,PSDB,RO,-1,1,1,-1,1,1,0,1,1,0,1,1,0,0,0,1
Hermínio Calvinho,PMDB,PA,0,1,-1,-1,1,0,1,1,0,1,-1,0,1,1,0,1
Manoel Ribeiro,PMDB,PA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Carlos Camurca,PP,RO,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Célia Mendes,PPR,AC,0,1,0,0,1,0,0,0,-1,0,1,0,0,0,0,1
Leomar Quintanilha,PPR,TO,0,1,0,-1,1,1,0,1,-1,0,0,-1,0,1,1,0
Maria Luiza Fontenele,PSTU,CE,0,1,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
Nilson Gibson,PMN,PE,0,0,1,-1,0,1,1,1,0,0,0,1,0,0,0,0
Waldeck Ornelas,PFL,BA,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0
Mario Assad,PFL,MG,0,1,-1,-1,0,0,0,0,0,0,0,-1,1,1,1,0
Naphtali Alves de Souza,PMDB,GO,0,1,-1,-1,0,0,0,0,0,1,0,-1,0,1,0,0
Jarvis Gaidzinski,PPR,SC,0,1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0
Paulo Bauer,PPR,SC,0,1,0,1,0,0,0,0,0,1,0,-1,0,-1,0,0
Joaquim Sucena,PTB,MT,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Marcos Formiga,PSDB,RN,0,1,1,-1,0,0,0,0,0,-1,0,0,1,1,1,0
Carlos Sant'anna,PP,BA,0,1,-1,-1,0,0,0,0,0,1,0,-1,0,1,1,0
Eurico Ribeiro,PPR,MA,0,1,-1,1,0,0,0,0,0,0,0,-1,1,0,0,0
José Diogo,PP,PA,0,0,-1,0,1,0,0,1,-1,0,1,1,0,0,0,0
Osvaldo Reis,PP,TO,0,0,-1,0,0,0,1,0,0,0,0,-1,0,1,1,0
Mauro Sampaio,PMDB,CE,0,0,-1,0,1,0,1,1,0,0,0,0,1,1,0,0
Djenal Gonçalves,PSDB,SE,0,0,1,-1,-1,0,0,1,0,0,1,0,1,1,1,0
Pedro Pavão,PPR,SP,0,0,0,0,0,-1,1,0,-1,0,1,-1,0,0,1,0
Sergio Spada,PP,PR,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Nicias Ribeiro,PMDB,PA,0,0,-1,0,0,0,0,0,0,0,1,-1,1,1,1,0
Francisco Diógenes,PMDB,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vital do Rego,S.Part.,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Flávio Palmier da Veiga,PSDB,RJ,0,0,0,-1,0,0,0,0,1,0,1,1,0,-1,0,1
Antônio Morimoto,PPR,RO,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0
Ervin Bonkoski,PTB,PR,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0
Expedito Rafael,PMN,RO,0,0,1,0,0,0,0,0,0,1,0,-1,1,-1,0,0
Messias Soares,PDT,RJ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Lúcia Braga,PDT,PB,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Sérgio Machado,PSDB,CE,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1
Paulo Octávio,PRN,DF,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1
Avenir Rosa,PP,RR,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0
Edison Fidelis,PP,RO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
João Tota,PPR,AC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lúcia Vânia,PP,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
João Alves,PPR,BA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oscar Travassos,PL,MT,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,1
João Brochado,PP,DF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ricardo Moraes,S.Part.,AM,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Pedro Novais,PSD,MA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Maria Luiza Fontenele,S.Part.,CE,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Djenal Gonçalves,PPR,SE,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
