nome,partido,uf,MSF 151/2011,PEC 5/2012,PEC 5/2012,PEC 5/2012,PLC 40/2010,PLC 40/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PLV 7/2012,PLV 8/2012,PLC 10/2012,PLV 13/2012,PEC 86/2007,PEC 103/2011,PEC 103/2011,PEC 86/2007,PLS 198/2007,PLS 198/2007,PEC 33/2009,PLS 652/2011,PLS 652/2011,PEC 82/2011,PEC 82/2011,PEC 63/2011,PEC 65/2011,PEC 65/2011,PLV 16/2012,PEC 34/2012,PEC 34/2012,PLC 32/2012,PLC 32/2012,PEC 65/2011,PLV 26/2012,PLV 30/2012,Coeficiente governista
Casildo Maldaner,PMDB,   SC   ,1,1,1,1,0,0,1,-1,0,0,1,0,-1,-1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,-1,1,1,1,1,1,1,0,6.78E-002
Luiz Henrique,PMDB,   SC   ,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,-1,7.91E-002
Lobão Filho,PMDB,   MA   ,0,0,0,0,1,1,-1,1,1,1,0,1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,8.55E-002
Jader Barbalho,PMDB,   PA   ,-1,0,0,0,1,1,-1,1,1,1,1,0,-1,0,0,0,0,0,1,1,-1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1.01E-001
Valdir Raupp,PMDB,   RO   ,-1,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1.08E-001
Eunício Oliveira,PMDB,   CE   ,1,1,1,1,1,1,0,0,0,1,0,1,-1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,-1,1.16E-001
Pedro Simon,PMDB,   RS   ,0,1,1,0,0,0,0,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,-1,-1,1.21E-001
Waldemir Moka,PMDB,   MS   ,1,1,1,1,1,1,-1,1,-1,1,0,0,-1,-1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,-1,1,1,0,0,0,1,-1,1.29E-001
Sérgio Souza,PMDB,   PR   ,-1,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34E-001
Vital do Rêgo,PMDB,   PB   ,1,1,1,1,0,1,-1,1,1,1,0,0,-1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,-1,0,0,0,1,1,1,-1,1.35E-001
Clésio Andrade,PMDB,   MG   ,-1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.50E-001
Renan Calheiros,PMDB,   AL   ,-1,0,1,0,0,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,-1,1.61E-001
Romero Jucá,PMDB,   RR   ,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,-1,1.67E-001
Eduardo Braga,PMDB,   AM   ,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.73E-001
Mozarildo Cavalcanti,PTB,   RR   ,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,1,1,1,0,0,3.91E-002
Fernando Collor,PTB,   AL   ,1,1,1,1,0,0,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,1,1,0,0,-1,6.22E-002
João Vicente Claudino,PTB,   PI   ,1,1,1,1,0,0,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1.12E-001
Epitácio Cafeteira,PTB,   MA   ,-1,1,1,1,0,0,-1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1.39E-001
Gim,PTB,   DF   ,-1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,1,1,-1,1.68E-001
Armando Monteiro,PTB,   PE   ,-1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1.77E-001
Kátia Abreu,PSD,   TO   ,-1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.30E-002
Sérgio Petecão,PSD,   AC   ,0,1,1,1,0,0,-1,0,1,1,0,1,-1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,1,-1,1.43E-001
Eduardo Amorim,PSC,   SE   ,0,0,0,0,0,0,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,-1,1.24E-001
Francisco Dornelles,PP,   RJ   ,0,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,-1,1.15E-001
Ivo Cassol,PP,   RO   ,-1,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1.24E-001
Ciro Nogueira,PP,   PI   ,1,0,0,0,0,0,-1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,-1,1.28E-001
